BBLLADNB_00001	K01868	threonyl-tRNA synthetase [EC:6.1.1.3] 
BBLLADNB_00062	K03979	GTPase [EC:3.6.5.-]  
BBLLADNB_00063	K02899	large subunit ribosomal protein
BBLLADNB_00064	K02888	large subunit ribosomal protein
BBLLADNB_00065	K02523	octaprenyl-diphosphate synthase [EC:2.5.1.90] 
BBLLADNB_00068	K02668	two-component system, NtrC family,
BBLLADNB_00069	K02667	two-component system, NtrC family,
BBLLADNB_00070	K03806	N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28] 
BBLLADNB_00072	K01596	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
BBLLADNB_00073	K02988	small subunit ribosomal protein
BBLLADNB_00074	K02907	large subunit ribosomal protein
BBLLADNB_00075	K02876	large subunit ribosomal protein
BBLLADNB_00076	K03076	preprotein translocase subunit SecY
BBLLADNB_00077	K02518	translation initiation factor IF-1
BBLLADNB_00078	K02952	small subunit ribosomal protein
BBLLADNB_00079	K02948	small subunit ribosomal protein
BBLLADNB_00080	K02986	small subunit ribosomal protein
BBLLADNB_00081	K03040	DNA-directed RNA polymerase subunit
BBLLADNB_00082	K02879	large subunit ribosomal protein
BBLLADNB_00083	K06147	ATP-binding cassette, subfamily B,
BBLLADNB_00085	K06445	acyl-CoA dehydrogenase [EC:1.3.99.-] 
BBLLADNB_00086	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
BBLLADNB_00087	K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA
BBLLADNB_00088	K06076	long-chain fatty acid transport
BBLLADNB_00090	K00632	acetyl-CoA acyltransferase [EC:2.3.1.16] 
BBLLADNB_00090	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
BBLLADNB_00094	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10] 
BBLLADNB_00095	K03655	ATP-dependent DNA helicase RecG
BBLLADNB_00096	K03406	methyl-accepting chemotaxis protein 
BBLLADNB_00096	K07216	hemerythrin   
BBLLADNB_00098	K02074	zinc/manganese transport system ATP-binding
BBLLADNB_00099	K02075	zinc/manganese transport system permease
BBLLADNB_00100	K02077	zinc/manganese transport system substrate-binding
BBLLADNB_00103	K07093	uncharacterized protein  
BBLLADNB_00104	K03088	RNA polymerase sigma-70 factor,
BBLLADNB_00105	K00259	alanine dehydrogenase [EC:1.4.1.1] 
BBLLADNB_00106	K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25] 
BBLLADNB_00107	K02533	tRNA/rRNA methyltransferase [EC:2.1.1.-] 
BBLLADNB_00108	K00640	serine O-acetyltransferase [EC:2.3.1.30] 
BBLLADNB_00109	K13643	Rrf2 family transcriptional regulator,
BBLLADNB_00110	K04487	cysteine desulfurase [EC:2.8.1.7] 
BBLLADNB_00111	K04487	cysteine desulfurase [EC:2.8.1.7] 
BBLLADNB_00112	K04488	nitrogen fixation protein NifU
BBLLADNB_00113	K13628	iron-sulfur cluster assembly protein
BBLLADNB_00114	K04082	molecular chaperone HscB 
BBLLADNB_00115	K04044	molecular chaperone HscA 
BBLLADNB_00116	K04755	ferredoxin, 2Fe-2S  
BBLLADNB_00118	K09966	uncharacterized protein  
BBLLADNB_00121	K03554	recombination associated protein RdgC
BBLLADNB_00125	K09781	uncharacterized protein  
BBLLADNB_00127	K03442	small conductance mechanosensitive channel
BBLLADNB_00157	K07724	Ner family transcriptional regulator
BBLLADNB_00159	K07724	Ner family transcriptional regulator
BBLLADNB_00163	K07497	putative transposase  
BBLLADNB_00175	K01185	lysozyme [EC:3.2.1.17]  
BBLLADNB_00187	K01130	arylsulfatase [EC:3.1.6.1]  
BBLLADNB_00189	K10680	N-ethylmaleimide reductase [EC:1.-.-.-] 
BBLLADNB_00190	K07234	uncharacterized protein involved in
BBLLADNB_00192	K06893	uncharacterized protein  
BBLLADNB_00201	K11904	type VI secretion system
BBLLADNB_00202	K06905	uncharacterized protein  
BBLLADNB_00206	K06907	uncharacterized protein  
BBLLADNB_00208	K06907	uncharacterized protein  
BBLLADNB_00214	K01953	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
BBLLADNB_00216	K13670	putative glycosyltransferase [EC:2.4.-.-] 
BBLLADNB_00222	K02805	dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59] 
BBLLADNB_00223	K03328	polysaccharide transporter, PST family
BBLLADNB_00228	K01912	phenylacetate-CoA ligase [EC:6.2.1.30] 
BBLLADNB_00230	K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132] 
BBLLADNB_00231	K21001	polysaccharide biosynthesis protein PslH
BBLLADNB_00232	K01953	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
BBLLADNB_00234	K01953	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
BBLLADNB_00239	K01791	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
BBLLADNB_00244	K01991	polysaccharide biosynthesis/export protein 
BBLLADNB_00245	K00575	chemotaxis protein methyltransferase CheR
BBLLADNB_00246	K03189	urease accessory protein 
BBLLADNB_00247	K03188	urease accessory protein 
BBLLADNB_00248	K03187	urease accessory protein 
BBLLADNB_00250	K03274	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20] 
BBLLADNB_00251	K21344	D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167] 
BBLLADNB_00252	K19804	lipopolysaccharide assembly protein B
BBLLADNB_00253	K08992	lipopolysaccharide assembly protein A
BBLLADNB_00254	K05788	integration host factor subunit
BBLLADNB_00255	K02945	small subunit ribosomal protein
BBLLADNB_00256	K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19] 
BBLLADNB_00256	K00945	CMP/dCMP kinase [EC:2.7.4.25] 
BBLLADNB_00257	K04517	prephenate dehydrogenase [EC:1.3.1.12] 
BBLLADNB_00258	K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9] 
BBLLADNB_00259	K14170	chorismate mutase / prephenate
BBLLADNB_00259	K04518	prephenate dehydratase [EC:4.2.1.51] 
BBLLADNB_00260	K02469	DNA gyrase subunit A
BBLLADNB_00263	K01939	adenylosuccinate synthase [EC:6.3.4.4] 
BBLLADNB_00264	K02502	ATP phosphoribosyltransferase regulatory subunit
BBLLADNB_00265	K09937	uncharacterized protein  
BBLLADNB_00266	K04087	modulator of FtsH protease
BBLLADNB_00267	K04088	modulator of FtsH protease
BBLLADNB_00268	K03665	GTPase   
BBLLADNB_00269	K03666	host factor-I protein 
BBLLADNB_00275	K03301	ATP:ADP antiporter, AAA family
BBLLADNB_00276	K02517	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241
BBLLADNB_00277	K03975	membrane-associated protein  
BBLLADNB_00278	K11175	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
BBLLADNB_00280	K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
BBLLADNB_00283	K07639	two-component system, OmpR family,
BBLLADNB_00284	K07661	two-component system, OmpR family,
BBLLADNB_00285	K00507	stearoyl-CoA desaturase (Delta-9 desaturase)
BBLLADNB_00286	K03611	protein dithiol:quinone oxidoreductase [EC:1.8.5.9]
BBLLADNB_00287	K01520	dUTP pyrophosphatase [EC:3.6.1.23] 
BBLLADNB_00288	K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine
BBLLADNB_00289	K03781	catalase [EC:1.11.1.6]  
BBLLADNB_00290	K03572	DNA mismatch repair protein
BBLLADNB_00291	K00791	tRNA dimethylallyltransferase [EC:2.5.1.75] 
BBLLADNB_00296	K03274	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20] 
BBLLADNB_00297	K12339	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]
BBLLADNB_00298	K07501	3'-5' exonuclease  
BBLLADNB_00301	K14441	ribosomal protein S12 methylthiotransferase
BBLLADNB_00302	K14162	error-prone DNA polymerase [EC:2.7.7.7]
BBLLADNB_00307	K00990	[protein-PII] uridylyltransferase [EC:2.7.7.59] 
BBLLADNB_00308	K01265	methionyl aminopeptidase [EC:3.4.11.18] 
BBLLADNB_00309	K02967	small subunit ribosomal protein
BBLLADNB_00310	K02357	elongation factor Ts 
BBLLADNB_00311	K09903	uridylate kinase [EC:2.7.4.22] 
BBLLADNB_00312	K02838	ribosome recycling factor 
BBLLADNB_00313	K00806	undecaprenyl diphosphate synthase [EC:2.5.1.31]
BBLLADNB_00314	K00981	phosphatidate cytidylyltransferase [EC:2.7.7.41] 
BBLLADNB_00315	K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267] 
BBLLADNB_00316	K11749	regulator of sigma E
BBLLADNB_00317	K07277	outer membrane protein insertion
BBLLADNB_00318	K06142	outer membrane protein 
BBLLADNB_00319	K02536	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
BBLLADNB_00320	K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59] 
BBLLADNB_00321	K00677	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129] 
BBLLADNB_00322	K00748	lipid-A-disaccharide synthase [EC:2.4.1.182] 
BBLLADNB_00323	K03470	ribonuclease HII [EC:3.1.26.4] 
BBLLADNB_00324	K03437	RNA methyltransferase, TrmH family
BBLLADNB_00326	K02674	type IV pilus assembly
BBLLADNB_00327	K02673	type IV pilus assembly
BBLLADNB_00328	K02672	type IV pilus assembly
BBLLADNB_00329	K02671	type IV pilus assembly
BBLLADNB_00330	K08084	type IV fimbrial biogenesis
BBLLADNB_00331	K02655	type IV pilus assembly
BBLLADNB_00332	K03832	periplasmic protein TonB 
BBLLADNB_00333	K03527	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
BBLLADNB_00335	K17836	beta-lactamase class A [EC:3.5.2.6]
BBLLADNB_00341	K09019	3-hydroxypropanoate dehydrogenase [EC:1.1.1.-] 
BBLLADNB_00342	K23886	CDGSH iron-sulfur domain-containing protein
BBLLADNB_00345	K12262	superoxide oxidase [EC:1.10.3.17] 
BBLLADNB_00350	K21470	L,D-transpeptidase YcbB  
BBLLADNB_00354	K21023	diguanylate cyclase [EC:2.7.7.65] 
BBLLADNB_00357	K00700	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
BBLLADNB_00359	K07178	RIO kinase 1 [EC:2.7.11.1]
BBLLADNB_00360	K01752	L-serine dehydratase [EC:4.3.1.17] 
BBLLADNB_00361	K07264	4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43] 
BBLLADNB_00364	K10012	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]
BBLLADNB_00369	K00688	glycogen phosphorylase [EC:2.4.1.1] 
BBLLADNB_00370	K00700	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
BBLLADNB_00371	K01214	isoamylase [EC:3.2.1.68]  
BBLLADNB_00373	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55] 
BBLLADNB_00374	K06923	uncharacterized protein  
BBLLADNB_00375	K08304	membrane-bound lytic murein transglycosylase
BBLLADNB_00376	K03320	ammonium transporter, Amt family
BBLLADNB_00381	K04750	PhnB protein  
BBLLADNB_00382	K07220	uncharacterized protein  
BBLLADNB_00383	K03306	inorganic phosphate transporter, PiT
BBLLADNB_00384	K07220	uncharacterized protein  
BBLLADNB_00386	K07261	penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]
BBLLADNB_00393	K07064	uncharacterized protein  
BBLLADNB_00394	K03205	type IV secretion system
BBLLADNB_00395	K18139	outer membrane protein, multidrug
BBLLADNB_00396	K18138	multidrug efflux pump 
BBLLADNB_00397	K03585	membrane fusion protein, multidrug
BBLLADNB_00399	K02004	putative ABC transport system
BBLLADNB_00400	K02003	putative ABC transport system
BBLLADNB_00401	K02005	HlyD family secretion protein
BBLLADNB_00402	K06153	undecaprenyl-diphosphatase [EC:3.6.1.27]  
BBLLADNB_00403	K07000	uncharacterized protein  
BBLLADNB_00404	K01147	exoribonuclease II [EC:3.1.13.1] 
BBLLADNB_00405	K03832	periplasmic protein TonB 
BBLLADNB_00406	K00014	shikimate dehydrogenase [EC:1.1.1.25] 
BBLLADNB_00407	K03814	monofunctional glycosyltransferase [EC:2.4.1.129] 
BBLLADNB_00410	K03181	chorismate--pyruvate lyase [EC:4.1.3.40] 
BBLLADNB_00411	K09005	uncharacterized protein  
BBLLADNB_00413	K22226	Fe-coproporphyrin III synthase 
BBLLADNB_00414	K06131	cardiolipin synthase A/B [EC:2.7.8.-]
BBLLADNB_00415	K01894	glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]
BBLLADNB_00416	K00930	acetylglutamate kinase [EC:2.7.2.8] 
BBLLADNB_00417	K07025	putative hydrolase of the
BBLLADNB_00420	K01698	porphobilinogen synthase [EC:4.2.1.24] 
BBLLADNB_00421	K03978	GTP-binding protein  
BBLLADNB_00425	K01652	acetolactate synthase I/II/III large
BBLLADNB_00426	K01653	acetolactate synthase I/III small
BBLLADNB_00427	K02169	malonyl-CoA O-methyltransferase [EC:2.1.1.197] 
BBLLADNB_00428	K01012	biotin synthase [EC:2.8.1.6] 
BBLLADNB_00429	K02242	competence protein ComFC 
BBLLADNB_00431	K14058	tRNA 2-thiocytidine biosynthesis protein
BBLLADNB_00432	K03793	pteridine reductase [EC:1.5.1.33] 
BBLLADNB_00435	K00974	tRNA nucleotidyltransferase (CCA-adding enzyme)
BBLLADNB_00436	K03953	NADH dehydrogenase (ubiquinone) 1
BBLLADNB_00437	K08309	soluble lytic murein transglycosylase
BBLLADNB_00438	K02482	two-component system, NtrC family,
BBLLADNB_00439	K02482	two-component system, NtrC family,
BBLLADNB_00439	K07216	hemerythrin   
BBLLADNB_00442	K02482	two-component system, NtrC family,
BBLLADNB_00443	K13924	two-component system, chemotaxis family,
BBLLADNB_00443	K00575	chemotaxis protein methyltransferase CheR
BBLLADNB_00444	K02238	competence protein ComEC 
BBLLADNB_00446	K07001	NTE family protein 
BBLLADNB_00448	K22684	metacaspase-1 [EC:3.4.22.-]  
BBLLADNB_00450	K06077	outer membrane lipoprotein SlyB
BBLLADNB_00452	K05520	protease I [EC:3.5.1.124] 
BBLLADNB_00453	K01681	aconitate hydratase [EC:4.2.1.3] 
BBLLADNB_00454	K02482	two-component system, NtrC family,
BBLLADNB_00455	K09919	uncharacterized protein  
BBLLADNB_00458	K03455	monovalent cation:H+ antiporter-2, CPA2
BBLLADNB_00466	K07484	transposase   
BBLLADNB_00471	K07341	death on curing protein
BBLLADNB_00473	K12056	conjugal transfer mating pair
BBLLADNB_00474	K12072	conjugative transfer pilus assembly
BBLLADNB_00475	K12057	conjugal transfer pilus assembly
BBLLADNB_00477	K12063	conjugal transfer ATP-binding protein
BBLLADNB_00478	K12064	conjugal transfer pilus assembly
BBLLADNB_00479	K03981	thiol:disulfide interchange protein DsbC
BBLLADNB_00480	K12065	conjugal transfer pilus assembly
BBLLADNB_00481	K12066	conjugal transfer pilus assembly
BBLLADNB_00482	K12067	conjugal transfer pilus assembly
BBLLADNB_00483	K12068	conjugal transfer pilus assembly
BBLLADNB_00484	K12069	conjugal transfer pilus assembly
BBLLADNB_00490	K03556	LuxR family transcriptional regulator,
BBLLADNB_00493	K09808	lipoprotein-releasing system permease protein
BBLLADNB_00493	K02004	putative ABC transport system
BBLLADNB_00494	K09810	lipoprotein-releasing system ATP-binding protein
BBLLADNB_00494	K02003	putative ABC transport system
BBLLADNB_00495	K03406	methyl-accepting chemotaxis protein 
BBLLADNB_00495	K07216	hemerythrin   
BBLLADNB_00496	K02238	competence protein ComEC 
BBLLADNB_00500	K04565	superoxide dismutase, Cu-Zn family
BBLLADNB_00501	K07014	uncharacterized protein  
BBLLADNB_00502	K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169] 
BBLLADNB_00503	K09933	MtfA peptidase  
BBLLADNB_00506	K00937	polyphosphate kinase [EC:2.7.4.1] 
BBLLADNB_00507	K01524	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
BBLLADNB_00508	K02066	phospholipid/cholesterol/gamma-HCH transport system permease
BBLLADNB_00509	K02065	phospholipid/cholesterol/gamma-HCH transport system ATP-binding
BBLLADNB_00509	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
BBLLADNB_00510	K02067	phospholipid/cholesterol/gamma-HCH transport system substrate-binding
BBLLADNB_00511	K18480	cholesterol transport system auxiliary
BBLLADNB_00516	K18446	triphosphatase [EC:3.6.1.25]  
BBLLADNB_00518	K07028	uncharacterized protein  
BBLLADNB_00520	K01733	threonine synthase [EC:4.2.3.1] 
BBLLADNB_00522	K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
BBLLADNB_00524	K03654	ATP-dependent DNA helicase RecQ
BBLLADNB_00525	K03269	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54] 
BBLLADNB_00527	K03767	peptidyl-prolyl cis-trans isomerase A
BBLLADNB_00530	K01883	cysteinyl-tRNA synthetase [EC:6.1.1.16] 
BBLLADNB_00531	K01999	branched-chain amino acid transport
BBLLADNB_00532	K03686	molecular chaperone DnaJ 
BBLLADNB_00533	K04043	molecular chaperone DnaK 
BBLLADNB_00534	K03687	molecular chaperone GrpE 
BBLLADNB_00535	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
BBLLADNB_00535	K08884	serine/threonine protein kinase, bacterial
BBLLADNB_00536	K01772	protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]
BBLLADNB_00537	K03705	heat-inducible transcriptional repressor 
BBLLADNB_00538	K00858	NAD+ kinase [EC:2.7.1.23] 
BBLLADNB_00539	K03631	DNA repair protein RecN
BBLLADNB_00547	K01246	DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
BBLLADNB_00557	K03333	cholesterol oxidase [EC:1.1.3.6] 
BBLLADNB_00559	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44] 
BBLLADNB_00560	K07487	transposase   
BBLLADNB_00560	K07481	transposase, IS5 family 
BBLLADNB_00561	K09181	acetyltransferase   
BBLLADNB_00567	K12988	alpha-1,3-rhamnosyltransferase [EC:2.4.1.-]  
BBLLADNB_00571	K10680	N-ethylmaleimide reductase [EC:1.-.-.-] 
BBLLADNB_00572	K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
BBLLADNB_00574	K03071	preprotein translocase subunit SecB
BBLLADNB_00578	K22719	murein hydrolase activator 
BBLLADNB_00579	K03797	carboxyl-terminal processing protease [EC:3.4.21.102]
BBLLADNB_00581	K21029	molybdopterin-synthase adenylyltransferase [EC:2.7.7.80] 
BBLLADNB_00581	K03148	sulfur carrier protein ThiS
BBLLADNB_00582	K11752	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil
BBLLADNB_00583	K07738	transcriptional repressor NrdR 
BBLLADNB_00584	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1] 
BBLLADNB_00588	K03070	preprotein translocase subunit SecA
BBLLADNB_00588	K16922	putative peptide zinc metalloprotease
BBLLADNB_00590	K00598	trans-aconitate 2-methyltransferase [EC:2.1.1.144] 
BBLLADNB_00591	K03650	tRNA modification GTPase [EC:3.6.-.-]
BBLLADNB_00592	K03217	YidC/Oxa1 family membrane protein
BBLLADNB_00593	K08998	uncharacterized protein  
BBLLADNB_00594	K03536	ribonuclease P protein component
BBLLADNB_00595	K02313	chromosomal replication initiator protein
BBLLADNB_00596	K02338	DNA polymerase III subunit
BBLLADNB_00597	K02470	DNA gyrase subunit B
BBLLADNB_00601	K00850	6-phosphofructokinase 1 [EC:2.7.1.11] 
BBLLADNB_00602	K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23] 
BBLLADNB_00606	K03147	phosphomethylpyrimidine synthase [EC:4.1.99.17] 
BBLLADNB_00609	K04761	LysR family transcriptional regulator,
BBLLADNB_00610	K03169	DNA topoisomerase III [EC:5.6.2.1]
BBLLADNB_00611	K03747	Smg protein  
BBLLADNB_00612	K04096	DNA processing protein 
BBLLADNB_00614	K01462	peptide deformylase [EC:3.5.1.88] 
BBLLADNB_00615	K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9] 
BBLLADNB_00616	K03799	heat shock protein HtpX
BBLLADNB_00618	K13283	ferrous-iron efflux pump FieF
BBLLADNB_00622	K12995	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase / rhamnosyltransferase
BBLLADNB_00627	K09691	lipopolysaccharide transport system ATP-binding
BBLLADNB_00634	K13010	perosamine synthetase [EC:2.6.1.102] 
BBLLADNB_00636	K01790	dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13] 
BBLLADNB_00637	K01709	CDP-glucose 4,6-dehydratase [EC:4.2.1.45] 
BBLLADNB_00638	K00978	glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33] 
BBLLADNB_00639	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47] 
BBLLADNB_00640	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47] 
BBLLADNB_00641	K00615	transketolase [EC:2.2.1.1]  
BBLLADNB_00645	K03270	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO
BBLLADNB_00647	K13012	O-antigen biosynthesis protein WbqP
BBLLADNB_00650	K07218	nitrous oxidase accessory protein
BBLLADNB_00654	K00376	nitrous-oxide reductase [EC:1.7.2.4] 
BBLLADNB_00656	K07152	protein SCO1  
BBLLADNB_00657	K09796	periplasmic copper chaperone A
BBLLADNB_00660	K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28] 
BBLLADNB_00661	K18979	epoxyqueuosine reductase [EC:1.17.99.6] 
BBLLADNB_00662	K00311	electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1] 
BBLLADNB_00681	K06919	putative DNA primase/helicase 
BBLLADNB_00684	K02617	phenylacetic acid degradation protein
BBLLADNB_00686	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
BBLLADNB_00690	K00782	L-lactate dehydrogenase complex protein
BBLLADNB_00691	K18928	L-lactate dehydrogenase complex protein
BBLLADNB_00692	K05799	GntR family transcriptional regulator,
BBLLADNB_00693	K03664	SsrA-binding protein  
BBLLADNB_00694	K18588	coenzyme Q-binding protein COQ10
BBLLADNB_00695	K09801	uncharacterized protein  
BBLLADNB_00697	K00088	IMP dehydrogenase [EC:1.1.1.205] 
BBLLADNB_00698	K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
BBLLADNB_00700	K11021	insecticidal toxin complex protein
BBLLADNB_00705	K05595	multiple antibiotic resistance protein
BBLLADNB_00706	K07216	hemerythrin   
BBLLADNB_00711	K03592	PmbA protein  
BBLLADNB_00712	K09889	ribosome-associated protein  
BBLLADNB_00713	K03831	molybdopterin adenylyltransferase [EC:2.7.7.75] 
BBLLADNB_00713	K06999	phospholipase/carboxylesterase   
BBLLADNB_00714	K23127	cyclic-di-GMP-binding protein  
BBLLADNB_00715	K00560	thymidylate synthase [EC:2.1.1.45] 
BBLLADNB_00716	K00287	dihydrofolate reductase [EC:1.5.1.3] 
BBLLADNB_00719	K02535	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
BBLLADNB_00720	K03531	cell division protein FtsZ
BBLLADNB_00721	K03590	cell division protein FtsA
BBLLADNB_00722	K03589	cell division protein FtsQ
BBLLADNB_00723	K01921	D-alanine-D-alanine ligase [EC:6.3.2.4] 
BBLLADNB_00724	K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8] 
BBLLADNB_00725	K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
BBLLADNB_00726	K03588	cell division protein FtsW
BBLLADNB_00727	K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9] 
BBLLADNB_00728	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]  
BBLLADNB_00729	K01929	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10] 
BBLLADNB_00730	K01928	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13] 
BBLLADNB_00731	K03587	cell division protein FtsI
BBLLADNB_00732	K03586	cell division protein FtsL
