Orthogroup	GCA_000310125.2	spades-bin.32
OG0000086	lcl|AMXB01000058.1_prot_ENO75233.1_4004, lcl|AMXB01000004.1_prot_ENO82588.1_547	BBLLADNB_00235
OG0000090	lcl|AMXB01000009.1_prot_ENO81864.1_1355	BBLLADNB_03364
OG0000091	lcl|AMXB01000071.1_prot_ENO74776.1_4165, lcl|AMXB01000041.1_prot_ENO76251.1_3589, lcl|AMXB01000037.1_prot_ENO76686.1_3425, lcl|AMXB01000027.1_prot_ENO78278.1_2914	BBLLADNB_01733
OG0000092	lcl|AMXB01000008.1_prot_ENO81972.1_1200, lcl|AMXB01000037.1_prot_ENO76687.1_3426, lcl|AMXB01000027.1_prot_ENO78277.1_2913	BBLLADNB_03648
OG0000093	lcl|AMXB01000012.1_prot_ENO81319.1_1622	BBLLADNB_02303
OG0000093	lcl|AMXB01000001.1_prot_ENO83228.1_101	BBLLADNB_03580
OG0000094	lcl|AMXB01000008.1_prot_ENO82017.1_1245	BBLLADNB_03381
OG0000096	lcl|AMXB01000030.1_prot_ENO77584.1_3085	BBLLADNB_01550, BBLLADNB_01549
OG0000100	lcl|AMXB01000045.1_prot_ENO75995.1_3714, lcl|AMXB01000008.1_prot_ENO82006.1_1234	BBLLADNB_02030, BBLLADNB_01901
OG0000104	lcl|AMXB01000066.1_prot_ENO74903.1_4096, lcl|AMXB01000066.1_prot_ENO74908.1_4101, lcl|AMXB01000099.1_prot_ENO74402.1_4266	BBLLADNB_00742
OG0000105	lcl|AMXB01000026.1_prot_ENO78515.1_2858	BBLLADNB_02590
OG0000106	lcl|AMXB01000001.1_prot_ENO83220.1_93	BBLLADNB_03305, BBLLADNB_02596
OG0000107	lcl|AMXB01000032.1_prot_ENO77230.1_3164, lcl|AMXB01000060.1_prot_ENO75158.1_4032	BBLLADNB_01277
OG0000108	lcl|AMXB01000010.1_prot_ENO81629.1_1397	BBLLADNB_01379
OG0000109	lcl|AMXB01000011.1_prot_ENO81467.1_1523	BBLLADNB_00650
OG0000110	lcl|AMXB01000005.1_prot_ENO82487.1_782, lcl|AMXB01000049.1_prot_ENO75679.1_3818, lcl|AMXB01000109.1_prot_ENO74354.1_4276, lcl|AMXB01000126.1_prot_ENO74300.1_4293, lcl|AMXB01000101.1_prot_ENO74388.1_4268	BBLLADNB_00662
OG0000111	lcl|AMXB01000049.1_prot_ENO75688.1_3827	BBLLADNB_00969
OG0000111	lcl|AMXB01000015.1_prot_ENO81033.1_2005, lcl|AMXB01000004.1_prot_ENO82653.1_612, lcl|AMXB01000006.1_prot_ENO82344.1_948	BBLLADNB_02702
OG0000112	lcl|AMXB01000036.1_prot_ENO76822.1_3393, lcl|AMXB01000003.1_prot_ENO82862.1_504, lcl|AMXB01000006.1_prot_ENO82281.1_885	BBLLADNB_03151
OG0000114	lcl|AMXB01000001.1_prot_ENO83223.1_96	BBLLADNB_02284
OG0000114	lcl|AMXB01000007.1_prot_ENO82098.1_1017	BBLLADNB_03539
OG0000115	lcl|AMXB01000002.1_prot_ENO82991.1_251	BBLLADNB_02604, BBLLADNB_02495
OG0000116	lcl|AMXB01000008.1_prot_ENO82016.1_1244	BBLLADNB_03380
OG0000118	lcl|AMXB01000040.1_prot_ENO76341.1_3546	BBLLADNB_02317
OG0000119	lcl|AMXB01000040.1_prot_ENO76340.1_3545	BBLLADNB_02319
OG0000120	lcl|AMXB01000029.1_prot_ENO77752.1_3009	BBLLADNB_00499, BBLLADNB_03915
OG0000121	lcl|AMXB01000020.1_prot_ENO80567.1_2449	BBLLADNB_02628
OG0000122	lcl|AMXB01000043.1_prot_ENO76125.1_3667	BBLLADNB_03668
OG0000125	lcl|AMXB01000040.1_prot_ENO76362.1_3567	BBLLADNB_02766
OG0000126	lcl|AMXB01000004.1_prot_ENO82632.1_591	BBLLADNB_02019, BBLLADNB_02794
OG0000127	lcl|AMXB01000003.1_prot_ENO82841.1_483	BBLLADNB_01838
OG0000130	lcl|AMXB01000002.1_prot_ENO83023.1_283	BBLLADNB_00813
OG0000134	lcl|AMXB01000099.1_prot_ENO74401.1_4265, lcl|AMXB01000066.1_prot_ENO74904.1_4097, lcl|AMXB01000066.1_prot_ENO74909.1_4102	BBLLADNB_00763
OG0000135	lcl|AMXB01000006.1_prot_ENO82306.1_910, lcl|AMXB01000086.1_prot_ENO74498.1_4244, lcl|AMXB01000038.1_prot_ENO76546.1_3456, lcl|AMXB01000007.1_prot_ENO82075.1_994, lcl|AMXB01000044.1_prot_ENO76091.1_3694, lcl|AMXB01000072.1_prot_ENO74746.1_4174, lcl|AMXB01000019.1_prot_ENO80596.1_2314, lcl|AMXB01000006.1_prot_ENO82266.1_870	BBLLADNB_00467
OG0000137	lcl|AMXB01000016.1_prot_ENO80895.1_2088	BBLLADNB_00955
OG0000139	lcl|AMXB01000025.1_prot_ENO78769.1_2794, lcl|AMXB01000010.1_prot_ENO81624.1_1392, lcl|AMXB01000017.1_prot_ENO80756.1_2153, lcl|AMXB01000002.1_prot_ENO83003.1_263	BBLLADNB_03911
OG0000140	lcl|AMXB01000052.1_prot_ENO75499.1_3890	BBLLADNB_02477
OG0000141	lcl|AMXB01000001.1_prot_ENO83241.1_114	BBLLADNB_02017
OG0000142	lcl|AMXB01000011.1_prot_ENO81554.1_1610	BBLLADNB_03111
OG0000144	lcl|AMXB01000022.1_prot_ENO79623.1_2560	BBLLADNB_01027
OG0000146	lcl|AMXB01000003.1_prot_ENO82861.1_503, lcl|AMXB01000036.1_prot_ENO76821.1_3392	BBLLADNB_03150
OG0000147	lcl|AMXB01000010.1_prot_ENO81666.1_1434, lcl|AMXB01000006.1_prot_ENO82214.1_818	BBLLADNB_00284, BBLLADNB_03268
OG0000148	lcl|AMXB01000015.1_prot_ENO80974.1_1946	BBLLADNB_00391
OG0000149	lcl|AMXB01000061.1_prot_ENO75115.1_4043	BBLLADNB_02864
OG0000153	lcl|AMXB01000007.1_prot_ENO82158.1_1077	BBLLADNB_02453, BBLLADNB_01881
OG0000155	lcl|AMXB01000007.1_prot_ENO82161.1_1080, lcl|AMXB01000049.1_prot_ENO75674.1_3813	BBLLADNB_03037
OG0000156	lcl|AMXB01000103.1_prot_ENO74379.1_4270, lcl|AMXB01000015.1_prot_ENO81045.1_2017, lcl|AMXB01000015.1_prot_ENO81044.1_2016	BBLLADNB_01924
OG0000156	lcl|AMXB01000114.1_prot_ENO74336.1_4281	BBLLADNB_03806
OG0000157	lcl|AMXB01000037.1_prot_ENO76688.1_3427	BBLLADNB_01734
OG0000159	lcl|AMXB01000009.1_prot_ENO81775.1_1266, lcl|AMXB01000001.1_prot_ENO83242.1_115	BBLLADNB_01568
OG0000160	lcl|AMXB01000049.1_prot_ENO75673.1_3812, lcl|AMXB01000007.1_prot_ENO82162.1_1081	BBLLADNB_03038
OG0000162	lcl|AMXB01000014.1_prot_ENO81131.1_1895	BBLLADNB_01624, BBLLADNB_00985
OG0000163	lcl|AMXB01000012.1_prot_ENO81409.1_1712, lcl|AMXB01000027.1_prot_ENO78249.1_2885, lcl|AMXB01000009.1_prot_ENO81808.1_1299, lcl|AMXB01000004.1_prot_ENO82699.1_658, lcl|AMXB01000025.1_prot_ENO78720.1_2745, lcl|AMXB01000053.1_prot_ENO75480.1_3922	BBLLADNB_03478
OG0000166	lcl|AMXB01000038.1_prot_ENO76550.1_3460	BBLLADNB_03403, BBLLADNB_02619
OG0000169	lcl|AMXB01000008.1_prot_ENO81930.1_1158	BBLLADNB_02759
OG0000170	lcl|AMXB01000070.1_prot_ENO74807.1_4151	BBLLADNB_00809
OG0000171	lcl|AMXB01000009.1_prot_ENO81765.1_1256	BBLLADNB_03883
OG0000171	lcl|AMXB01000016.1_prot_ENO80893.1_2086, lcl|AMXB01000009.1_prot_ENO81805.1_1296	BBLLADNB_00958
OG0000172	lcl|AMXB01000017.1_prot_ENO80800.1_2197	BBLLADNB_02595
OG0000173	lcl|AMXB01000027.1_prot_ENO78232.1_2868, lcl|AMXB01000004.1_prot_ENO82660.1_619, lcl|AMXB01000009.1_prot_ENO81846.1_1337	BBLLADNB_02960
OG0000174	lcl|AMXB01000010.1_prot_ENO81660.1_1428, lcl|AMXB01000021.1_prot_ENO80072.1_2518	BBLLADNB_02040
OG0000175	lcl|AMXB01000027.1_prot_ENO78263.1_2899, lcl|AMXB01000009.1_prot_ENO81856.1_1347, lcl|AMXB01000027.1_prot_ENO78268.1_2904	BBLLADNB_00096
OG0000176	lcl|AMXB01000021.1_prot_ENO80063.1_2509	BBLLADNB_00561
OG0000177	lcl|AMXB01000022.1_prot_ENO79637.1_2574	BBLLADNB_03332
OG0000178	lcl|AMXB01000003.1_prot_ENO82763.1_405, lcl|AMXB01000005.1_prot_ENO82499.1_794, lcl|AMXB01000019.1_prot_ENO80645.1_2363	BBLLADNB_01682
OG0000180	lcl|AMXB01000033.1_prot_ENO77209.1_3260	BBLLADNB_03608
OG0000181	lcl|AMXB01000001.1_prot_ENO83288.1_161, lcl|AMXB01000019.1_prot_ENO80623.1_2341	BBLLADNB_03278
OG0000182	lcl|AMXB01000005.1_prot_ENO82500.1_795, lcl|AMXB01000032.1_prot_ENO77273.1_3207	BBLLADNB_02160
OG0000183	lcl|AMXB01000002.1_prot_ENO83093.1_353, lcl|AMXB01000049.1_prot_ENO75676.1_3815, lcl|AMXB01000004.1_prot_ENO82659.1_618	BBLLADNB_00862
OG0000184	lcl|AMXB01000011.1_prot_ENO81526.1_1582, lcl|AMXB01000043.1_prot_ENO76130.1_3672	BBLLADNB_00048
OG0000186	lcl|AMXB01000001.1_prot_ENO83180.1_53	BBLLADNB_02879, BBLLADNB_01434
OG0000187	lcl|AMXB01000011.1_prot_ENO81515.1_1571	BBLLADNB_01653
OG0000189	lcl|AMXB01000001.1_prot_ENO83200.1_73	BBLLADNB_01438
OG0000192	lcl|AMXB01000002.1_prot_ENO83104.1_364	BBLLADNB_00345
OG0000194	lcl|AMXB01000010.1_prot_ENO81612.1_1380	BBLLADNB_02109, BBLLADNB_02121
OG0000195	lcl|AMXB01000006.1_prot_ENO82237.1_841	BBLLADNB_00824, BBLLADNB_01540
OG0000196	lcl|AMXB01000015.1_prot_ENO81028.1_2000, lcl|AMXB01000013.1_prot_ENO81216.1_1754	BBLLADNB_00584
OG0000197	lcl|AMXB01000065.1_prot_ENO74949.1_4086	BBLLADNB_02954, BBLLADNB_03025
OG0000198	lcl|AMXB01000026.1_prot_ENO78513.1_2856	BBLLADNB_02588
OG0000199	lcl|AMXB01000005.1_prot_ENO82466.1_761	BBLLADNB_02886
OG0000200	lcl|AMXB01000004.1_prot_ENO82664.1_623	BBLLADNB_03629, BBLLADNB_03450
OG0000201	lcl|AMXB01000030.1_prot_ENO77564.1_3065, lcl|AMXB01000032.1_prot_ENO77263.1_3197	BBLLADNB_02539, BBLLADNB_02532
OG0000202	lcl|AMXB01000032.1_prot_ENO77261.1_3195	BBLLADNB_03829
OG0000202	lcl|AMXB01000019.1_prot_ENO80584.1_2302	BBLLADNB_02701
OG0000203	lcl|AMXB01000008.1_prot_ENO81920.1_1148, lcl|AMXB01000091.1_prot_ENO74461.1_4252	BBLLADNB_00245
OG0000204	lcl|AMXB01000091.1_prot_ENO74462.1_4253	BBLLADNB_01718
OG0000205	lcl|AMXB01000009.1_prot_ENO81785.1_1276	BBLLADNB_02335, BBLLADNB_01024
OG0000206	lcl|AMXB01000004.1_prot_ENO82676.1_635, lcl|AMXB01000036.1_prot_ENO76806.1_3377	BBLLADNB_02599
OG0000207	lcl|AMXB01000007.1_prot_ENO82129.1_1048	BBLLADNB_00982, BBLLADNB_01235
OG0000209	lcl|AMXB01000004.1_prot_ENO82698.1_657, lcl|AMXB01000014.1_prot_ENO81084.1_1848, lcl|AMXB01000053.1_prot_ENO75470.1_3912	BBLLADNB_01768
OG0000210	lcl|AMXB01000088.1_prot_ENO74480.1_4246, lcl|AMXB01000082.1_prot_ENO74531.1_4232, lcl|AMXB01000014.1_prot_ENO81139.1_1903, lcl|AMXB01000014.1_prot_ENO81089.1_1853, lcl|AMXB01000014.1_prot_ENO81127.1_1891, lcl|AMXB01000013.1_prot_ENO81256.1_1794	BBLLADNB_00686
OG0000211	lcl|AMXB01000061.1_prot_ENO75106.1_4034, lcl|AMXB01000004.1_prot_ENO82671.1_630, lcl|AMXB01000052.1_prot_ENO75503.1_3894, lcl|AMXB01000059.1_prot_ENO75194.1_4014, lcl|AMXB01000059.1_prot_ENO75192.1_4012	BBLLADNB_01001
OG0000212	lcl|AMXB01000026.1_prot_ENO78467.1_2810, lcl|AMXB01000003.1_prot_ENO82793.1_435	BBLLADNB_03892
OG0000213	lcl|AMXB01000026.1_prot_ENO78468.1_2811, lcl|AMXB01000003.1_prot_ENO82794.1_436	BBLLADNB_03893
OG0000214	lcl|AMXB01000001.1_prot_ENO83161.1_34	BBLLADNB_02132, BBLLADNB_02926, BBLLADNB_02624
OG0000215	lcl|AMXB01000023.1_prot_ENO79341.1_2649, lcl|AMXB01000064.1_prot_ENO74987.1_4078	BBLLADNB_01004
OG0000216	lcl|AMXB01000048.1_prot_ENO75755.1_3805	BBLLADNB_01956, BBLLADNB_01006
OG0000217	lcl|AMXB01000031.1_prot_ENO77412.1_3146	BBLLADNB_02992
OG0000218	lcl|AMXB01000020.1_prot_ENO80548.1_2430	BBLLADNB_01661
OG0000221	lcl|AMXB01000008.1_prot_ENO81931.1_1159, lcl|AMXB01000024.1_prot_ENO79029.1_2713, lcl|AMXB01000038.1_prot_ENO76549.1_3459	BBLLADNB_02758
OG0000222	lcl|AMXB01000010.1_prot_ENO81709.1_1477	BBLLADNB_00790
OG0000223	lcl|AMXB01000018.1_prot_ENO80714.1_2272, lcl|AMXB01000027.1_prot_ENO78255.1_2891	BBLLADNB_02840
OG0000224	lcl|AMXB01000001.1_prot_ENO83287.1_160	BBLLADNB_02431
OG0000225	lcl|AMXB01000008.1_prot_ENO81897.1_1125	BBLLADNB_03622
OG0000228	lcl|AMXB01000009.1_prot_ENO81833.1_1324	BBLLADNB_02443
OG0000229	lcl|AMXB01000001.1_prot_ENO83295.1_168	BBLLADNB_03149
OG0000230	lcl|AMXB01000003.1_prot_ENO82737.1_379, lcl|AMXB01000009.1_prot_ENO81826.1_1317, lcl|AMXB01000014.1_prot_ENO81137.1_1901, lcl|AMXB01000008.1_prot_ENO81953.1_1181	BBLLADNB_03321
OG0000231	lcl|AMXB01000035.1_prot_ENO76916.1_3326	BBLLADNB_01974, BBLLADNB_01975
OG0000232	lcl|AMXB01000001.1_prot_ENO83206.1_79	BBLLADNB_02885
OG0000233	lcl|AMXB01000001.1_prot_ENO83217.1_90	BBLLADNB_00696
OG0000234	lcl|AMXB01000021.1_prot_ENO80037.1_2483	BBLLADNB_02514
OG0000235	lcl|AMXB01000021.1_prot_ENO80032.1_2478	BBLLADNB_02519, BBLLADNB_00644
OG0000236	lcl|AMXB01000007.1_prot_ENO82087.1_1006	BBLLADNB_00108
OG0000238	lcl|AMXB01000013.1_prot_ENO81224.1_1762	BBLLADNB_00576
OG0000239	lcl|AMXB01000001.1_prot_ENO83194.1_67	BBLLADNB_00927
OG0000240	lcl|AMXB01000006.1_prot_ENO82250.1_854, lcl|AMXB01000002.1_prot_ENO83033.1_293	BBLLADNB_00026
OG0000243	lcl|AMXB01000011.1_prot_ENO81498.1_1554	BBLLADNB_02762
OG0000244	lcl|AMXB01000012.1_prot_ENO81328.1_1631	BBLLADNB_02631
OG0000245	lcl|AMXB01000030.1_prot_ENO77557.1_3058	BBLLADNB_03520, BBLLADNB_02476
OG0000248	lcl|AMXB01000023.1_prot_ENO79287.1_2595	BBLLADNB_02209
OG0000249	lcl|AMXB01000045.1_prot_ENO76001.1_3720	BBLLADNB_01042, BBLLADNB_01046
OG0000250	lcl|AMXB01000104.1_prot_ENO74374.1_4271	BBLLADNB_03804
OG0000251	lcl|AMXB01000011.1_prot_ENO81512.1_1568	BBLLADNB_02948
OG0000252	lcl|AMXB01000003.1_prot_ENO82727.1_369, lcl|AMXB01000072.1_prot_ENO74751.1_4179, lcl|AMXB01000007.1_prot_ENO82039.1_958	BBLLADNB_01847
OG0000254	lcl|AMXB01000019.1_prot_ENO80650.1_2368, lcl|AMXB01000019.1_prot_ENO80648.1_2366, lcl|AMXB01000018.1_prot_ENO80697.1_2255	BBLLADNB_00890
OG0000255	lcl|AMXB01000004.1_prot_ENO82652.1_611, lcl|AMXB01000003.1_prot_ENO82786.1_428	BBLLADNB_02245
OG0000256	lcl|AMXB01000033.1_prot_ENO77179.1_3230, lcl|AMXB01000036.1_prot_ENO76812.1_3383, lcl|AMXB01000003.1_prot_ENO82742.1_384	BBLLADNB_01910
OG0000259	lcl|AMXB01000009.1_prot_ENO81865.1_1356, lcl|AMXB01000024.1_prot_ENO79019.1_2703, lcl|AMXB01000061.1_prot_ENO75105.1_4033	BBLLADNB_01499
OG0000260	lcl|AMXB01000029.1_prot_ENO77770.1_3027	BBLLADNB_01340
OG0000261	lcl|AMXB01000015.1_prot_ENO81006.1_1978	BBLLADNB_02533
OG0000263	lcl|AMXB01000001.1_prot_ENO83227.1_100, lcl|AMXB01000012.1_prot_ENO81337.1_1640, lcl|AMXB01000031.1_prot_ENO77415.1_3149	BBLLADNB_03581
OG0000265	lcl|AMXB01000006.1_prot_ENO82233.1_837	BBLLADNB_01531, BBLLADNB_01511
OG0000266	lcl|AMXB01000051.1_prot_ENO75564.1_3873	BBLLADNB_00072
OG0000267	lcl|AMXB01000034.1_prot_ENO77041.1_3276	BBLLADNB_01305
OG0000268	lcl|AMXB01000013.1_prot_ENO81212.1_1750	BBLLADNB_00710
OG0000269	lcl|AMXB01000013.1_prot_ENO81217.1_1755	BBLLADNB_00583
OG0000270	lcl|AMXB01000013.1_prot_ENO81223.1_1761	BBLLADNB_00577
OG0000272	lcl|AMXB01000017.1_prot_ENO80757.1_2154	BBLLADNB_01349
OG0000274	lcl|AMXB01000012.1_prot_ENO81374.1_1677, lcl|AMXB01000026.1_prot_ENO78514.1_2857	BBLLADNB_02589
OG0000275	lcl|AMXB01000005.1_prot_ENO82389.1_684	BBLLADNB_03356, BBLLADNB_03164
OG0000276	lcl|AMXB01000010.1_prot_ENO81722.1_1490	BBLLADNB_03693, BBLLADNB_03774
OG0000277	lcl|AMXB01000010.1_prot_ENO81595.1_1363	BBLLADNB_01819
OG0000277	lcl|AMXB01000040.1_prot_ENO76361.1_3566	BBLLADNB_02765
OG0000278	lcl|AMXB01000013.1_prot_ENO81274.1_1812, lcl|AMXB01000009.1_prot_ENO81782.1_1273	BBLLADNB_01942, BBLLADNB_03152
