Orthogroup	Reactor4-bin.4	spades-bin.32
OG0000063	CEKMHFBL_01892	BBLLADNB_03591
OG0000063	CEKMHFBL_01516, CEKMHFBL_01839	BBLLADNB_01762
OG0000064	CEKMHFBL_00749	BBLLADNB_01223
OG0000065	CEKMHFBL_02867, CEKMHFBL_03227	BBLLADNB_02912
OG0000065	CEKMHFBL_00606	BBLLADNB_00863, BBLLADNB_03516
OG0000066	CEKMHFBL_01362	BBLLADNB_01070
OG0000068	CEKMHFBL_03556	BBLLADNB_03159
OG0000070	CEKMHFBL_01942	BBLLADNB_03662
OG0000071	CEKMHFBL_01051, CEKMHFBL_03223	BBLLADNB_02913
OG0000072	CEKMHFBL_00179, CEKMHFBL_00596	BBLLADNB_00868
OG0000073	CEKMHFBL_02400	BBLLADNB_01613
OG0000074	CEKMHFBL_03368	BBLLADNB_03003, BBLLADNB_02243
OG0000074	CEKMHFBL_01565	BBLLADNB_00364
OG0000075	CEKMHFBL_01518	BBLLADNB_01834
OG0000075	CEKMHFBL_02567	BBLLADNB_00307
OG0000076	CEKMHFBL_02896, CEKMHFBL_02936, CEKMHFBL_01871	BBLLADNB_00340
OG0000076	CEKMHFBL_03247	BBLLADNB_00652
OG0000077	CEKMHFBL_03755	BBLLADNB_02286
OG0000078	CEKMHFBL_04260, CEKMHFBL_01747, CEKMHFBL_01739, CEKMHFBL_02350	BBLLADNB_00755
OG0000079	CEKMHFBL_02031	BBLLADNB_03718
OG0000079	CEKMHFBL_04068	BBLLADNB_03593
OG0000081	CEKMHFBL_02682	BBLLADNB_01674
OG0000082	CEKMHFBL_04189	BBLLADNB_01043
OG0000082	CEKMHFBL_04236	BBLLADNB_01102, BBLLADNB_01448
OG0000083	CEKMHFBL_02926	BBLLADNB_02028
OG0000084	CEKMHFBL_02852	BBLLADNB_02835
OG0000084	CEKMHFBL_03745	BBLLADNB_03705
OG0000085	CEKMHFBL_02774	BBLLADNB_03162, BBLLADNB_00836
OG0000086	CEKMHFBL_01118	BBLLADNB_00235
OG0000087	CEKMHFBL_02689	BBLLADNB_02085
OG0000087	CEKMHFBL_00757	BBLLADNB_01215
OG0000088	CEKMHFBL_04272	BBLLADNB_01048
OG0000089	CEKMHFBL_00827	BBLLADNB_03117
OG0000090	CEKMHFBL_01250	BBLLADNB_03364
OG0000091	CEKMHFBL_00868	BBLLADNB_01733
OG0000092	CEKMHFBL_00867	BBLLADNB_03648
OG0000093	CEKMHFBL_00180	BBLLADNB_02303
OG0000093	CEKMHFBL_00321	BBLLADNB_03580
OG0000094	CEKMHFBL_03761	BBLLADNB_03381
OG0000095	CEKMHFBL_01584	BBLLADNB_02570
OG0000098	CEKMHFBL_01508, CEKMHFBL_01532	BBLLADNB_03088
OG0000098	CEKMHFBL_02008	BBLLADNB_01440
OG0000098	CEKMHFBL_02007	BBLLADNB_01591, BBLLADNB_02037
OG0000099	CEKMHFBL_01874	BBLLADNB_01516
OG0000099	CEKMHFBL_02823	BBLLADNB_00371
OG0000100	CEKMHFBL_02924	BBLLADNB_02030
OG0000100	CEKMHFBL_00412	BBLLADNB_01901
OG0000101	CEKMHFBL_01096, CEKMHFBL_01088	BBLLADNB_02965
OG0000104	CEKMHFBL_02003	BBLLADNB_00742
OG0000107	CEKMHFBL_02038, CEKMHFBL_02051	BBLLADNB_01277
OG0000108	CEKMHFBL_00364	BBLLADNB_01379
OG0000109	CEKMHFBL_03249	BBLLADNB_00650
OG0000110	CEKMHFBL_04111	BBLLADNB_00662
OG0000112	CEKMHFBL_03066	BBLLADNB_03151
OG0000114	CEKMHFBL_01770	BBLLADNB_03539
OG0000115	CEKMHFBL_03495	BBLLADNB_02604
OG0000115	CEKMHFBL_03397	BBLLADNB_02495
OG0000116	CEKMHFBL_03762	BBLLADNB_03380
OG0000117	CEKMHFBL_02710	BBLLADNB_02316
OG0000118	CEKMHFBL_03172, CEKMHFBL_02709	BBLLADNB_02317
OG0000119	CEKMHFBL_02707	BBLLADNB_02319
OG0000120	CEKMHFBL_03554	BBLLADNB_03915
OG0000121	CEKMHFBL_00614	BBLLADNB_02628
OG0000122	CEKMHFBL_00847	BBLLADNB_03668
OG0000125	CEKMHFBL_02375	BBLLADNB_02766
OG0000126	CEKMHFBL_01818	BBLLADNB_02019
OG0000127	CEKMHFBL_03962	BBLLADNB_01838
OG0000128	CEKMHFBL_01570	BBLLADNB_03586
OG0000130	CEKMHFBL_00528	BBLLADNB_00813
OG0000138	CEKMHFBL_04086, CEKMHFBL_01049, CEKMHFBL_01048, CEKMHFBL_02713	BBLLADNB_03919
OG0000140	CEKMHFBL_03790	BBLLADNB_02477
OG0000141	CEKMHFBL_00178, CEKMHFBL_04179	BBLLADNB_02017
OG0000142	CEKMHFBL_04026, CEKMHFBL_00213	BBLLADNB_03111
OG0000144	CEKMHFBL_04048	BBLLADNB_01027
OG0000145	CEKMHFBL_01427	BBLLADNB_03392
OG0000146	CEKMHFBL_03067	BBLLADNB_03150
OG0000147	CEKMHFBL_02668	BBLLADNB_00284
OG0000148	CEKMHFBL_01918	BBLLADNB_00391
OG0000149	CEKMHFBL_02295	BBLLADNB_02864
OG0000152	CEKMHFBL_03064	BBLLADNB_01941
OG0000153	CEKMHFBL_03460	BBLLADNB_01881
OG0000154	CEKMHFBL_03960	BBLLADNB_00384
OG0000154	CEKMHFBL_03958	BBLLADNB_00382
OG0000155	CEKMHFBL_01186	BBLLADNB_03037
OG0000156	CEKMHFBL_02122	BBLLADNB_01924
OG0000157	CEKMHFBL_03766	BBLLADNB_01734
OG0000158	CEKMHFBL_00922	BBLLADNB_00207
OG0000159	CEKMHFBL_02102	BBLLADNB_01568
OG0000160	CEKMHFBL_01185	BBLLADNB_03038
OG0000162	CEKMHFBL_02470	BBLLADNB_01624
OG0000163	CEKMHFBL_02025	BBLLADNB_03478
OG0000164	CEKMHFBL_02209	BBLLADNB_02836
OG0000164	CEKMHFBL_00885, CEKMHFBL_00456, CEKMHFBL_00454	BBLLADNB_02618
OG0000166	CEKMHFBL_04093	BBLLADNB_03403
OG0000166	CEKMHFBL_00457	BBLLADNB_02619
OG0000168	CEKMHFBL_02850	BBLLADNB_02833
OG0000169	CEKMHFBL_03866	BBLLADNB_02759
OG0000170	CEKMHFBL_00813	BBLLADNB_00809
OG0000171	CEKMHFBL_00639	BBLLADNB_03883
OG0000172	CEKMHFBL_00942	BBLLADNB_02595
OG0000173	CEKMHFBL_01075	BBLLADNB_02960
OG0000174	CEKMHFBL_03448	BBLLADNB_02040
OG0000175	CEKMHFBL_02917	BBLLADNB_00096
OG0000176	CEKMHFBL_02358	BBLLADNB_00561
OG0000178	CEKMHFBL_00830	BBLLADNB_01682
OG0000179	CEKMHFBL_00195	BBLLADNB_03156
OG0000180	CEKMHFBL_01980	BBLLADNB_03608
OG0000181	CEKMHFBL_03994	BBLLADNB_03278
OG0000182	CEKMHFBL_00817	BBLLADNB_02160
OG0000183	CEKMHFBL_00607	BBLLADNB_00862
OG0000184	CEKMHFBL_01410	BBLLADNB_00048
OG0000185	CEKMHFBL_04271	BBLLADNB_01047
OG0000186	CEKMHFBL_02742	BBLLADNB_02879
OG0000189	CEKMHFBL_01271	BBLLADNB_01438
OG0000190	CEKMHFBL_01376	BBLLADNB_00059
OG0000194	CEKMHFBL_03402	BBLLADNB_02109
OG0000195	CEKMHFBL_03541	BBLLADNB_00824, BBLLADNB_01540
OG0000196	CEKMHFBL_01263, CEKMHFBL_03202	BBLLADNB_00584
OG0000197	CEKMHFBL_04235	BBLLADNB_02954, BBLLADNB_03025
OG0000199	CEKMHFBL_03220, CEKMHFBL_01050	BBLLADNB_02886
OG0000200	CEKMHFBL_00941	BBLLADNB_03629
OG0000201	CEKMHFBL_03997	BBLLADNB_02532
OG0000202	CEKMHFBL_03995	BBLLADNB_03829
OG0000203	CEKMHFBL_01603	BBLLADNB_00245
OG0000205	CEKMHFBL_03490	BBLLADNB_02335, BBLLADNB_01024
OG0000207	CEKMHFBL_00737	BBLLADNB_00982, BBLLADNB_01235
OG0000208	CEKMHFBL_02214	BBLLADNB_01000, BBLLADNB_01763
OG0000209	CEKMHFBL_01423	BBLLADNB_01768
OG0000211	CEKMHFBL_02345	BBLLADNB_01001
OG0000212	CEKMHFBL_01778, CEKMHFBL_03707	BBLLADNB_03892
OG0000213	CEKMHFBL_01779	BBLLADNB_03893
OG0000214	CEKMHFBL_00609	BBLLADNB_02132, BBLLADNB_02926, BBLLADNB_02624
OG0000215	CEKMHFBL_01465	BBLLADNB_01004
OG0000216	CEKMHFBL_01467	BBLLADNB_01956, BBLLADNB_01006
OG0000218	CEKMHFBL_01300	BBLLADNB_01661
OG0000221	CEKMHFBL_03865	BBLLADNB_02758
OG0000222	CEKMHFBL_01612	BBLLADNB_00790
OG0000223	CEKMHFBL_03110	BBLLADNB_02840
OG0000224	CEKMHFBL_03635	BBLLADNB_02431
OG0000225	CEKMHFBL_03032	BBLLADNB_03622
OG0000226	CEKMHFBL_01997	BBLLADNB_02826, BBLLADNB_02416
OG0000228	CEKMHFBL_02805	BBLLADNB_02443
OG0000229	CEKMHFBL_03068	BBLLADNB_03149
OG0000230	CEKMHFBL_01223	BBLLADNB_03321
OG0000231	CEKMHFBL_01643	BBLLADNB_01974, BBLLADNB_01975
OG0000232	CEKMHFBL_02354, CEKMHFBL_03809	BBLLADNB_02885
OG0000233	CEKMHFBL_00663	BBLLADNB_00696
OG0000234	CEKMHFBL_04078	BBLLADNB_02514
OG0000235	CEKMHFBL_02461	BBLLADNB_02519
OG0000236	CEKMHFBL_00479	BBLLADNB_00108
OG0000238	CEKMHFBL_01255, CEKMHFBL_03210	BBLLADNB_00576
OG0000239	CEKMHFBL_03025, CEKMHFBL_00130	BBLLADNB_00927
OG0000240	CEKMHFBL_00160	BBLLADNB_00026
OG0000241	CEKMHFBL_00200	BBLLADNB_02387
OG0000243	CEKMHFBL_02489	BBLLADNB_02762
OG0000244	CEKMHFBL_00052	BBLLADNB_02631
OG0000245	CEKMHFBL_00102	BBLLADNB_03520, BBLLADNB_02476
OG0000248	CEKMHFBL_03621	BBLLADNB_02209
OG0000249	CEKMHFBL_00564	BBLLADNB_01042, BBLLADNB_01046
OG0000250	CEKMHFBL_03222, CEKMHFBL_01091	BBLLADNB_03804
OG0000251	CEKMHFBL_04198	BBLLADNB_02948
OG0000252	CEKMHFBL_01695	BBLLADNB_01847
OG0000254	CEKMHFBL_00574	BBLLADNB_00890
OG0000255	CEKMHFBL_02206	BBLLADNB_02245
OG0000256	CEKMHFBL_04061	BBLLADNB_01910
OG0000259	CEKMHFBL_03588	BBLLADNB_01499
OG0000260	CEKMHFBL_02946	BBLLADNB_01340
OG0000263	CEKMHFBL_00322	BBLLADNB_03581
OG0000265	CEKMHFBL_00224	BBLLADNB_01531, BBLLADNB_01511
OG0000266	CEKMHFBL_03722, CEKMHFBL_02781	BBLLADNB_00072
OG0000267	CEKMHFBL_00229	BBLLADNB_01305
OG0000268	CEKMHFBL_01460	BBLLADNB_00710
OG0000269	CEKMHFBL_03203, CEKMHFBL_01262	BBLLADNB_00583
OG0000270	CEKMHFBL_01256, CEKMHFBL_03209	BBLLADNB_00577
OG0000272	CEKMHFBL_00857	BBLLADNB_01349
OG0000274	CEKMHFBL_03926	BBLLADNB_02589
OG0000275	CEKMHFBL_02173	BBLLADNB_03356, BBLLADNB_03164
OG0000276	CEKMHFBL_00954	BBLLADNB_03774
OG0000277	CEKMHFBL_02376	BBLLADNB_02765
OG0000278	CEKMHFBL_03065	BBLLADNB_01942, BBLLADNB_03152
OG0000279	CEKMHFBL_00923	BBLLADNB_00208
OG0000280	CEKMHFBL_00914	BBLLADNB_03544
OG0000281	CEKMHFBL_00388	BBLLADNB_02827
OG0000282	CEKMHFBL_01095	BBLLADNB_01821
OG0000283	CEKMHFBL_02103	BBLLADNB_01567
OG0000284	CEKMHFBL_04114	BBLLADNB_03749
OG0000285	CEKMHFBL_04113	BBLLADNB_03750
OG0000288	CEKMHFBL_01342, CEKMHFBL_01341, CEKMHFBL_02440	BBLLADNB_00627
OG0000290	CEKMHFBL_03135	BBLLADNB_02158, BBLLADNB_00998
OG0000291	CEKMHFBL_00605, CEKMHFBL_00602	BBLLADNB_01394
OG0000292	CEKMHFBL_01361	BBLLADNB_01057
OG0000293	CEKMHFBL_02034	BBLLADNB_01812
OG0000294	CEKMHFBL_03117	BBLLADNB_00450
OG0000295	CEKMHFBL_02027	BBLLADNB_03476
OG0000296	CEKMHFBL_04107	BBLLADNB_01908
OG0000297	CEKMHFBL_00468, CEKMHFBL_03056	BBLLADNB_01378
OG0000298	CEKMHFBL_03544	BBLLADNB_01544, BBLLADNB_00827
OG0000299	CEKMHFBL_03543	BBLLADNB_01543, BBLLADNB_00826
OG0000301	CEKMHFBL_01315	BBLLADNB_02368
OG0000302	CEKMHFBL_02471, CEKMHFBL_02475	BBLLADNB_02572
OG0000311	CEKMHFBL_03080	BBLLADNB_01667
OG0000312	CEKMHFBL_01303	BBLLADNB_01659
OG0000313	CEKMHFBL_03858	BBLLADNB_03848
OG0000314	CEKMHFBL_03852	BBLLADNB_02144
OG0000316	CEKMHFBL_03669	BBLLADNB_03772
OG0000317	CEKMHFBL_03670	BBLLADNB_03262, BBLLADNB_03773
OG0000318	CEKMHFBL_00113	BBLLADNB_00430
OG0000319	CEKMHFBL_00747	BBLLADNB_01225
OG0000321	CEKMHFBL_01492	BBLLADNB_00610
OG0000322	CEKMHFBL_01491	BBLLADNB_00612
OG0000323	CEKMHFBL_01483	BBLLADNB_02561
OG0000324	CEKMHFBL_01480	BBLLADNB_02558
OG0000326	CEKMHFBL_01461	BBLLADNB_03838
OG0000327	CEKMHFBL_04016	BBLLADNB_02127
OG0000328	CEKMHFBL_04013	BBLLADNB_02124
OG0000329	CEKMHFBL_02784	BBLLADNB_00069
OG0000330	CEKMHFBL_01404	BBLLADNB_02798
OG0000331	CEKMHFBL_01405	BBLLADNB_02799
OG0000332	CEKMHFBL_01472	BBLLADNB_01012
OG0000333	CEKMHFBL_03033	BBLLADNB_03640
OG0000334	CEKMHFBL_03031	BBLLADNB_03641
OG0000335	CEKMHFBL_01428	BBLLADNB_00818
OG0000336	CEKMHFBL_00643	BBLLADNB_02724
OG0000337	CEKMHFBL_02248	BBLLADNB_03238
OG0000338	CEKMHFBL_00092	BBLLADNB_00052
OG0000339	CEKMHFBL_03563	BBLLADNB_01296
OG0000340	CEKMHFBL_03562	BBLLADNB_01295
OG0000341	CEKMHFBL_01026	BBLLADNB_03912
OG0000343	CEKMHFBL_01234	BBLLADNB_03424
OG0000344	CEKMHFBL_02496	BBLLADNB_03552
OG0000345	CEKMHFBL_02504	BBLLADNB_02787
OG0000346	CEKMHFBL_01666	BBLLADNB_02154
OG0000347	CEKMHFBL_00132	BBLLADNB_00929
OG0000348	CEKMHFBL_01642	BBLLADNB_02161
OG0000349	CEKMHFBL_01657	BBLLADNB_01354
OG0000350	CEKMHFBL_02892	BBLLADNB_02806
OG0000351	CEKMHFBL_01211	BBLLADNB_01465
OG0000352	CEKMHFBL_02923	BBLLADNB_01896
OG0000353	CEKMHFBL_00600	BBLLADNB_00864
OG0000354	CEKMHFBL_00598	BBLLADNB_00866
OG0000355	CEKMHFBL_00597	BBLLADNB_00867
OG0000358	CEKMHFBL_03423	BBLLADNB_02412
OG0000359	CEKMHFBL_00780	BBLLADNB_00385
OG0000360	CEKMHFBL_02357	BBLLADNB_00562
OG0000361	CEKMHFBL_02120	BBLLADNB_03673
OG0000362	CEKMHFBL_02119	BBLLADNB_03674
OG0000363	CEKMHFBL_02118	BBLLADNB_03675
OG0000364	CEKMHFBL_02117	BBLLADNB_03724
OG0000365	CEKMHFBL_03773	BBLLADNB_02976
OG0000366	CEKMHFBL_03777	BBLLADNB_02107
OG0000367	CEKMHFBL_03478	BBLLADNB_02642
OG0000368	CEKMHFBL_03476	BBLLADNB_02640
OG0000369	CEKMHFBL_03475	BBLLADNB_02639
OG0000370	CEKMHFBL_02728	BBLLADNB_00021
OG0000371	CEKMHFBL_04165	BBLLADNB_01328
OG0000372	CEKMHFBL_01327	BBLLADNB_00754
OG0000372	CEKMHFBL_00018	BBLLADNB_00239
OG0000373	CEKMHFBL_03885	BBLLADNB_01866
OG0000374	CEKMHFBL_01618, CEKMHFBL_01933	BBLLADNB_03845
OG0000375	CEKMHFBL_00299	BBLLADNB_02502
OG0000376	CEKMHFBL_00660	BBLLADNB_00693
OG0000377	CEKMHFBL_00661	BBLLADNB_00694
OG0000378	CEKMHFBL_00662	BBLLADNB_00695
OG0000379	CEKMHFBL_00664	BBLLADNB_00697
OG0000380	CEKMHFBL_04081	BBLLADNB_02511
OG0000381	CEKMHFBL_02462	BBLLADNB_02518
OG0000382	CEKMHFBL_02460	BBLLADNB_02520
OG0000383	CEKMHFBL_02459	BBLLADNB_02521
OG0000384	CEKMHFBL_03231	BBLLADNB_02896
OG0000385	CEKMHFBL_00544	BBLLADNB_02032
OG0000386	CEKMHFBL_00443	BBLLADNB_02748
OG0000387	CEKMHFBL_00280	BBLLADNB_02947
OG0000388	CEKMHFBL_02373	BBLLADNB_02768
OG0000389	CEKMHFBL_02372	BBLLADNB_02769
OG0000390	CEKMHFBL_02404	BBLLADNB_01617
OG0000391	CEKMHFBL_00709, CEKMHFBL_00707	BBLLADNB_00302
OG0000392	CEKMHFBL_02834	BBLLADNB_01479
OG0000395	CEKMHFBL_02980	BBLLADNB_03371
OG0000396	CEKMHFBL_01673	BBLLADNB_03646
OG0000397	CEKMHFBL_01290, CEKMHFBL_02374	BBLLADNB_02767
OG0000398	CEKMHFBL_03053	BBLLADNB_02463
OG0000399	CEKMHFBL_03480	BBLLADNB_02644
OG0000400	CEKMHFBL_02397	BBLLADNB_03470
OG0000401	CEKMHFBL_02396	BBLLADNB_03469
OG0000402	CEKMHFBL_02395	BBLLADNB_03468
OG0000403	CEKMHFBL_02394	BBLLADNB_03467
OG0000404	CEKMHFBL_01000	BBLLADNB_01699
OG0000405	CEKMHFBL_02628	BBLLADNB_01087
OG0000406	CEKMHFBL_00196	BBLLADNB_03157
OG0000407	CEKMHFBL_00198	BBLLADNB_02389
OG0000408	CEKMHFBL_04037	BBLLADNB_02384
OG0000409	CEKMHFBL_00204, CEKMHFBL_04036	BBLLADNB_02383
OG0000410	CEKMHFBL_00207, CEKMHFBL_04033	BBLLADNB_03116
OG0000411	CEKMHFBL_00209, CEKMHFBL_04031	BBLLADNB_03114
OG0000412	CEKMHFBL_00211, CEKMHFBL_04029	BBLLADNB_03113
OG0000413	CEKMHFBL_00212, CEKMHFBL_04028	BBLLADNB_03112
OG0000414	CEKMHFBL_04024, CEKMHFBL_00215	BBLLADNB_03109
OG0000416	CEKMHFBL_01981	BBLLADNB_03609, BBLLADNB_02451
OG0000417	CEKMHFBL_00329	BBLLADNB_03073
OG0000418	CEKMHFBL_04049	BBLLADNB_01026
OG0000419	CEKMHFBL_04044	BBLLADNB_00588, BBLLADNB_03486
OG0000420	CEKMHFBL_01449	BBLLADNB_00721
OG0000421	CEKMHFBL_01436	BBLLADNB_00734
OG0000422	CEKMHFBL_01011	BBLLADNB_01710
OG0000423	CEKMHFBL_04017	BBLLADNB_02129
OG0000424	CEKMHFBL_02490	BBLLADNB_02763
OG0000425	CEKMHFBL_00055	BBLLADNB_02634
OG0000426	CEKMHFBL_00955	BBLLADNB_01766
OG0000427	CEKMHFBL_02113	BBLLADNB_03730
OG0000428	CEKMHFBL_02114	BBLLADNB_03731
OG0000429	CEKMHFBL_02115	BBLLADNB_03732
OG0000430	CEKMHFBL_00003	BBLLADNB_02908
OG0000431	CEKMHFBL_03830	BBLLADNB_00854
OG0000432	CEKMHFBL_03833	BBLLADNB_00849
OG0000433	CEKMHFBL_03566	BBLLADNB_02012
OG0000434	CEKMHFBL_02959	BBLLADNB_02531
OG0000435	CEKMHFBL_02916	BBLLADNB_00095
OG0000436	CEKMHFBL_02078	BBLLADNB_00080
OG0000437	CEKMHFBL_02077	BBLLADNB_01784, BBLLADNB_00079
OG0000438	CEKMHFBL_02076	BBLLADNB_00078
OG0000439	CEKMHFBL_00723	BBLLADNB_03737
OG0000440	CEKMHFBL_02894	BBLLADNB_02803
OG0000441	CEKMHFBL_00740	BBLLADNB_01232
OG0000442	CEKMHFBL_02745	BBLLADNB_02882
OG0000444	CEKMHFBL_02135	BBLLADNB_00390
OG0000445	CEKMHFBL_01273	BBLLADNB_01437
OG0000446	CEKMHFBL_01654	BBLLADNB_02773
OG0000447	CEKMHFBL_02663	BBLLADNB_02950
OG0000448	CEKMHFBL_01608	BBLLADNB_00104
OG0000449	CEKMHFBL_00681	BBLLADNB_03567
OG0000450	CEKMHFBL_03968	BBLLADNB_03298
OG0000452	CEKMHFBL_01266, CEKMHFBL_01265	BBLLADNB_03244
OG0000453	CEKMHFBL_03583	BBLLADNB_01119
OG0000454	CEKMHFBL_03584	BBLLADNB_01120
OG0000455	CEKMHFBL_01269	BBLLADNB_03241
OG0000456	CEKMHFBL_01270	BBLLADNB_01439
OG0000458	CEKMHFBL_01536	BBLLADNB_03535
OG0000459	CEKMHFBL_01523	BBLLADNB_00425
OG0000460	CEKMHFBL_01409	BBLLADNB_00189
OG0000461	CEKMHFBL_01707	BBLLADNB_02682
OG0000462	CEKMHFBL_01135	BBLLADNB_02424
OG0000463	CEKMHFBL_01639	BBLLADNB_01789
OG0000464	CEKMHFBL_03578	BBLLADNB_01113
OG0000465	CEKMHFBL_01945	BBLLADNB_00402
OG0000466	CEKMHFBL_00583	BBLLADNB_00881
OG0000467	CEKMHFBL_02514	BBLLADNB_03131
OG0000468	CEKMHFBL_02516	BBLLADNB_03133
OG0000469	CEKMHFBL_00966	BBLLADNB_02791
OG0000470	CEKMHFBL_01774	BBLLADNB_03559
OG0000471	CEKMHFBL_02207	BBLLADNB_02244
OG0000472	CEKMHFBL_02202	BBLLADNB_02813
OG0000473	CEKMHFBL_03493, CEKMHFBL_01391	BBLLADNB_01938
OG0000474	CEKMHFBL_03610	BBLLADNB_02693
OG0000475	CEKMHFBL_02838	BBLLADNB_02944
OG0000476	CEKMHFBL_01454	BBLLADNB_00716
OG0000477	CEKMHFBL_02910	BBLLADNB_00089
OG0000478	CEKMHFBL_02911	BBLLADNB_00090
OG0000479	CEKMHFBL_01189	BBLLADNB_03034
OG0000480	CEKMHFBL_00624	BBLLADNB_02551
OG0000481	CEKMHFBL_00623	BBLLADNB_02552
OG0000482	CEKMHFBL_03477	BBLLADNB_02641
OG0000483	CEKMHFBL_00657	BBLLADNB_00690
OG0000484	CEKMHFBL_00658	BBLLADNB_00691
OG0000485	CEKMHFBL_00659	BBLLADNB_00692
OG0000486	CEKMHFBL_01522	BBLLADNB_03449, BBLLADNB_00097
OG0000487	CEKMHFBL_02879	BBLLADNB_01320
OG0000488	CEKMHFBL_02875	BBLLADNB_01316
OG0000489	CEKMHFBL_02717	BBLLADNB_00413
OG0000490	CEKMHFBL_03260	BBLLADNB_03346
