#START	STOP	FRAME	CONTIG	SCORE
70125	69568	-	Ga0248264_11:4855508-5153816	-93.11071474738572483515206355
70286	70173	-	Ga0248264_11:4855508-5153816	-1.492087825824685073369215326
70534	70337	-	Ga0248264_11:4855508-5153816	-1.506700725972173959755747760
70705	70589	-	Ga0248264_11:4855508-5153816	-2.641285056763248178419070215
70879	70751	-	Ga0248264_11:4855508-5153816	-0.1798848892253461911569239923
72087	70996	-	Ga0248264_11:4855508-5153816	-46791.07945112511411332377174
72169	72339	+	Ga0248264_11:4855508-5153816	-4.153343201503411468339566050
72336	72599	+	Ga0248264_11:4855508-5153816	-5.457144373665192492908056941
72712	73761	+	Ga0248264_11:4855508-5153816	-37929.85626411522812999514497
73774	76776	+	Ga0248264_11:4855508-5153816	-274356982819.1709469395224449
76773	79103	+	Ga0248264_11:4855508-5153816	-3661846106.578641625448395323
79132	79443	+	Ga0248264_11:4855508-5153816	-0.2538034057899488037679595356
79464	79817	+	Ga0248264_11:4855508-5153816	-13.15047782207305327815554651
80378	79878	-	Ga0248264_11:4855508-5153816	-54.05376896050122166254497629
80658	80449	-	Ga0248264_11:4855508-5153816	-0.4025983849499971925093452251
81691	80666	-	Ga0248264_11:4855508-5153816	-73083.92499066105789497561425
81997	81767	-	Ga0248264_11:4855508-5153816	-9.545313176672033138722072230
82266	82111	-	Ga0248264_11:4855508-5153816	-0.1201285615347652649044781189
82339	83082	+	Ga0248264_11:4855508-5153816	-147.8683484368311024293741441
83781	83176	-	Ga0248264_11:4855508-5153816	-56.21159219805771498043478572
84103	83750	-	Ga0248264_11:4855508-5153816	-1.693113690743606505198880714
84285	84103	-	Ga0248264_11:4855508-5153816	-0.09724021203750170441645822222
84422	84324	-	Ga0248264_11:4855508-5153816	-1.686250451134067863671740156
85708	84470	-	Ga0248264_11:4855508-5153816	-10374.78280855575533992291607
86208	85705	-	Ga0248264_11:4855508-5153816	-23.75063290134449456345789060
86391	86233	-	Ga0248264_11:4855508-5153816	-1.529140237488471190605605450
86407	86916	+	Ga0248264_11:4855508-5153816	-42.54327669269503388439049339
86940	87908	+	Ga0248264_11:4855508-5153816	-1193.924535851066698213954996
87924	88910	+	Ga0248264_11:4855508-5153816	-2062.158226200291182511919598
88924	89040	+	Ga0248264_11:4855508-5153816	-1.844009216285247905458566208
89037	89507	+	Ga0248264_11:4855508-5153816	-83.20874569456498518733389604
89574	89861	+	Ga0248264_11:4855508-5153816	-5.634237515785736601484159835
89872	90084	+	Ga0248264_11:4855508-5153816	-9.345328328272928484609417889
90623	90147	-	Ga0248264_11:4855508-5153816	-46.05390606347501300603945254
90602	90760	+	Ga0248264_11:4855508-5153816	-2.175866818434751648205530768
90794	91024	+	Ga0248264_11:4855508-5153816	-8.219068729602756156193327831
91008	91334	+	Ga0248264_11:4855508-5153816	-24.67995821841679790190747490
91324	91428	+	Ga0248264_11:4855508-5153816	-0.2796870982970983496690613562
91480	92118	+	Ga0248264_11:4855508-5153816	-449.9320823216799704584962828
92115	92660	+	Ga0248264_11:4855508-5153816	-148.8512695693809706817459931
92609	93058	+	Ga0248264_11:4855508-5153816	-136.1897609126448772380786278
93039	93134	+	Ga0248264_11:4855508-5153816	-1.449480733420819413356531629
93150	93956	+	Ga0248264_11:4855508-5153816	-310.7917778601838153801176372
93946	94065	+	Ga0248264_11:4855508-5153816	-0.1774826872415626933373742544
94062	94250	+	Ga0248264_11:4855508-5153816	-5.125028513533280715865151716
94255	94509	+	Ga0248264_11:4855508-5153816	-5.777410741619326144297240327
94583	95167	+	Ga0248264_11:4855508-5153816	-30.12021880491384195111938826
95184	95372	+	Ga0248264_11:4855508-5153816	-0.06631130405970981337932783576
95324	95710	+	Ga0248264_11:4855508-5153816	-36.96380256025288448697298999
95796	96524	+	Ga0248264_11:4855508-5153816	-1077.672174981205187158124896
96565	96858	+	Ga0248264_11:4855508-5153816	-3.070859784596284163893415550
96839	97369	+	Ga0248264_11:4855508-5153816	-496.1376251082879951985952624
97486	97884	+	Ga0248264_11:4855508-5153816	-19.69188594518955280657264194
97874	97978	+	Ga0248264_11:4855508-5153816	-1.320770672290265405205116894
98048	98758	+	Ga0248264_11:4855508-5153816	-35.16818933974943576534150238
98758	98889	+	Ga0248264_11:4855508-5153816	-1.483303025270716360790972472
98938	99405	+	Ga0248264_11:4855508-5153816	-9.970099582038520205481829552
99534	100136	+	Ga0248264_11:4855508-5153816	-62.04757102189991017863429774
100141	100308	+	Ga0248264_11:4855508-5153816	-1.832571110555849513412286858
100305	100397	+	Ga0248264_11:4855508-5153816	-0.05759068015143899848058973913
100418	100900	+	Ga0248264_11:4855508-5153816	-78.61940609145477811198478037
100937	101338	+	Ga0248264_11:4855508-5153816	-14.86928891436175734936545139
101461	101679	+	Ga0248264_11:4855508-5153816	-0.07965300760435778094765956083
101688	101840	+	Ga0248264_11:4855508-5153816	-0.1300397794076377034773381197
101886	102035	+	Ga0248264_11:4855508-5153816	-7.310214956059459637165999745
102085	102207	+	Ga0248264_11:4855508-5153816	-2.304057601015385211437590491
102310	102402	+	Ga0248264_11:4855508-5153816	-1.697086303697847792111822076
102458	111928	+	Ga0248264_11:4855508-5153816	-3.808186903913760352090869856E+34
112118	112213	+	Ga0248264_11:4855508-5153816	-0.1443029853245876270854432042
112851	112468	-	Ga0248264_11:4855508-5153816	-1.611806645618767621113655357
113129	113230	+	Ga0248264_11:4855508-5153816	-0.05658246743004960880343452441
113255	113353	+	Ga0248264_11:4855508-5153816	-1.350206419086409310424022001
113864	113577	-	Ga0248264_11:4855508-5153816	-2.447548511834463871051878585
114421	114146	-	Ga0248264_11:4855508-5153816	-1.687410913759651748144488066
114634	114783	+	Ga0248264_11:4855508-5153816	-0.09010449132081506859519419228
115131	115030	-	Ga0248264_11:4855508-5153816	-0.1235014479605629053277876292
115402	115509	+	Ga0248264_11:4855508-5153816	-0.1591920015280231041252441080
115822	115724	-	Ga0248264_11:4855508-5153816	-0.07685998968749238519348909901
116084	116224	+	Ga0248264_11:4855508-5153816	-0.1530268466007136948275931049
116468	116575	+	Ga0248264_11:4855508-5153816	-0.06005918132358743929391199656
116885	116793	-	Ga0248264_11:4855508-5153816	-1.312205183895291538033763371
117161	117283	+	Ga0248264_11:4855508-5153816	-0.06651163201051823586949821465
117366	117557	+	Ga0248264_11:4855508-5153816	-0.06387768587457974494443255596
117728	117817	+	Ga0248264_11:4855508-5153816	-0.1376119988443694517266579772
118040	118303	+	Ga0248264_11:4855508-5153816	-1.293900235386111841171690789
118408	118530	+	Ga0248264_11:4855508-5153816	-0.05538503172242024359577560114
119992	118697	-	Ga0248264_11:4855508-5153816	-2539.401102941510015269973027
120287	120505	+	Ga0248264_11:4855508-5153816	-5.253994638753422675106207042
120762	120866	+	Ga0248264_11:4855508-5153816	-0.08121928213952822241649595173
121128	121220	+	Ga0248264_11:4855508-5153816	-0.05874157955047330055089101359
121629	121441	-	Ga0248264_11:4855508-5153816	-0.08340066408662169832273588153
121722	121820	+	Ga0248264_11:4855508-5153816	-1.485053896888343073691223718
122097	122204	+	Ga0248264_11:4855508-5153816	-1.521360889073238017829186808
122480	122605	+	Ga0248264_11:4855508-5153816	-0.08285748076837190682257436260
122728	123309	+	Ga0248264_11:4855508-5153816	-1.527328209420529222839575900
123736	123575	-	Ga0248264_11:4855508-5153816	-1.397135361325066122539308535
123870	124052	+	Ga0248264_11:4855508-5153816	-0.2533099837998508625692109950
124288	124386	+	Ga0248264_11:4855508-5153816	-0.1665846074360140891862990520
124774	124631	-	Ga0248264_11:4855508-5153816	-0.1322328080569946796385020670
125069	125170	+	Ga0248264_11:4855508-5153816	-0.05148279398499201137911476999
125793	125440	-	Ga0248264_11:4855508-5153816	-0.1114387841683175993824087724
126077	126196	+	Ga0248264_11:4855508-5153816	-1.312326423252668416837365273
126523	126428	-	Ga0248264_11:4855508-5153816	-0.1265660697290716420180294037
126942	126796	-	Ga0248264_11:4855508-5153816	-0.1267223258788762451594232648
127076	127471	+	Ga0248264_11:4855508-5153816	-1.443087173527047683015279698
127730	128083	+	Ga0248264_11:4855508-5153816	-0.06636090450626300125070599373
128312	128410	+	Ga0248264_11:4855508-5153816	-0.2141307514867550979297757246
128661	128876	+	Ga0248264_11:4855508-5153816	-1.344873581683379295019065465
129130	129447	+	Ga0248264_11:4855508-5153816	-0.2914680220030822739384026681
129633	129734	+	Ga0248264_11:4855508-5153816	-0.1322909284681552498671031518
130262	130029	-	Ga0248264_11:4855508-5153816	-0.06435021863613192383640460812
130498	130656	+	Ga0248264_11:4855508-5153816	-1.267274201135177297678756020
130887	130991	+	Ga0248264_11:4855508-5153816	-0.05808745169357351421632559753
131644	131279	-	Ga0248264_11:4855508-5153816	-46.75577073765171541113524917
131865	132041	+	Ga0248264_11:4855508-5153816	-0.05977060346954446746352898754
132179	132081	-	Ga0248264_11:4855508-5153816	-1.685830121750850803283946952
136551	132403	-	Ga0248264_11:4855508-5153816	-23415815801499828.42163256789
136643	136281	-	Ga0248264_11:4855508-5153816	-3.113904596562825123119205485
137239	136907	-	Ga0248264_11:4855508-5153816	-9.555701522891783809841792864
137527	137628	+	Ga0248264_11:4855508-5153816	-0.06051029637931611829147227278
137810	138127	+	Ga0248264_11:4855508-5153816	-0.1963201799525169217975771308
138381	138473	+	Ga0248264_11:4855508-5153816	-2.057127046876908595415903175
138750	138851	+	Ga0248264_11:4855508-5153816	-1.305334634213638701365752586
139041	138913	-	Ga0248264_11:4855508-5153816	-1.829687430183942289699177263
139251	139340	+	Ga0248264_11:4855508-5153816	-1.331727879574129337110601613
139604	139693	+	Ga0248264_11:4855508-5153816	-0.2434623805838515560871511418
140062	139931	-	Ga0248264_11:4855508-5153816	-0.08941643358915322515578580760
140334	140489	+	Ga0248264_11:4855508-5153816	-3.180598472528679139997639405
140671	140841	+	Ga0248264_11:4855508-5153816	-0.09233157070108231201071838988
141026	141139	+	Ga0248264_11:4855508-5153816	-0.06063948824218932166537456215
141421	141510	+	Ga0248264_11:4855508-5153816	-1.412772828527480519773850021
142148	141753	-	Ga0248264_11:4855508-5153816	-0.1666070229189384309568721137
142564	142445	-	Ga0248264_11:4855508-5153816	-1.325119745550529543523570885
142981	142856	-	Ga0248264_11:4855508-5153816	-0.05680520523096400006090087134
143421	143266	-	Ga0248264_11:4855508-5153816	-0.1240383669272772664534137890
143697	143852	+	Ga0248264_11:4855508-5153816	-0.7344432387860088590078164995
144089	144283	+	Ga0248264_11:4855508-5153816	-0.1341904029368772782584918667
144567	144704	+	Ga0248264_11:4855508-5153816	-0.2543369538413339748128032929
144891	144983	+	Ga0248264_11:4855508-5153816	-0.1898992951374762629522891540
145186	145452	+	Ga0248264_11:4855508-5153816	-2.402823082334744879467474027
145825	145715	-	Ga0248264_11:4855508-5153816	-0.08253909706562067734311007752
146178	146017	-	Ga0248264_11:4855508-5153816	-0.05417000132466276084400600470
146772	146461	-	Ga0248264_11:4855508-5153816	-0.6964942985825073631474639807
147035	147175	+	Ga0248264_11:4855508-5153816	-0.05653572982802308254297722629
147410	147514	+	Ga0248264_11:4855508-5153816	-0.06063049155023917839655433036
147644	147751	+	Ga0248264_11:4855508-5153816	-0.1279213178910194665642681261
148096	147944	-	Ga0248264_11:4855508-5153816	-0.05356250938961850552577683119
148514	148362	-	Ga0248264_11:4855508-5153816	-0.1988045247219933979920939883
148885	148790	-	Ga0248264_11:4855508-5153816	-0.1284495618199358388757168667
149161	149316	+	Ga0248264_11:4855508-5153816	-0.4938201197154795192086131012
149542	149637	+	Ga0248264_11:4855508-5153816	-0.07175204899408680140547786468
150127	149774	-	Ga0248264_11:4855508-5153816	-0.3761297018050917042731394493
150508	150413	-	Ga0248264_11:4855508-5153816	-1.522410593237281204024829609
150803	150907	+	Ga0248264_11:4855508-5153816	-0.2303888749454543615756471708
151175	151306	+	Ga0248264_11:4855508-5153816	-1.884536604463180166252184126
151535	151624	+	Ga0248264_11:4855508-5153816	-1.510598310113227220968358261
151916	152023	+	Ga0248264_11:4855508-5153816	-0.09913605742909381546389145382
152293	152412	+	Ga0248264_11:4855508-5153816	-0.4043293554649061481464484074
152668	152865	+	Ga0248264_11:4855508-5153816	-0.05672735283354127985204081144
153423	153073	-	Ga0248264_11:4855508-5153816	-1.400780974954443245511933578
153745	153572	-	Ga0248264_11:4855508-5153816	-0.1194077226357269456161193637
153958	154209	+	Ga0248264_11:4855508-5153816	-0.05926238677530528999204989741
154533	154387	-	Ga0248264_11:4855508-5153816	-0.1224383165476342471959604903
154957	154814	-	Ga0248264_11:4855508-5153816	-0.08292154666446148212687582066
156205	155240	-	Ga0248264_11:4855508-5153816	-5.707260623129957924970726092
156984	156481	-	Ga0248264_11:4855508-5153816	-0.8396783978023065067422384193
157227	157460	+	Ga0248264_11:4855508-5153816	-1.225118615979401461310154258
157817	157689	-	Ga0248264_11:4855508-5153816	-0.08342941379149828394844484042
157919	158008	+	Ga0248264_11:4855508-5153816	-1.097881129629947772348697580
158154	158405	+	Ga0248264_11:4855508-5153816	-0.06578007930217815591421727185
159057	158689	-	Ga0248264_11:4855508-5153816	-16.89880663984387024390131506
159332	159427	+	Ga0248264_11:4855508-5153816	-0.1032173087774160103671770772
159913	159581	-	Ga0248264_11:4855508-5153816	-3.262159630715658356338949705
160200	160319	+	Ga0248264_11:4855508-5153816	-1.462575887516322800930001717
160586	160729	+	Ga0248264_11:4855508-5153816	-1.101700593846623787683297794
161004	161099	+	Ga0248264_11:4855508-5153816	-1.910732882768177809639469766
161499	161332	-	Ga0248264_11:4855508-5153816	-0.1520596006526505621750608681
161645	161758	+	Ga0248264_11:4855508-5153816	-0.06229982775346359758764082027
162048	162158	+	Ga0248264_11:4855508-5153816	-1.576414441412597720252452574
162534	162379	-	Ga0248264_11:4855508-5153816	-0.08020041165349314763546061601
162992	162795	-	Ga0248264_11:4855508-5153816	-0.1811083227386041087182174779
163154	163255	+	Ga0248264_11:4855508-5153816	-1.218710741824444642782607538
164043	163525	-	Ga0248264_11:4855508-5153816	-2.603269241029923442582550293
164325	164143	-	Ga0248264_11:4855508-5153816	-0.3063795602176741820820443939
164531	164644	+	Ga0248264_11:4855508-5153816	-0.05601226983187871637974354129
164922	165047	+	Ga0248264_11:4855508-5153816	-2.195920181834937655161681977
165472	165314	-	Ga0248264_11:4855508-5153816	-0.07660511540634356465935412740
165820	165731	-	Ga0248264_11:4855508-5153816	-0.07563904307462204831399944383
166564	166043	-	Ga0248264_11:4855508-5153816	-0.9154020224774689484807750965
166820	167005	+	Ga0248264_11:4855508-5153816	-0.1976818124959591968577909993
167431	167216	-	Ga0248264_11:4855508-5153816	-2.012434345823126297048946492
168011	167724	-	Ga0248264_11:4855508-5153816	-0.3487700678110906991041676714
168290	168460	+	Ga0248264_11:4855508-5153816	-0.1557043539144923838165040995
168708	168839	+	Ga0248264_11:4855508-5153816	-0.09179347728083031503963405060
169161	169060	-	Ga0248264_11:4855508-5153816	-1.124934914273773687142715536
169452	169565	+	Ga0248264_11:4855508-5153816	-0.09578134280010488059665127451
169804	169905	+	Ga0248264_11:4855508-5153816	-0.1421141044758153040193882052
170167	170286	+	Ga0248264_11:4855508-5153816	-1.704497541797911478492778276
170669	170580	-	Ga0248264_11:4855508-5153816	-1.462160651644523271539850554
171005	170850	-	Ga0248264_11:4855508-5153816	-1.539352167986103946340155426
171287	171403	+	Ga0248264_11:4855508-5153816	-0.09147870167266923880600554778
171469	171594	+	Ga0248264_11:4855508-5153816	-0.2183205403091387056566357632
172511	171846	-	Ga0248264_11:4855508-5153816	-90.11970828261076279949258721
172806	172991	+	Ga0248264_11:4855508-5153816	-4.263601137200444716699210172
173481	173239	-	Ga0248264_11:4855508-5153816	-0.1333059830635457333820911549
174117	173725	-	Ga0248264_11:4855508-5153816	-0.2467980830336297009626932029
174411	174527	+	Ga0248264_11:4855508-5153816	-0.08030548540537288215736862193
174933	174730	-	Ga0248264_11:4855508-5153816	-1.446066277502977687976211656
175322	175140	-	Ga0248264_11:4855508-5153816	-0.1632507662218887172178597416
175620	175522	-	Ga0248264_11:4855508-5153816	-1.059039856753821220983883681
175920	175786	-	Ga0248264_11:4855508-5153816	-0.1321481787596208812882113753
176040	176135	+	Ga0248264_11:4855508-5153816	-0.1829030782888603822878283665
176271	176360	+	Ga0248264_11:4855508-5153816	-0.06157161765457395787844504923
176877	176485	-	Ga0248264_11:4855508-5153816	-1.728529126310050335217658697
177171	177263	+	Ga0248264_11:4855508-5153816	-0.2221059524972400183795518004
177480	177617	+	Ga0248264_11:4855508-5153816	-0.08435204702204160874846730528
177785	177898	+	Ga0248264_11:4855508-5153816	-0.2539401838637266551450268144
178174	178275	+	Ga0248264_11:4855508-5153816	-0.1988001198566480018458249228
178330	178425	+	Ga0248264_11:4855508-5153816	-1.448671092972907030443303025
178642	178794	+	Ga0248264_11:4855508-5153816	-0.1934265962485979373541035172
178808	178978	+	Ga0248264_11:4855508-5153816	-1.184452971033127176174561346
179147	179368	+	Ga0248264_11:4855508-5153816	-0.05624167498601795671091568025
179535	179648	+	Ga0248264_11:4855508-5153816	-0.1298041330015727554614900569
179930	180028	+	Ga0248264_11:4855508-5153816	-1.309228304419694448920074021
180248	180138	-	Ga0248264_11:4855508-5153816	-0.1291243687731763769497285146
180530	180423	-	Ga0248264_11:4855508-5153816	-0.05471172158911521207277401854
180718	180930	+	Ga0248264_11:4855508-5153816	-0.2520565135955874592206633184
181122	181292	+	Ga0248264_11:4855508-5153816	-0.05308418059256407847714286214
181316	181441	+	Ga0248264_11:4855508-5153816	-2.192715421288589176363062029
181661	181768	+	Ga0248264_11:4855508-5153816	-0.07330653911849664526605726936
181743	181865	+	Ga0248264_11:4855508-5153816	-0.1268166500191463249451392220
182416	182066	-	Ga0248264_11:4855508-5153816	-0.2857448999320906819031372453
182771	182604	-	Ga0248264_11:4855508-5153816	-3.771697273451692386030556630
183060	183161	+	Ga0248264_11:4855508-5153816	-0.1116375488666963468533117084
183611	183396	-	Ga0248264_11:4855508-5153816	-3.435915113412547284018694411
184186	183872	-	Ga0248264_11:4855508-5153816	-0.08999456988869524772464750790
184474	184584	+	Ga0248264_11:4855508-5153816	-0.3754124942714500757463250732
184808	184632	-	Ga0248264_11:4855508-5153816	-0.3179583623232271407858910487
185032	185166	+	Ga0248264_11:4855508-5153816	-1.603282473515429570384845917
185381	185494	+	Ga0248264_11:4855508-5153816	-1.330657126005202185281225816
186212	185775	-	Ga0248264_11:4855508-5153816	-0.6052162382228855538137594892
186596	186498	-	Ga0248264_11:4855508-5153816	-1.280255033530300296735772606
186980	186813	-	Ga0248264_11:4855508-5153816	-0.2220728682695171274741321709
187264	187377	+	Ga0248264_11:4855508-5153816	-0.05331915204760462264273555573
187937	187611	-	Ga0248264_11:4855508-5153816	-0.1990738915148558518916059057
188091	188207	+	Ga0248264_11:4855508-5153816	-1.124065269400786862918293991
188493	188639	+	Ga0248264_11:4855508-5153816	-0.1331169216472589459042460049
189021	188920	-	Ga0248264_11:4855508-5153816	-1.865480564651963021972024663
189373	189245	-	Ga0248264_11:4855508-5153816	-1.690596699871222353734518427
189755	189648	-	Ga0248264_11:4855508-5153816	-0.08065866458339062946275278503
190525	190040	-	Ga0248264_11:4855508-5153816	-0.2872985380002703889060505640
190875	190753	-	Ga0248264_11:4855508-5153816	-0.1295437001412533164037739422
191384	191040	-	Ga0248264_11:4855508-5153816	-3.472854939162859373189753611
191769	191677	-	Ga0248264_11:4855508-5153816	-0.06429591855923158891705818088
192046	192213	+	Ga0248264_11:4855508-5153816	-0.06031265076256929857503174014
192509	192754	+	Ga0248264_11:4855508-5153816	-0.2295632951648473508835869645
192938	192795	-	Ga0248264_11:4855508-5153816	-0.1608640845565436111033690852
193180	193278	+	Ga0248264_11:4855508-5153816	-0.06791833493028025395813259498
193608	193513	-	Ga0248264_11:4855508-5153816	-0.1245514299348597446935988647
193663	193797	+	Ga0248264_11:4855508-5153816	-1.208994129170172481507985802
194067	194213	+	Ga0248264_11:4855508-5153816	-0.1647721319718149719537085982
194611	194447	-	Ga0248264_11:4855508-5153816	-1.159962694133077009341121836
195095	194829	-	Ga0248264_11:4855508-5153816	-0.5470939451833599751174060404
195392	195490	+	Ga0248264_11:4855508-5153816	-0.1301603759856273996565066537
195766	195867	+	Ga0248264_11:4855508-5153816	-0.08184982980155245123825397934
196156	196254	+	Ga0248264_11:4855508-5153816	-1.351616479810993619698594229
196567	196430	-	Ga0248264_11:4855508-5153816	-0.1782826177912436145105358735
196828	196929	+	Ga0248264_11:4855508-5153816	-0.05211831917892513992017175900
197174	197335	+	Ga0248264_11:4855508-5153816	-1.375299594058983379802033570
197582	197692	+	Ga0248264_11:4855508-5153816	-1.336227142022463078666008190
