NHBDKAOG_00003	K07334	toxin HigB-1  
NHBDKAOG_00525	K12990	rhamnosyltransferase [EC:2.4.1.-]  
NHBDKAOG_00526	K12538	outer membrane protein, protease
NHBDKAOG_00526	K12340	outer membrane protein 
NHBDKAOG_00527	K12537	membrane fusion protein, protease
NHBDKAOG_00537	K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
NHBDKAOG_00538	K02652	type IV pilus assembly
NHBDKAOG_00539	K02653	type IV pilus assembly
NHBDKAOG_00540	K02654	leader peptidase (prepilin peptidase)
NHBDKAOG_00548	K07486	transposase   
NHBDKAOG_00554	K01876	aspartyl-tRNA synthetase [EC:6.1.1.12] 
NHBDKAOG_00555	K01167	ribonuclease T1 [EC:3.1.27.3] 
NHBDKAOG_00557	K08310	dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]
NHBDKAOG_00560	K09930	uncharacterized protein  
NHBDKAOG_00562	K03089	RNA polymerase sigma-32 factor
NHBDKAOG_00564	K14998	surfeit locus 1 family
NHBDKAOG_00566	K02276	cytochrome c oxidase subunit
NHBDKAOG_00568	K02258	cytochrome c oxidase assembly
NHBDKAOG_00570	K02274	cytochrome c oxidase subunit
NHBDKAOG_00571	K02275	cytochrome c oxidase subunit
NHBDKAOG_00574	K02257	heme o synthase [EC:2.5.1.141]
NHBDKAOG_00575	K02558	UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
NHBDKAOG_00578	K03786	3-dehydroquinate dehydratase II [EC:4.2.1.10]
NHBDKAOG_00579	K02160	acetyl-CoA carboxylase biotin carboxyl
NHBDKAOG_00580	K01961	acetyl-CoA carboxylase, biotin carboxylase
NHBDKAOG_00581	K02687	ribosomal protein L11 methyltransferase
NHBDKAOG_00583	K00856	adenosine kinase [EC:2.7.1.20] 
NHBDKAOG_00584	K03711	Fur family transcriptional regulator,
NHBDKAOG_00585	K06186	outer membrane protein assembly
NHBDKAOG_00586	K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8] 
NHBDKAOG_00587	K03216	tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207] 
NHBDKAOG_00588	K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
NHBDKAOG_00596	K09861	uncharacterized protein  
NHBDKAOG_00598	K01579	aspartate 1-decarboxylase [EC:4.1.1.11] 
NHBDKAOG_00599	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1] 
NHBDKAOG_00600	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11] 
NHBDKAOG_00602	K01873	valyl-tRNA synthetase [EC:6.1.1.9] 
NHBDKAOG_00604	K02339	DNA polymerase III subunit
NHBDKAOG_00605	K01255	leucyl aminopeptidase [EC:3.4.11.1] 
NHBDKAOG_00606	K07091	lipopolysaccharide export system permease
NHBDKAOG_00607	K11720	lipopolysaccharide export system permease
NHBDKAOG_00612	K01652	acetolactate synthase I/II/III large
NHBDKAOG_00613	K01653	acetolactate synthase I/III small
NHBDKAOG_00614	K00053	ketol-acid reductoisomerase [EC:1.1.1.86] 
NHBDKAOG_00615	K17103	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8] 
NHBDKAOG_00616	K01649	2-isopropylmalate synthase [EC:2.3.3.13] 
NHBDKAOG_00618	K03809	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
NHBDKAOG_00619	K07058	membrane protein  
NHBDKAOG_00620	K23127	cyclic-di-GMP-binding protein  
NHBDKAOG_00621	K02959	small subunit ribosomal protein
NHBDKAOG_00622	K02860	16S rRNA processing protein
NHBDKAOG_00623	K00554	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228] 
NHBDKAOG_00624	K02884	large subunit ribosomal protein
NHBDKAOG_00625	K09007	GTP cyclohydrolase IB [EC:3.5.4.16]
NHBDKAOG_00626	K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7] 
NHBDKAOG_00627	K00795	farnesyl diphosphate synthase [EC:2.5.1.1
NHBDKAOG_00628	K03602	exodeoxyribonuclease VII small subunit
NHBDKAOG_00629	K01881	prolyl-tRNA synthetase [EC:6.1.1.15] 
NHBDKAOG_00631	K03106	signal recognition particle subunit
NHBDKAOG_00633	K06996	uncharacterized protein  
NHBDKAOG_00634	K06077	outer membrane lipoprotein SlyB
NHBDKAOG_00637	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47] 
NHBDKAOG_00638	K02377	GDP-L-fucose synthase [EC:1.1.1.271] 
NHBDKAOG_00639	K01886	glutaminyl-tRNA synthetase [EC:6.1.1.18] 
NHBDKAOG_00640	K18588	coenzyme Q-binding protein COQ10
NHBDKAOG_00641	K07014	uncharacterized protein  
NHBDKAOG_00642	K16264	cobalt-zinc-cadmium efflux system protein
NHBDKAOG_00643	K07560	D-aminoacyl-tRNA deacylase [EC:3.1.1.96] 
NHBDKAOG_00645	K05367	penicillin-binding protein 1C [EC:2.4.1.129]
NHBDKAOG_00647	K00982	[glutamine synthetase] adenylyltransferase /
NHBDKAOG_00651	K07234	uncharacterized protein involved in
NHBDKAOG_00652	K03567	glycine cleavage system transcriptional
NHBDKAOG_00654	K02553	regulator of ribonuclease activity
NHBDKAOG_00655	K03694	ATP-dependent Clp protease ATP-binding
NHBDKAOG_00656	K06891	ATP-dependent Clp protease adaptor
NHBDKAOG_00657	K03704	cold shock protein 
NHBDKAOG_00658	K03637	cyclic pyranopterin monophosphate synthase
NHBDKAOG_00659	K01423	beta-barrel assembly-enhancing protease [EC:3.4.-.-]
NHBDKAOG_00660	K04085	tRNA 2-thiouridine synthesizing protein
NHBDKAOG_00661	K03342	para-aminobenzoate synthetase / 4-amino-4-deoxychorismate
NHBDKAOG_00664	K20509	carboxybiotin decarboxylase [EC:7.2.4.1] 
NHBDKAOG_00669	K03118	sec-independent protein translocase protein
NHBDKAOG_00670	K03117	sec-independent protein translocase protein
NHBDKAOG_00671	K03116	sec-independent protein translocase protein
NHBDKAOG_00672	K02503	histidine triad (HIT) family
NHBDKAOG_00673	K01523	phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31] 
NHBDKAOG_00674	K01496	phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19] 
NHBDKAOG_00675	K02500	imidazole glycerol-phosphate synthase subunit
NHBDKAOG_00676	K01814	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
NHBDKAOG_00677	K02501	imidazole glycerol-phosphate synthase subunit
NHBDKAOG_00678	K01693	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19] 
NHBDKAOG_00679	K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9] 
NHBDKAOG_00681	K09811	cell division transport system
NHBDKAOG_00682	K09812	cell division transport system
NHBDKAOG_00683	K03110	fused signal recognition particle
NHBDKAOG_00684	K07263	zinc protease [EC:3.4.24.-] 
NHBDKAOG_00685	K07263	zinc protease [EC:3.4.24.-] 
NHBDKAOG_00686	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
NHBDKAOG_00687	K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3] 
NHBDKAOG_00689	K01866	tyrosyl-tRNA synthetase [EC:6.1.1.1] 
NHBDKAOG_00695	K03893	arsenical pump membrane protein
NHBDKAOG_00697	K01776	glutamate racemase [EC:5.1.1.3] 
NHBDKAOG_00699	K01676	fumarate hydratase, class I
NHBDKAOG_00701	K01895	acetyl-CoA synthetase [EC:6.2.1.1] 
NHBDKAOG_00702	K07182	CBS domain-containing protein 
NHBDKAOG_00703	K09951	CRISPR-associated protein Cas2 
NHBDKAOG_00704	K14393	cation/acetate symporter  
NHBDKAOG_00707	K00013	histidinol dehydrogenase [EC:1.1.1.23] 
NHBDKAOG_00708	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17] 
NHBDKAOG_00709	K03699	putative hemolysin  
NHBDKAOG_00710	K01584	arginine decarboxylase [EC:4.1.1.19] 
NHBDKAOG_00711	K01494	dCTP deaminase [EC:3.5.4.13] 
NHBDKAOG_00712	K03593	ATP-binding protein involved in
NHBDKAOG_00713	K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25] 
NHBDKAOG_00715	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
NHBDKAOG_00716	K23753	polyphosphate kinase (ADP) [EC:2.7.4.-]
NHBDKAOG_00717	K14682	amino-acid N-acetyltransferase [EC:2.3.1.1] 
NHBDKAOG_00719	K01807	ribose 5-phosphate isomerase A
NHBDKAOG_00720	K01939	adenylosuccinate synthase [EC:6.3.4.4] 
NHBDKAOG_00723	K13522	bifunctional NMN adenylyltransferase/nudix hydrolase
NHBDKAOG_00723	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55] 
NHBDKAOG_00725	K00763	nicotinate phosphoribosyltransferase [EC:6.3.4.21] 
NHBDKAOG_00730	K02014	iron complex outermembrane recepter
NHBDKAOG_00732	K03832	periplasmic protein TonB 
NHBDKAOG_00733	K03561	biopolymer transport protein ExbB
NHBDKAOG_00734	K03559	biopolymer transport protein ExbD
NHBDKAOG_00737	K16568	exopolysaccharide production protein ExoZ
NHBDKAOG_00743	K16898	ATP-dependent helicase/nuclease subunit A
NHBDKAOG_00747	K07050	misacylated tRNA(Ala) deacylase [EC:3.1.1.-]
NHBDKAOG_00751	K05807	outer membrane protein assembly
NHBDKAOG_00752	K06180	23S rRNA pseudouridine1911/1915/1917 synthase
NHBDKAOG_00753	K05810	polyphenol oxidase [EC:1.10.3.-] 
NHBDKAOG_00755	K00023	acetoacetyl-CoA reductase [EC:1.1.1.36] 
NHBDKAOG_00755	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
NHBDKAOG_00758	K20509	carboxybiotin decarboxylase [EC:7.2.4.1] 
NHBDKAOG_00763	K01609	indole-3-glycerol phosphate synthase [EC:4.1.1.48]
NHBDKAOG_00764	K06147	ATP-binding cassette, subfamily B,
NHBDKAOG_00766	K03802	cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
NHBDKAOG_00767	K03802	cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
NHBDKAOG_00768	K09749	uncharacterized protein  
NHBDKAOG_00769	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_00770	K03413	two-component system, chemotaxis family,
NHBDKAOG_00772	K03407	two-component system, chemotaxis family,
NHBDKAOG_00773	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_00774	K03408	purine-binding chemotaxis protein CheW
NHBDKAOG_00775	K03412	two-component system, chemotaxis family,
NHBDKAOG_00776	K06182	23S rRNA pseudouridine2604 synthase
NHBDKAOG_00781	K03620	Ni/Fe-hydrogenase 1 B-type cytochrome
NHBDKAOG_00782	K04564	superoxide dismutase, Fe-Mn family
NHBDKAOG_00783	K03601	exodeoxyribonuclease VII large subunit
NHBDKAOG_00784	K03561	biopolymer transport protein ExbB
NHBDKAOG_00785	K03559	biopolymer transport protein ExbD
NHBDKAOG_00786	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130] 
NHBDKAOG_00787	K09791	uncharacterized protein  
NHBDKAOG_00788	K00979	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)
NHBDKAOG_00789	K00939	adenylate kinase [EC:2.7.4.3] 
NHBDKAOG_00790	K15987	K(+)-stimulated pyrophosphate-energized sodium pump
NHBDKAOG_00792	K03980	putative peptidoglycan lipid II
NHBDKAOG_00794	K02078	acyl carrier protein 
NHBDKAOG_00797	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NHBDKAOG_00797	K08884	serine/threonine protein kinase, bacterial
NHBDKAOG_00799	K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
NHBDKAOG_00804	K01638	malate synthase [EC:2.3.3.9] 
NHBDKAOG_00805	K01772	protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]
NHBDKAOG_00806	K03705	heat-inducible transcriptional repressor 
NHBDKAOG_00807	K00858	NAD+ kinase [EC:2.7.1.23] 
NHBDKAOG_00808	K03631	DNA repair protein RecN
NHBDKAOG_00810	K00928	aspartate kinase [EC:2.7.2.4] 
NHBDKAOG_00813	K01768	adenylate cyclase [EC:4.6.1.1] 
NHBDKAOG_00814	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_00815	K03415	two-component system, chemotaxis family,
NHBDKAOG_00816	K03415	two-component system, chemotaxis family,
NHBDKAOG_00817	K03413	two-component system, chemotaxis family,
NHBDKAOG_00818	K03414	chemotaxis protein CheZ 
NHBDKAOG_00819	K03407	two-component system, chemotaxis family,
NHBDKAOG_00820	K02401	flagellar biosynthetic protein FlhB
NHBDKAOG_00821	K02400	flagellar biosynthesis protein FlhA
NHBDKAOG_00822	K02404	flagellar biosynthesis protein FlhF
NHBDKAOG_00823	K04562	flagellar biosynthesis protein FlhG
NHBDKAOG_00824	K02405	RNA polymerase sigma factor
NHBDKAOG_00825	K02556	chemotaxis protein MotA 
NHBDKAOG_00826	K02557	chemotaxis protein MotB 
NHBDKAOG_00830	K02423	flagellar protein FliT 
NHBDKAOG_00831	K02422	flagellar protein FliS 
NHBDKAOG_00832	K02407	flagellar hook-associated protein 2
NHBDKAOG_00833	K06603	flagellar protein FlaG 
NHBDKAOG_00834	K02406	flagellin   
NHBDKAOG_00835	K02421	flagellar biosynthetic protein FliR
NHBDKAOG_00836	K02420	flagellar biosynthetic protein FliQ
