2767802455_NHBDKAOG_00003	K07334
2767802455_NHBDKAOG_00417	K13590
2767802455_NHBDKAOG_00417	K07216
2767802455_NHBDKAOG_00420	K22491
2767802455_NHBDKAOG_00423	K00253
2767802455_NHBDKAOG_00424	K01673
2767802455_NHBDKAOG_00426	K00249
2767802455_NHBDKAOG_00428	K03752
2767802455_NHBDKAOG_00432	K01153
2767802455_NHBDKAOG_00433	K01154
2767802455_NHBDKAOG_00436	K03427
2767802455_NHBDKAOG_00438	K03656
2767802455_NHBDKAOG_00438	K03657
2767802455_NHBDKAOG_00439	K07034
2767802455_NHBDKAOG_00442	K09760
2767802455_NHBDKAOG_00444	K04763
2767802455_NHBDKAOG_00451	K00121
2767802455_NHBDKAOG_00453	K01908
2767802455_NHBDKAOG_00455	K19745
2767802455_NHBDKAOG_00457	K02012
2767802455_NHBDKAOG_00458	K02011
2767802455_NHBDKAOG_00459	K02010
2767802455_NHBDKAOG_00460	K00684
2767802455_NHBDKAOG_00461	K21420
2767802455_NHBDKAOG_00463	K07317
2767802455_NHBDKAOG_00465	K20976
2767802455_NHBDKAOG_00466	K06415
2767802455_NHBDKAOG_00467	K09786
2767802455_NHBDKAOG_00468	K07180
2767802455_NHBDKAOG_00476	K13283
2767802455_NHBDKAOG_00479	K07006
2767802455_NHBDKAOG_00481	K03559
2767802455_NHBDKAOG_00482	K03562
2767802455_NHBDKAOG_00482	K03561
2767802455_NHBDKAOG_00483	K07107
2767802455_NHBDKAOG_00484	K03551
2767802455_NHBDKAOG_00486	K03550
2767802455_NHBDKAOG_00487	K01159
2767802455_NHBDKAOG_00489	K02237
2767802455_NHBDKAOG_00491	K07645
2767802455_NHBDKAOG_00492	K07666
2767802455_NHBDKAOG_00495	K06287
2767802455_NHBDKAOG_00496	K00783
2767802455_NHBDKAOG_00497	K09710
2767802455_NHBDKAOG_00498	K00969
2767802455_NHBDKAOG_00501	K02204
2767802455_NHBDKAOG_00503	K02335
2767802455_NHBDKAOG_00505	K02041
2767802455_NHBDKAOG_00506	K02042
2767802455_NHBDKAOG_00507	K02044
2767802455_NHBDKAOG_00512	K00265
2767802455_NHBDKAOG_00513	K00266
2767802455_NHBDKAOG_00514	K04042
2767802455_NHBDKAOG_00515	K00820
2767802455_NHBDKAOG_00517	K09691
2767802455_NHBDKAOG_00524	K20444
2767802455_NHBDKAOG_00525	K12990
2767802455_NHBDKAOG_00526	K12538
2767802455_NHBDKAOG_00526	K12340
2767802455_NHBDKAOG_00527	K12537
2767802455_NHBDKAOG_00537	K00029
2767802455_NHBDKAOG_00538	K02652
2767802455_NHBDKAOG_00539	K02653
2767802455_NHBDKAOG_00540	K02654
2767802455_NHBDKAOG_00548	K07486
2767802455_NHBDKAOG_00554	K01876
2767802455_NHBDKAOG_00555	K01167
2767802455_NHBDKAOG_00557	K08310
2767802455_NHBDKAOG_00560	K09930
2767802455_NHBDKAOG_00562	K03089
2767802455_NHBDKAOG_00564	K14998
2767802455_NHBDKAOG_00566	K02276
2767802455_NHBDKAOG_00568	K02258
2767802455_NHBDKAOG_00570	K02274
2767802455_NHBDKAOG_00571	K02275
2767802455_NHBDKAOG_00574	K02257
2767802455_NHBDKAOG_00575	K02558
2767802455_NHBDKAOG_00578	K03786
2767802455_NHBDKAOG_00579	K02160
2767802455_NHBDKAOG_00580	K01961
2767802455_NHBDKAOG_00581	K02687
2767802455_NHBDKAOG_00583	K00856
2767802455_NHBDKAOG_00584	K03711
2767802455_NHBDKAOG_00585	K06186
2767802455_NHBDKAOG_00586	K00215
2767802455_NHBDKAOG_00587	K03216
2767802455_NHBDKAOG_00588	K00057
2767802455_NHBDKAOG_00596	K09861
2767802455_NHBDKAOG_00598	K01579
2767802455_NHBDKAOG_00599	K01918
2767802455_NHBDKAOG_00600	K00606
2767802455_NHBDKAOG_00602	K01873
2767802455_NHBDKAOG_00604	K02339
2767802455_NHBDKAOG_00605	K01255
2767802455_NHBDKAOG_00606	K07091
2767802455_NHBDKAOG_00607	K11720
2767802455_NHBDKAOG_00612	K01652
2767802455_NHBDKAOG_00613	K01653
2767802455_NHBDKAOG_00614	K00053
2767802455_NHBDKAOG_00615	K17103
2767802455_NHBDKAOG_00616	K01649
2767802455_NHBDKAOG_00618	K03809
2767802455_NHBDKAOG_00619	K07058
2767802455_NHBDKAOG_00620	K23127
2767802455_NHBDKAOG_00621	K02959
2767802455_NHBDKAOG_00622	K02860
2767802455_NHBDKAOG_00623	K00554
2767802455_NHBDKAOG_00624	K02884
2767802455_NHBDKAOG_00625	K09007
2767802455_NHBDKAOG_00626	K01662
2767802455_NHBDKAOG_00627	K00795
2767802455_NHBDKAOG_00628	K03602
2767802455_NHBDKAOG_00629	K01881
2767802455_NHBDKAOG_00631	K03106
2767802455_NHBDKAOG_00633	K06996
2767802455_NHBDKAOG_00634	K06077
2767802455_NHBDKAOG_00637	K01711
2767802455_NHBDKAOG_00638	K02377
2767802455_NHBDKAOG_00639	K01886
2767802455_NHBDKAOG_00640	K18588
2767802455_NHBDKAOG_00641	K07014
2767802455_NHBDKAOG_00642	K16264
2767802455_NHBDKAOG_00643	K07560
2767802455_NHBDKAOG_00645	K05367
2767802455_NHBDKAOG_00647	K00982
2767802455_NHBDKAOG_00651	K07234
2767802455_NHBDKAOG_00652	K03567
2767802455_NHBDKAOG_00654	K02553
2767802455_NHBDKAOG_00655	K03694
2767802455_NHBDKAOG_00656	K06891
2767802455_NHBDKAOG_00657	K03704
2767802455_NHBDKAOG_00658	K03637
2767802455_NHBDKAOG_00659	K01423
2767802455_NHBDKAOG_00660	K04085
2767802455_NHBDKAOG_00661	K03342
2767802455_NHBDKAOG_00664	K20509
2767802455_NHBDKAOG_00669	K03118
2767802455_NHBDKAOG_00670	K03117
2767802455_NHBDKAOG_00671	K03116
2767802455_NHBDKAOG_00672	K02503
2767802455_NHBDKAOG_00673	K01523
2767802455_NHBDKAOG_00674	K01496
2767802455_NHBDKAOG_00675	K02500
2767802455_NHBDKAOG_00676	K01814
2767802455_NHBDKAOG_00677	K02501
2767802455_NHBDKAOG_00678	K01693
2767802455_NHBDKAOG_00679	K00817
2767802455_NHBDKAOG_00681	K09811
2767802455_NHBDKAOG_00682	K09812
2767802455_NHBDKAOG_00683	K03110
2767802455_NHBDKAOG_00684	K07263
2767802455_NHBDKAOG_00685	K07263
2767802455_NHBDKAOG_00686	K08316
2767802455_NHBDKAOG_00687	K00954
2767802455_NHBDKAOG_00689	K01866
2767802455_NHBDKAOG_00695	K03893
2767802455_NHBDKAOG_00697	K01776
2767802455_NHBDKAOG_00699	K01676
2767802455_NHBDKAOG_00701	K01895
2767802455_NHBDKAOG_00702	K07182
2767802455_NHBDKAOG_00703	K09951
2767802455_NHBDKAOG_00704	K14393
2767802455_NHBDKAOG_00707	K00013
2767802455_NHBDKAOG_00708	K00765
2767802455_NHBDKAOG_00709	K03699
2767802455_NHBDKAOG_00710	K01584
2767802455_NHBDKAOG_00711	K01494
2767802455_NHBDKAOG_00712	K03593
2767802455_NHBDKAOG_00713	K01092
2767802455_NHBDKAOG_00715	K09761
2767802455_NHBDKAOG_00716	K23753
2767802455_NHBDKAOG_00717	K14682
2767802455_NHBDKAOG_00719	K01807
2767802455_NHBDKAOG_00720	K01939
2767802455_NHBDKAOG_00723	K13522
2767802455_NHBDKAOG_00723	K03574
2767802455_NHBDKAOG_00725	K00763
2767802455_NHBDKAOG_00730	K02014
2767802455_NHBDKAOG_00732	K03832
2767802455_NHBDKAOG_00733	K03561
2767802455_NHBDKAOG_00734	K03559
2767802455_NHBDKAOG_00737	K16568
2767802455_NHBDKAOG_00743	K16898
2767802455_NHBDKAOG_00747	K07050
2767802455_NHBDKAOG_00751	K05807
2767802455_NHBDKAOG_00752	K06180
2767802455_NHBDKAOG_00753	K05810
2767802455_NHBDKAOG_00755	K00023
2767802455_NHBDKAOG_00755	K00059
2767802455_NHBDKAOG_00758	K20509
2767802455_NHBDKAOG_00763	K01609
2767802455_NHBDKAOG_00764	K06147
2767802455_NHBDKAOG_00766	K03802
2767802455_NHBDKAOG_00767	K03802
2767802455_NHBDKAOG_00768	K09749
2767802455_NHBDKAOG_00769	K03406
2767802455_NHBDKAOG_00770	K03413
2767802455_NHBDKAOG_00772	K03407
2767802455_NHBDKAOG_00773	K03406
2767802455_NHBDKAOG_00774	K03408
2767802455_NHBDKAOG_00775	K03412
2767802455_NHBDKAOG_00776	K06182
2767802455_NHBDKAOG_00781	K03620
2767802455_NHBDKAOG_00782	K04564
2767802455_NHBDKAOG_00783	K03601
2767802455_NHBDKAOG_00784	K03561
2767802455_NHBDKAOG_00785	K03559
2767802455_NHBDKAOG_00786	K00912
2767802455_NHBDKAOG_00787	K09791
2767802455_NHBDKAOG_00788	K00979
2767802455_NHBDKAOG_00789	K00939
2767802455_NHBDKAOG_00790	K15987
2767802455_NHBDKAOG_00792	K03980
2767802455_NHBDKAOG_00794	K02078
2767802455_NHBDKAOG_00797	K12132
2767802455_NHBDKAOG_00797	K08884
2767802455_NHBDKAOG_00799	K01011
2767802455_NHBDKAOG_00804	K01638
2767802455_NHBDKAOG_00805	K01772
2767802455_NHBDKAOG_00806	K03705
2767802455_NHBDKAOG_00807	K00858
2767802455_NHBDKAOG_00808	K03631
2767802455_NHBDKAOG_00810	K00928
2767802455_NHBDKAOG_00813	K01768
2767802455_NHBDKAOG_00814	K03406
2767802455_NHBDKAOG_00815	K03415
2767802455_NHBDKAOG_00816	K03415
2767802455_NHBDKAOG_00817	K03413
2767802455_NHBDKAOG_00818	K03414
2767802455_NHBDKAOG_00819	K03407
2767802455_NHBDKAOG_00820	K02401
2767802455_NHBDKAOG_00821	K02400
2767802455_NHBDKAOG_00822	K02404
2767802455_NHBDKAOG_00823	K04562
2767802455_NHBDKAOG_00824	K02405
2767802455_NHBDKAOG_00825	K02556
2767802455_NHBDKAOG_00826	K02557
2767802455_NHBDKAOG_00830	K02423
2767802455_NHBDKAOG_00831	K02422
2767802455_NHBDKAOG_00832	K02407
2767802455_NHBDKAOG_00833	K06603
2767802455_NHBDKAOG_00834	K02406
2767802455_NHBDKAOG_00835	K02421
2767802455_NHBDKAOG_00836	K02420
2767802455_NHBDKAOG_00837	K02419
2767802455_NHBDKAOG_00838	K02418
2767802455_NHBDKAOG_00839	K02417
2767802455_NHBDKAOG_00840	K02416
2767802455_NHBDKAOG_00841	K02415
2767802455_NHBDKAOG_00842	K02414
2767802455_NHBDKAOG_00843	K02413
2767802455_NHBDKAOG_00844	K02412
2767802455_NHBDKAOG_00845	K02411
2767802455_NHBDKAOG_00846	K02410
2767802455_NHBDKAOG_00847	K02409
2767802455_NHBDKAOG_00848	K10942
2767802455_NHBDKAOG_00849	K10943
2767802455_NHBDKAOG_00850	K02408
2767802455_NHBDKAOG_00851	K14540
2767802455_NHBDKAOG_00853	K03556
2767802455_NHBDKAOG_00854	K03496
2767802455_NHBDKAOG_00856	K07220
2767802455_NHBDKAOG_00857	K03306
2767802455_NHBDKAOG_00858	K07220
2767802455_NHBDKAOG_00859	K07220
2767802455_NHBDKAOG_00865	K03075
2767802455_NHBDKAOG_00867	K00330
2767802455_NHBDKAOG_00868	K00331
2767802455_NHBDKAOG_00869	K00332
2767802455_NHBDKAOG_00870	K00333
2767802455_NHBDKAOG_00871	K00334
2767802455_NHBDKAOG_00872	K00335
2767802455_NHBDKAOG_00873	K00336
2767802455_NHBDKAOG_00874	K00337
2767802455_NHBDKAOG_00875	K00338
2767802455_NHBDKAOG_00876	K00339
2767802455_NHBDKAOG_00877	K00340
2767802455_NHBDKAOG_00878	K00341
2767802455_NHBDKAOG_00879	K00342
2767802455_NHBDKAOG_00880	K00343
2767802455_NHBDKAOG_00881	K01515
2767802455_NHBDKAOG_00882	K09915
2767802455_NHBDKAOG_00883	K02837
2767802455_NHBDKAOG_00884	K02970
2767802455_NHBDKAOG_00885	K03431
2767802455_NHBDKAOG_00886	K00796
2767802455_NHBDKAOG_00887	K03798
2767802455_NHBDKAOG_00888	K02427
2767802455_NHBDKAOG_00889	K07574
2767802455_NHBDKAOG_00891	K03624
2767802455_NHBDKAOG_00892	K01955
2767802455_NHBDKAOG_00893	K01956
2767802455_NHBDKAOG_00896	K03981
2767802455_NHBDKAOG_00899	K06023
2767802455_NHBDKAOG_00900	K02806
2767802455_NHBDKAOG_00901	K05808
2767802455_NHBDKAOG_00902	K03092
2767802455_NHBDKAOG_00903	K06861
2767802455_NHBDKAOG_00903	K10822
2767802455_NHBDKAOG_00904	K03565
2767802455_NHBDKAOG_00905	K03553
2767802455_NHBDKAOG_00907	K03743
2767802455_NHBDKAOG_00908	K01095
2767802455_NHBDKAOG_00909	K00946
2767802455_NHBDKAOG_00910	K03625
2767802455_NHBDKAOG_00911	K00794
2767802455_NHBDKAOG_00912	K14652
2767802455_NHBDKAOG_00918	K06926
2767802455_NHBDKAOG_00922	K07445
2767802455_NHBDKAOG_00923	K07075
2767802455_NHBDKAOG_00925	K06922
2767802455_NHBDKAOG_00933	K02069
2767802455_NHBDKAOG_00935	K22468
2767802455_NHBDKAOG_00936	K18930
2767802455_NHBDKAOG_00938	K01999
2767802455_NHBDKAOG_00939	K15270
2767802455_NHBDKAOG_00940	K22278
2767802455_NHBDKAOG_00944	K01185
2767802455_NHBDKAOG_00945	K01803
2767802455_NHBDKAOG_00946	K00927
2767802455_NHBDKAOG_00948	K06896
2767802455_NHBDKAOG_00949	K00612
2767802455_NHBDKAOG_00950	K02517
2767802455_NHBDKAOG_00951	K22131
2767802455_NHBDKAOG_00951	K01816
2767802455_NHBDKAOG_00952	K01491
2767802455_NHBDKAOG_00953	K01588
2767802455_NHBDKAOG_00954	K01589
2767802455_NHBDKAOG_00955	K07566
2767802455_NHBDKAOG_00959	K07018
2767802455_NHBDKAOG_00960	K02006
2767802455_NHBDKAOG_00961	K02008
2767802455_NHBDKAOG_00962	K02007
2767802455_NHBDKAOG_00963	K03215
2767802455_NHBDKAOG_00967	K07054
2767802455_NHBDKAOG_00969	K06969
2767802455_NHBDKAOG_00970	K07304
2767802455_NHBDKAOG_00977	K06190
2767802455_NHBDKAOG_00978	K09780
2767802455_NHBDKAOG_00980	K03769
2767802455_NHBDKAOG_00982	K01990
2767802455_NHBDKAOG_00985	K23518
2767802455_NHBDKAOG_00987	K05979
2767802455_NHBDKAOG_00996	K06158
2767802455_NHBDKAOG_01002	K07491
2767802455_NHBDKAOG_01014	K02456
2767802455_NHBDKAOG_01019	K05596
2767802455_NHBDKAOG_01020	K06895
2767802455_NHBDKAOG_01023	K03885
2767802455_NHBDKAOG_01028	K00034
2767802455_NHBDKAOG_01028	K00059
2767802455_NHBDKAOG_01029	K15977
2767802455_NHBDKAOG_01032	K09930
2767802455_NHBDKAOG_01034	K02483
2767802455_NHBDKAOG_01043	K06223
2767802455_NHBDKAOG_01050	K01256
2767802455_NHBDKAOG_01051	K10804
2767802455_NHBDKAOG_01052	K07320
2767802455_NHBDKAOG_01053	K01439
2767802455_NHBDKAOG_01054	K02670
2767802455_NHBDKAOG_01055	K00674
2767802455_NHBDKAOG_01056	K14267
2767802455_NHBDKAOG_01057	K09457
2767802455_NHBDKAOG_01058	K03529
2767802455_NHBDKAOG_01059	K03528
2767802455_NHBDKAOG_01060	K01972
2767802455_NHBDKAOG_01061	K00760
2767802455_NHBDKAOG_01062	K00772
2767802455_NHBDKAOG_01063	K01462
2767802455_NHBDKAOG_01064	K01104
2767802455_NHBDKAOG_01066	K00940
2767802455_NHBDKAOG_01067	K06941
2767802455_NHBDKAOG_01068	K02656
2767802455_NHBDKAOG_01069	K15539
2767802455_NHBDKAOG_01070	K03526
2767802455_NHBDKAOG_01071	K01892
2767802455_NHBDKAOG_01073	K17713
2767802455_NHBDKAOG_01074	K03977
2767802455_NHBDKAOG_01075	K01104
2767802455_NHBDKAOG_01076	K13924
2767802455_NHBDKAOG_01076	K00575
2767802455_NHBDKAOG_01076	K03412
2767802455_NHBDKAOG_01079	K22468
2767802455_NHBDKAOG_01081	K01578
2767802455_NHBDKAOG_01082	K13292
2767802455_NHBDKAOG_01083	K01687
2767802455_NHBDKAOG_01085	K01999
2767802455_NHBDKAOG_01086	K01997
2767802455_NHBDKAOG_01087	K01998
2767802455_NHBDKAOG_01088	K01995
2767802455_NHBDKAOG_01088	K10822
2767802455_NHBDKAOG_01089	K01996
2767802455_NHBDKAOG_01089	K10822
2767802455_NHBDKAOG_01091	K06020
2767802455_NHBDKAOG_01092	K00528
2767802455_NHBDKAOG_01095	K09781
2767802455_NHBDKAOG_01103	K02670
2767802455_NHBDKAOG_01104	K02669
2767802455_NHBDKAOG_01105	K06997
2767802455_NHBDKAOG_01106	K00286
2767802455_NHBDKAOG_01107	K02221
2767802455_NHBDKAOG_01108	K09131
2767802455_NHBDKAOG_01109	K01465
2767802455_NHBDKAOG_01110	K00609
2767802455_NHBDKAOG_01111	K02825
2767802455_NHBDKAOG_01112	K07447
2767802455_NHBDKAOG_01113	K07735
2767802455_NHBDKAOG_01114	K03320
2767802455_NHBDKAOG_01118	K03791
2767802455_NHBDKAOG_01119	K18189
2767802455_NHBDKAOG_01120	K06915
2767802455_NHBDKAOG_01124	K03088
2767802455_NHBDKAOG_01126	K06959
2767802455_NHBDKAOG_01132	K03406
2767802455_NHBDKAOG_01133	K07278
2767802455_NHBDKAOG_01134	K09800
2767802455_NHBDKAOG_01135	K08309
2767802455_NHBDKAOG_01140	K03073
2767802455_NHBDKAOG_01141	K02601
2767802455_NHBDKAOG_01142	K02867
2767802455_NHBDKAOG_01143	K02863
2767802455_NHBDKAOG_01144	K02864
2767802455_NHBDKAOG_01145	K02935
2767802455_NHBDKAOG_01146	K03043
2767802455_NHBDKAOG_01147	K03046
2767802455_NHBDKAOG_01148	K02950
2767802455_NHBDKAOG_01149	K02992
2767802455_NHBDKAOG_01150	K02355
2767802455_NHBDKAOG_01152	K02358
2767802455_NHBDKAOG_01153	K02946
2767802455_NHBDKAOG_01154	K02906
2767802455_NHBDKAOG_01155	K02926
2767802455_NHBDKAOG_01156	K02892
2767802455_NHBDKAOG_01157	K02886
2767802455_NHBDKAOG_01157	K02965
2767802455_NHBDKAOG_01158	K02890
2767802455_NHBDKAOG_01159	K02982
2767802455_NHBDKAOG_01160	K02878
2767802455_NHBDKAOG_01161	K02904
2767802455_NHBDKAOG_01162	K02961
2767802455_NHBDKAOG_01163	K02874
2767802455_NHBDKAOG_01164	K02895
2767802455_NHBDKAOG_01165	K02931
2767802455_NHBDKAOG_01166	K02954
2767802455_NHBDKAOG_01167	K02994
2767802455_NHBDKAOG_01168	K02933
2767802455_NHBDKAOG_01169	K02881
2767802455_NHBDKAOG_01170	K02988
2767802455_NHBDKAOG_01171	K02907
2767802455_NHBDKAOG_01172	K02876
2767802455_NHBDKAOG_01173	K03076
2767802455_NHBDKAOG_01174	K02518
2767802455_NHBDKAOG_01175	K02952
2767802455_NHBDKAOG_01176	K02948
2767802455_NHBDKAOG_01177	K02986
2767802455_NHBDKAOG_01178	K03040
2767802455_NHBDKAOG_01179	K02879
2767802455_NHBDKAOG_01180	K06147
2767802455_NHBDKAOG_01182	K06445
2767802455_NHBDKAOG_01183	K00626
2767802455_NHBDKAOG_01184	K01782
2767802455_NHBDKAOG_01186	K02614
2767802455_NHBDKAOG_01187	K02616
2767802455_NHBDKAOG_01188	K14393
2767802455_NHBDKAOG_01193	K15866
2767802455_NHBDKAOG_01194	K01912
2767802455_NHBDKAOG_01195	K00626
2767802455_NHBDKAOG_01200	K20034
2767802455_NHBDKAOG_01201	K03821
2767802455_NHBDKAOG_01202	K22250
2767802455_NHBDKAOG_01204	K00626
2767802455_NHBDKAOG_01205	K07516
2767802455_NHBDKAOG_01206	K06076
2767802455_NHBDKAOG_01208	K00208
2767802455_NHBDKAOG_01209	K00575
2767802455_NHBDKAOG_01210	K03411
2767802455_NHBDKAOG_01210	K03406
2767802455_NHBDKAOG_01212	K03406
2767802455_NHBDKAOG_01212	K07216
2767802455_NHBDKAOG_01213	K03408
2767802455_NHBDKAOG_01214	K03406
2767802455_NHBDKAOG_01217	K03406
2767802455_NHBDKAOG_01219	K03406
2767802455_NHBDKAOG_01220	K02040
2767802455_NHBDKAOG_01221	K03408
2767802455_NHBDKAOG_01222	K03406
2767802455_NHBDKAOG_01224	K03407
2767802455_NHBDKAOG_01230	K03607
2767802455_NHBDKAOG_01233	K03628
2767802455_NHBDKAOG_01234	K03671
2767802455_NHBDKAOG_01235	K05524
2767802455_NHBDKAOG_01236	K01897
2767802455_NHBDKAOG_01237	K06867
2767802455_NHBDKAOG_01239	K01937
2767802455_NHBDKAOG_01240	K01627
2767802455_NHBDKAOG_01241	K01689
2767802455_NHBDKAOG_01242	K05589
2767802455_NHBDKAOG_01244	K18979
2767802455_NHBDKAOG_01245	K06925
2767802455_NHBDKAOG_01246	K01448
2767802455_NHBDKAOG_01249	K01952
2767802455_NHBDKAOG_01250	K23997
2767802455_NHBDKAOG_01253	K07089
2767802455_NHBDKAOG_01255	K03325
2767802455_NHBDKAOG_01256	K00134
2767802455_NHBDKAOG_01262	K09181
2767802455_NHBDKAOG_01264	K07397
2767802455_NHBDKAOG_01266	K06917
2767802455_NHBDKAOG_01267	K07001
2767802455_NHBDKAOG_01271	K03192
2767802455_NHBDKAOG_01272	K03657
2767802455_NHBDKAOG_01273	K06917
