orthogroup,locus_tag,KO,Kannotation,all_or_exp_core,Module,Module_type,General_category,Specific_category,Module_description
OG0001631,BBLLADNB_00251,K21344,D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167] ,all,M00064,Pathway modules,Glycan metabolism,Lipopolysaccharide metabolism, ADP-L-glycero-D-manno-heptose biosynthesis [PATH:map00540 map01100]
OG0001638,BBLLADNB_02464,K12132,eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1],exp,NA,NA,NA,NA,NA
OG0001638,BBLLADNB_02464,K08884,serine/threonine protein kinase,exp,NA,NA,NA,NA,NA
OG0001654,BBLLADNB_00201,K11904,type VI secretion system,all,NA,NA,NA,NA,NA
OG0001657,BBLLADNB_02828,K01153,type I restriction enzyme,exp,NA,NA,NA,NA,NA
OG0001959,BBLLADNB_01890,K13590,diguanylate cyclase [EC:2.7.7.65] ,all,NA,NA,NA,NA,NA
OG0001980,BBLLADNB_01787,K04758,ferrous iron transport protein,all,NA,NA,NA,NA,NA
OG0001981,BBLLADNB_02157,K07050,misacylated tRNA(Ala) deacylase [EC:3.1.1.-],all,NA,NA,NA,NA,NA
OG0001990,BBLLADNB_02863,K02017,molybdate transport system ATP-binding,all,NA,NA,NA,NA,NA
OG0001995,BBLLADNB_01875,K03699,putative hemolysin  ,all,NA,NA,NA,NA,NA
OG0001996,BBLLADNB_01876,K03699,putative hemolysin  ,all,NA,NA,NA,NA,NA
OG0002000,BBLLADNB_02232,K20074,PPM family protein phosphatase,all,NA,NA,NA,NA,NA
OG0002042,BBLLADNB_00953,K00612,carbamoyltransferase [EC:2.1.3.-]  ,all,NA,NA,NA,NA,NA
OG0002045,BBLLADNB_01118,K02342,DNA polymerase III subunit,all,M00260,NA,NA,NA,NA
OG0002045,BBLLADNB_01118,K09951,CRISPR-associated protein Cas2 ,all,NA,NA,NA,NA,NA
OG0002046,BBLLADNB_01530,K07089,uncharacterized protein  ,all,NA,NA,NA,NA,NA
OG0002057,BBLLADNB_03417,K07334,toxin HigB-1  ,exp,NA,NA,NA,NA,NA
OG0002061,BBLLADNB_03224,K07220,uncharacterized protein  ,exp,NA,NA,NA,NA,NA
OG0002066,BBLLADNB_03447,K00705,4-alpha-glucanotransferase [EC:2.4.1.25]  ,exp,M00855,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen degradation, glycogen => glucose-6P [PATH:map00500 map01100]
OG0002079,BBLLADNB_01409,K07001,NTE family protein ,all,NA,NA,NA,NA,NA
OG0002080,BBLLADNB_01773,K02843,heptosyltransferase II [EC:2.4.-.-] ,all,NA,NA,NA,NA,NA
OG0002081,BBLLADNB_00823,K01624,fructose-bisphosphate aldolase,exp,M00001,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]
OG0002081,BBLLADNB_00823,K01624,fructose-bisphosphate aldolase,exp,M00003,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]
OG0002081,BBLLADNB_00823,K01624,fructose-bisphosphate aldolase,exp,M00165,Pathway modules,Energy metabolism,Carbon fixation, Reductive pentose phosphate cycle (Calvin cycle) [PATH:map00710 map01200 map01100 map01120]
OG0002081,BBLLADNB_00823,K01624,fructose-bisphosphate aldolase,exp,M00167,Pathway modules,Energy metabolism,Carbon fixation, Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map00710 map01200 map01100 map01120]
OG0002081,BBLLADNB_00823,K01624,fructose-bisphosphate aldolase,exp,M00345,Pathway modules,Energy metabolism,Methane metabolism, Formaldehyde assimilation, ribulose monophosphate pathway [PATH:map00030 map00680 map01200 map01230 map01100 map01120]
OG0002081,BBLLADNB_00823,K01624,fructose-bisphosphate aldolase,exp,M00344,Pathway modules,Energy metabolism,Methane metabolism, Formaldehyde assimilation, xylulose monophosphate pathway [PATH:map00680 map01200 map01100 map01120]
OG0002086,BBLLADNB_00443,K13924,two-component system,exp,NA,NA,NA,NA,NA
OG0002086,BBLLADNB_00443,K00575,chemotaxis protein methyltransferase CheR,exp,NA,NA,NA,NA,NA
OG0002087,BBLLADNB_03556,K14415,tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy,all,NA,NA,NA,NA,NA
OG0002100,BBLLADNB_02732,K06889,uncharacterized protein  ,all,NA,NA,NA,NA,NA
OG0002267,BBLLADNB_00518,K07028,uncharacterized protein  ,all,NA,NA,NA,NA,NA
OG0002272,BBLLADNB_00501,K07014,uncharacterized protein  ,all,NA,NA,NA,NA,NA
OG0002279,BBLLADNB_00928,K07304,peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11],all,NA,NA,NA,NA,NA
OG0002281,BBLLADNB_02419,K07043,uncharacterized protein  ,all,NA,NA,NA,NA,NA
OG0002282,BBLLADNB_02804,K06182,23S rRNA pseudouridine2604 synthase,all,NA,NA,NA,NA,NA
OG0002283,BBLLADNB_03865,K01104,protein-tyrosine phosphatase [EC:3.1.3.48] ,all,NA,NA,NA,NA,NA
OG0002284,BBLLADNB_03866,K01462,peptide deformylase [EC:3.5.1.88] ,all,NA,NA,NA,NA,NA
OG0002299,BBLLADNB_03606,K19156,antitoxin PrlF  ,exp,NA,NA,NA,NA,NA
OG0002305,BBLLADNB_02556,K01524,exopolyphosphatase / guanosine-5'-triphosphate 3'-diphosphate pyrophosphatase,all,NA,NA,NA,NA,NA
OG0002312,BBLLADNB_01670,K00631,glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15] ,all,M00089,Pathway modules,Lipid metabolism,Lipid metabolism, Triacylglycerol biosynthesis [PATH:map00561 map01100]
OG0002314,BBLLADNB_01331,K21345,D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [EC:2.7.7.70],all,M00064,Pathway modules,Glycan metabolism,Lipopolysaccharide metabolism, ADP-L-glycero-D-manno-heptose biosynthesis [PATH:map00540 map01100]
OG0002325,BBLLADNB_00369,K00688,glycogen phosphorylase [EC:2.4.1.1] ,all,M00855,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen degradation, glycogen => glucose-6P [PATH:map00500 map01100]
OG0002326,BBLLADNB_01980,K02844,UDP-glucose:(heptosyl)LPS alpha-1 3-glucosyltransferase [EC:2.4.1.-] ,all,NA,NA,NA,NA,NA
OG0002327,BBLLADNB_01979,K02848,heptose I phosphotransferase [EC:2.7.1.-],all,NA,NA,NA,NA,NA
OG0002328,BBLLADNB_01977,K02848,heptose I phosphotransferase [EC:2.7.1.-],all,NA,NA,NA,NA,NA
OG0002331,BBLLADNB_01010,K02841,heptosyltransferase I [EC:2.4.-.-] ,all,NA,NA,NA,NA,NA
OG0002332,BBLLADNB_00571,K10680,N-ethylmaleimide reductase [EC:1.-.-.-] ,all,NA,NA,NA,NA,NA
OG0002337,BBLLADNB_02315,K02039,phosphate transport system protein,all,NA,NA,NA,NA,NA
OG0002338,BBLLADNB_02318,K02036,phosphate transport system ATP-binding,all,NA,NA,NA,NA,NA
OG0002340,BBLLADNB_02324,K07263,zinc protease [EC:3.4.24.-] ,all,NA,NA,NA,NA,NA
OG0002348,BBLLADNB_01961,K22900,tRNA (adenine37-N6)-methyltransferase [EC:2.1.1.-] ,all,NA,NA,NA,NA,NA
OG0002349,BBLLADNB_01963,K00275,pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5],all,M00124,Pathway modules,Metabolism of cofactors and vitamins,Cofactor and vitamin metabolism, Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P [PATH:map00750 map01100]
OG0002351,BBLLADNB_01913,K00239,succinate dehydrogenase / fumarate,all,M00009,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
OG0002351,BBLLADNB_01913,K00239,succinate dehydrogenase / fumarate,all,M00011,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020 map01200 map01100]
OG0002351,BBLLADNB_01913,K00239,succinate dehydrogenase / fumarate,all,M00173,Pathway modules,Energy metabolism,Carbon fixation, Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
OG0002351,BBLLADNB_01913,K00239,succinate dehydrogenase / fumarate,all,M00376,Pathway modules,Energy metabolism,Carbon fixation, 3-Hydroxypropionate bi-cycle [PATH:map00720 map01200 map01100 map01120]
OG0002351,BBLLADNB_01913,K00239,succinate dehydrogenase / fumarate,all,M00374,Pathway modules,Energy metabolism,Carbon fixation, Dicarboxylate-hydroxybutyrate cycle [PATH:map00720 map01200 map01100 map01120]
OG0002351,BBLLADNB_01913,K00239,succinate dehydrogenase / fumarate,all,M00149,Pathway modules,Energy metabolism,ATP synthesis, Succinate dehydrogenase, prokaryotes [PATH:map00190]
OG0002351,BBLLADNB_01913,K00244,fumarate reductase flavoprotein subunit,all,M00009,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
OG0002351,BBLLADNB_01913,K00244,fumarate reductase flavoprotein subunit,all,M00011,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020 map01200 map01100]
OG0002351,BBLLADNB_01913,K00244,fumarate reductase flavoprotein subunit,all,M00173,Pathway modules,Energy metabolism,Carbon fixation, Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
OG0002351,BBLLADNB_01913,K00244,fumarate reductase flavoprotein subunit,all,M00150,Pathway modules,Energy metabolism,ATP synthesis, Fumarate reductase, prokaryotes [PATH:map00190]
OG0002352,BBLLADNB_01914,K00245,fumarate reductase iron-sulfur subunit,all,M00009,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
OG0002352,BBLLADNB_01914,K00245,fumarate reductase iron-sulfur subunit,all,M00011,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020 map01200 map01100]
OG0002352,BBLLADNB_01914,K00245,fumarate reductase iron-sulfur subunit,all,M00173,Pathway modules,Energy metabolism,Carbon fixation, Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
OG0002352,BBLLADNB_01914,K00245,fumarate reductase iron-sulfur subunit,all,M00150,Pathway modules,Energy metabolism,ATP synthesis, Fumarate reductase, prokaryotes [PATH:map00190]
OG0002352,BBLLADNB_01914,K00240,succinate dehydrogenase / fumarate,all,M00009,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
OG0002352,BBLLADNB_01914,K00240,succinate dehydrogenase / fumarate,all,M00011,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020 map01200 map01100]
OG0002352,BBLLADNB_01914,K00240,succinate dehydrogenase / fumarate,all,M00173,Pathway modules,Energy metabolism,Carbon fixation, Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
OG0002352,BBLLADNB_01914,K00240,succinate dehydrogenase / fumarate,all,M00376,Pathway modules,Energy metabolism,Carbon fixation, 3-Hydroxypropionate bi-cycle [PATH:map00720 map01200 map01100 map01120]
OG0002352,BBLLADNB_01914,K00240,succinate dehydrogenase / fumarate,all,M00374,Pathway modules,Energy metabolism,Carbon fixation, Dicarboxylate-hydroxybutyrate cycle [PATH:map00720 map01200 map01100 map01120]
OG0002352,BBLLADNB_01914,K00240,succinate dehydrogenase / fumarate,all,M00149,Pathway modules,Energy metabolism,ATP synthesis, Succinate dehydrogenase, prokaryotes [PATH:map00190]
OG0002352,BBLLADNB_01914,K00246,fumarate reductase subunit C,all,M00009,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
OG0002352,BBLLADNB_01914,K00246,fumarate reductase subunit C,all,M00011,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020 map01200 map01100]
OG0002352,BBLLADNB_01914,K00246,fumarate reductase subunit C,all,M00173,Pathway modules,Energy metabolism,Carbon fixation, Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
OG0002352,BBLLADNB_01914,K00246,fumarate reductase subunit C,all,M00150,Pathway modules,Energy metabolism,ATP synthesis, Fumarate reductase, prokaryotes [PATH:map00190]
OG0002354,BBLLADNB_01916,K00247,fumarate reductase subunit D,all,M00009,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
OG0002354,BBLLADNB_01916,K00247,fumarate reductase subunit D,all,M00011,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020 map01200 map01100]
OG0002354,BBLLADNB_01916,K00247,fumarate reductase subunit D,all,M00173,Pathway modules,Energy metabolism,Carbon fixation, Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
OG0002354,BBLLADNB_01916,K00247,fumarate reductase subunit D,all,M00150,Pathway modules,Energy metabolism,ATP synthesis, Fumarate reductase, prokaryotes [PATH:map00190]
OG0002355,BBLLADNB_01920,K02423,flagellar protein FliT ,all,NA,NA,NA,NA,NA
OG0002368,BBLLADNB_01633,K07001,NTE family protein ,all,NA,NA,NA,NA,NA
OG0002377,BBLLADNB_01842,K07220,uncharacterized protein  ,all,NA,NA,NA,NA,NA
OG0002379,BBLLADNB_02684,K20509,carboxybiotin decarboxylase [EC:7.2.4.1] ,all,NA,NA,NA,NA,NA
OG0002387,BBLLADNB_00964,K22881,polyhydroxyalkanoate synthase subunit PhaE,all,NA,NA,NA,NA,NA
OG0002388,BBLLADNB_00963,K03821,polyhydroxyalkanoate synthase subunit PhaC,all,NA,NA,NA,NA,NA
OG0002394,BBLLADNB_01188,K00170,pyruvate ferredoxin oxidoreductase beta,all,M00307,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010 map00020 map00620 map01200 map01100]
OG0002394,BBLLADNB_01188,K00170,pyruvate ferredoxin oxidoreductase beta,all,M00173,Pathway modules,Energy metabolism,Carbon fixation, Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
OG0002394,BBLLADNB_01188,K00170,pyruvate ferredoxin oxidoreductase beta,all,M00374,Pathway modules,Energy metabolism,Carbon fixation, Dicarboxylate-hydroxybutyrate cycle [PATH:map00720 map01200 map01100 map01120]
OG0002394,BBLLADNB_01188,K00170,pyruvate ferredoxin oxidoreductase beta,all,M00620,Pathway modules,Energy metabolism,Carbon fixation, Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate [PATH:map00720 map01200 map01100 map01120]
OG0002395,BBLLADNB_01190,K00189,2-oxoisovalerate ferredoxin oxidoreductase gamma,all,NA,NA,NA,NA,NA
OG0002395,BBLLADNB_01190,K00172,pyruvate ferredoxin oxidoreductase gamma,all,M00307,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010 map00020 map00620 map01200 map01100]
OG0002395,BBLLADNB_01190,K00172,pyruvate ferredoxin oxidoreductase gamma,all,M00173,Pathway modules,Energy metabolism,Carbon fixation, Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
OG0002395,BBLLADNB_01190,K00172,pyruvate ferredoxin oxidoreductase gamma,all,M00374,Pathway modules,Energy metabolism,Carbon fixation, Dicarboxylate-hydroxybutyrate cycle [PATH:map00720 map01200 map01100 map01120]
OG0002395,BBLLADNB_01190,K00172,pyruvate ferredoxin oxidoreductase gamma,all,M00620,Pathway modules,Energy metabolism,Carbon fixation, Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate [PATH:map00720 map01200 map01100 map01120]
OG0002396,BBLLADNB_01191,K14449,2-methylfumaryl-CoA hydratase [EC:4.2.1.148] ,all,M00373,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Ethylmalonyl pathway [PATH:map00630 map01200 map01100 map01120]
OG0002396,BBLLADNB_01191,K14449,2-methylfumaryl-CoA hydratase [EC:4.2.1.148] ,all,M00740,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Methylaspartate cycle [PATH:map00020 map00250 map00630 map01200 map01100 map01120]
OG0002396,BBLLADNB_01191,K14449,2-methylfumaryl-CoA hydratase [EC:4.2.1.148] ,all,M00376,Pathway modules,Energy metabolism,Carbon fixation, 3-Hydroxypropionate bi-cycle [PATH:map00720 map01200 map01100 map01120]
OG0002397,BBLLADNB_01193,K14470,2-methylfumaryl-CoA isomerase [EC:5.4.1.3] ,all,M00376,Pathway modules,Energy metabolism,Carbon fixation, 3-Hydroxypropionate bi-cycle [PATH:map00720 map01200 map01100 map01120]
OG0002398,BBLLADNB_01194,K09709,3-methylfumaryl-CoA hydratase [EC:4.2.1.153] ,all,M00376,Pathway modules,Energy metabolism,Carbon fixation, 3-Hydroxypropionate bi-cycle [PATH:map00720 map01200 map01100 map01120]
OG0002400,BBLLADNB_01196,K14448,(2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12] ,all,M00373,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Ethylmalonyl pathway [PATH:map00630 map01200 map01100 map01120]
OG0002401,BBLLADNB_01197,K14449,2-methylfumaryl-CoA hydratase [EC:4.2.1.148] ,all,M00373,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Ethylmalonyl pathway [PATH:map00630 map01200 map01100 map01120]
OG0002401,BBLLADNB_01197,K14449,2-methylfumaryl-CoA hydratase [EC:4.2.1.148] ,all,M00740,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Methylaspartate cycle [PATH:map00020 map00250 map00630 map01200 map01100 map01120]
OG0002401,BBLLADNB_01197,K14449,2-methylfumaryl-CoA hydratase [EC:4.2.1.148] ,all,M00376,Pathway modules,Energy metabolism,Carbon fixation, 3-Hydroxypropionate bi-cycle [PATH:map00720 map01200 map01100 map01120]
OG0002403,BBLLADNB_03562,K07588,LAO/AO transport system kinase,all,NA,NA,NA,NA,NA
OG0002404,BBLLADNB_03563,K14446,crotonyl-CoA carboxylase/reductase [EC:1.3.1.85] ,all,M00373,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Ethylmalonyl pathway [PATH:map00630 map01200 map01100 map01120]
OG0002405,BBLLADNB_03564,K00344,NADPH:quinone reductase [EC:1.6.5.5] ,all,NA,NA,NA,NA,NA
OG0002409,BBLLADNB_01111,K00635,diacylglycerol O-acyltransferase / wax,all,M00089,Pathway modules,Lipid metabolism,Lipid metabolism, Triacylglycerol biosynthesis [PATH:map00561 map01100]
OG0002410,BBLLADNB_01535,K01992,ABC-2 type transport system,exp,NA,NA,NA,NA,NA
OG0002410,BBLLADNB_01536,K01992,ABC-2 type transport system,exp,NA,NA,NA,NA,NA
OG0002419,BBLLADNB_00341,K09019,3-hydroxypropanoate dehydrogenase [EC:1.1.1.-] ,all,NA,NA,NA,NA,NA
OG0002423,BBLLADNB_02937,K00175,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit,all,M00009,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
OG0002423,BBLLADNB_02937,K00175,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit,all,M00011,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020 map01200 map01100]
OG0002423,BBLLADNB_02937,K00175,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit,all,M00173,Pathway modules,Energy metabolism,Carbon fixation, Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
OG0002423,BBLLADNB_02937,K00175,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit,all,M00620,Pathway modules,Energy metabolism,Carbon fixation, Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate [PATH:map00720 map01200 map01100 map01120]
OG0002424,BBLLADNB_02936,K00174,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit,all,M00009,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
OG0002424,BBLLADNB_02936,K00174,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit,all,M00011,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020 map01200 map01100]
OG0002424,BBLLADNB_02936,K00174,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit,all,M00173,Pathway modules,Energy metabolism,Carbon fixation, Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120]
OG0002424,BBLLADNB_02936,K00174,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit,all,M00620,Pathway modules,Energy metabolism,Carbon fixation, Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate [PATH:map00720 map01200 map01100 map01120]
OG0002431,BBLLADNB_02735,K00688,glycogen phosphorylase [EC:2.4.1.1] ,all,M00855,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen degradation, glycogen => glucose-6P [PATH:map00500 map01100]
OG0002433,BBLLADNB_02751,K08988,putative membrane protein ,all,NA,NA,NA,NA,NA
OG0002450,BBLLADNB_01219,K00703,starch synthase [EC:2.4.1.21] ,all,M00854,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen biosynthesis, glucose-1P => glycogen/starch [PATH:map00500 map01100]
OG0002450,BBLLADNB_01219,K00703,starch synthase [EC:2.4.1.21] ,all,M00565,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
OG0002451,BBLLADNB_01218,K00975,glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] ,all,M00854,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen biosynthesis, glucose-1P => glycogen/starch [PATH:map00500 map01100]
