Orthogroup	spades-bin.32	Reactor4-bin.4
OG0000034	BBLLADNB_01062, BBLLADNB_03824, BBLLADNB_01056	CEKMHFBL_01360
OG0000036	BBLLADNB_00050	CEKMHFBL_00095
OG0000036	BBLLADNB_03688	CEKMHFBL_02849
OG0000037	BBLLADNB_02512	CEKMHFBL_04080
OG0000037	BBLLADNB_01720	CEKMHFBL_00511, CEKMHFBL_02368
OG0000038	BBLLADNB_01016	CEKMHFBL_03869
OG0000038	BBLLADNB_01017	CEKMHFBL_04060
OG0000039	BBLLADNB_01332	CEKMHFBL_01029
OG0000041	BBLLADNB_01612	CEKMHFBL_01080, CEKMHFBL_03746, CEKMHFBL_01530, CEKMHFBL_03826
OG0000042	BBLLADNB_00833	CEKMHFBL_02780
OG0000042	BBLLADNB_03740	CEKMHFBL_03086
OG0000043	BBLLADNB_03212	CEKMHFBL_00672
OG0000043	BBLLADNB_03100	CEKMHFBL_01825
OG0000044	BBLLADNB_01902	CEKMHFBL_00411
OG0000044	BBLLADNB_02029	CEKMHFBL_02925
OG0000045	BBLLADNB_00254	CEKMHFBL_03652
OG0000046	BBLLADNB_03304	CEKMHFBL_01621
OG0000047	BBLLADNB_01205	CEKMHFBL_02147
OG0000050	BBLLADNB_03871	CEKMHFBL_01280
OG0000051	BBLLADNB_03799	CEKMHFBL_01682
OG0000052	BBLLADNB_00641, BBLLADNB_01939	CEKMHFBL_03062
OG0000052	BBLLADNB_01564	CEKMHFBL_02105
OG0000054	BBLLADNB_00370	CEKMHFBL_02822
OG0000054	BBLLADNB_00357	CEKMHFBL_01873
OG0000054	BBLLADNB_01519	CEKMHFBL_01194, CEKMHFBL_02171
OG0000057	BBLLADNB_02559	CEKMHFBL_01481
OG0000058	BBLLADNB_00531	CEKMHFBL_01992
OG0000059	BBLLADNB_03386	CEKMHFBL_02685
OG0000060	BBLLADNB_01044	CEKMHFBL_00562
OG0000062	BBLLADNB_02809	CEKMHFBL_02889
OG0000062	BBLLADNB_02808	CEKMHFBL_02890
OG0000063	BBLLADNB_03591	CEKMHFBL_01892
OG0000063	BBLLADNB_01762	CEKMHFBL_01516, CEKMHFBL_01839
OG0000064	BBLLADNB_01223	CEKMHFBL_00749
OG0000065	BBLLADNB_02912	CEKMHFBL_02867, CEKMHFBL_03227
OG0000065	BBLLADNB_00863, BBLLADNB_03516	CEKMHFBL_00606
OG0000066	BBLLADNB_01070	CEKMHFBL_01362
OG0000068	BBLLADNB_03159	CEKMHFBL_03556
OG0000070	BBLLADNB_03662	CEKMHFBL_01942
OG0000071	BBLLADNB_02913	CEKMHFBL_01051, CEKMHFBL_03223
OG0000072	BBLLADNB_00868	CEKMHFBL_00179, CEKMHFBL_00596
OG0000073	BBLLADNB_01613	CEKMHFBL_02400
OG0000074	BBLLADNB_03003, BBLLADNB_02243	CEKMHFBL_03368
OG0000074	BBLLADNB_00364	CEKMHFBL_01565
OG0000075	BBLLADNB_01834	CEKMHFBL_01518
OG0000075	BBLLADNB_00307	CEKMHFBL_02567
OG0000076	BBLLADNB_00340	CEKMHFBL_02896, CEKMHFBL_02936, CEKMHFBL_01871
OG0000076	BBLLADNB_00652	CEKMHFBL_03247
OG0000077	BBLLADNB_02286	CEKMHFBL_03755
OG0000078	BBLLADNB_00755	CEKMHFBL_04260, CEKMHFBL_01747, CEKMHFBL_01739, CEKMHFBL_02350
OG0000079	BBLLADNB_03718	CEKMHFBL_02031
OG0000079	BBLLADNB_03593	CEKMHFBL_04068
OG0000081	BBLLADNB_01674	CEKMHFBL_02682
OG0000082	BBLLADNB_01043	CEKMHFBL_04189
OG0000082	BBLLADNB_01102, BBLLADNB_01448	CEKMHFBL_04236
OG0000083	BBLLADNB_02028	CEKMHFBL_02926
OG0000084	BBLLADNB_02835	CEKMHFBL_02852
OG0000084	BBLLADNB_03705	CEKMHFBL_03745
OG0000085	BBLLADNB_03162, BBLLADNB_00836	CEKMHFBL_02774
OG0000086	BBLLADNB_00235	CEKMHFBL_01118
OG0000087	BBLLADNB_02085	CEKMHFBL_02689
OG0000087	BBLLADNB_01215	CEKMHFBL_00757
OG0000088	BBLLADNB_01048	CEKMHFBL_04272
OG0000089	BBLLADNB_03117	CEKMHFBL_00827
OG0000090	BBLLADNB_03364	CEKMHFBL_01250
OG0000091	BBLLADNB_01733	CEKMHFBL_00868
OG0000092	BBLLADNB_03648	CEKMHFBL_00867
OG0000093	BBLLADNB_02303	CEKMHFBL_00180
OG0000093	BBLLADNB_03580	CEKMHFBL_00321
OG0000094	BBLLADNB_03381	CEKMHFBL_03761
OG0000095	BBLLADNB_02570	CEKMHFBL_01584
OG0000098	BBLLADNB_03088	CEKMHFBL_01508, CEKMHFBL_01532
OG0000098	BBLLADNB_01440	CEKMHFBL_02008
OG0000098	BBLLADNB_01591, BBLLADNB_02037	CEKMHFBL_02007
OG0000099	BBLLADNB_01516	CEKMHFBL_01874
OG0000099	BBLLADNB_00371	CEKMHFBL_02823
OG0000100	BBLLADNB_02030	CEKMHFBL_02924
OG0000100	BBLLADNB_01901	CEKMHFBL_00412
OG0000101	BBLLADNB_02965	CEKMHFBL_01096, CEKMHFBL_01088
OG0000104	BBLLADNB_00742	CEKMHFBL_02003
OG0000107	BBLLADNB_01277	CEKMHFBL_02038, CEKMHFBL_02051
OG0000108	BBLLADNB_01379	CEKMHFBL_00364
OG0000109	BBLLADNB_00650	CEKMHFBL_03249
OG0000110	BBLLADNB_00662	CEKMHFBL_04111
OG0000112	BBLLADNB_03151	CEKMHFBL_03066
OG0000114	BBLLADNB_03539	CEKMHFBL_01770
OG0000115	BBLLADNB_02604	CEKMHFBL_03495
OG0000115	BBLLADNB_02495	CEKMHFBL_03397
OG0000116	BBLLADNB_03380	CEKMHFBL_03762
OG0000117	BBLLADNB_02316	CEKMHFBL_02710
OG0000118	BBLLADNB_02317	CEKMHFBL_03172, CEKMHFBL_02709
OG0000119	BBLLADNB_02319	CEKMHFBL_02707
OG0000120	BBLLADNB_03915	CEKMHFBL_03554
OG0000121	BBLLADNB_02628	CEKMHFBL_00614
OG0000122	BBLLADNB_03668	CEKMHFBL_00847
OG0000125	BBLLADNB_02766	CEKMHFBL_02375
OG0000126	BBLLADNB_02019	CEKMHFBL_01818
OG0000127	BBLLADNB_01838	CEKMHFBL_03962
OG0000128	BBLLADNB_03586	CEKMHFBL_01570
OG0000130	BBLLADNB_00813	CEKMHFBL_00528
OG0000138	BBLLADNB_03919	CEKMHFBL_04086, CEKMHFBL_01049, CEKMHFBL_01048, CEKMHFBL_02713
OG0000140	BBLLADNB_02477	CEKMHFBL_03790
OG0000141	BBLLADNB_02017	CEKMHFBL_00178, CEKMHFBL_04179
OG0000142	BBLLADNB_03111	CEKMHFBL_04026, CEKMHFBL_00213
OG0000144	BBLLADNB_01027	CEKMHFBL_04048
OG0000145	BBLLADNB_03392	CEKMHFBL_01427
OG0000146	BBLLADNB_03150	CEKMHFBL_03067
OG0000147	BBLLADNB_00284	CEKMHFBL_02668
OG0000148	BBLLADNB_00391	CEKMHFBL_01918
OG0000149	BBLLADNB_02864	CEKMHFBL_02295
OG0000152	BBLLADNB_01941	CEKMHFBL_03064
OG0000153	BBLLADNB_01881	CEKMHFBL_03460
OG0000154	BBLLADNB_00384	CEKMHFBL_03960
OG0000154	BBLLADNB_00382	CEKMHFBL_03958
OG0000155	BBLLADNB_03037	CEKMHFBL_01186
OG0000156	BBLLADNB_01924	CEKMHFBL_02122
OG0000157	BBLLADNB_01734	CEKMHFBL_03766
OG0000158	BBLLADNB_00207	CEKMHFBL_00922
OG0000159	BBLLADNB_01568	CEKMHFBL_02102
OG0000160	BBLLADNB_03038	CEKMHFBL_01185
OG0000162	BBLLADNB_01624	CEKMHFBL_02470
OG0000163	BBLLADNB_03478	CEKMHFBL_02025
OG0000164	BBLLADNB_02836	CEKMHFBL_02209
OG0000164	BBLLADNB_02618	CEKMHFBL_00885, CEKMHFBL_00456, CEKMHFBL_00454
OG0000166	BBLLADNB_03403	CEKMHFBL_04093
OG0000166	BBLLADNB_02619	CEKMHFBL_00457
OG0000168	BBLLADNB_02833	CEKMHFBL_02850
OG0000169	BBLLADNB_02759	CEKMHFBL_03866
OG0000170	BBLLADNB_00809	CEKMHFBL_00813
OG0000171	BBLLADNB_03883	CEKMHFBL_00639
OG0000172	BBLLADNB_02595	CEKMHFBL_00942
OG0000173	BBLLADNB_02960	CEKMHFBL_01075
OG0000174	BBLLADNB_02040	CEKMHFBL_03448
OG0000175	BBLLADNB_00096	CEKMHFBL_02917
OG0000176	BBLLADNB_00561	CEKMHFBL_02358
OG0000178	BBLLADNB_01682	CEKMHFBL_00830
OG0000179	BBLLADNB_03156	CEKMHFBL_00195
OG0000180	BBLLADNB_03608	CEKMHFBL_01980
OG0000181	BBLLADNB_03278	CEKMHFBL_03994
OG0000182	BBLLADNB_02160	CEKMHFBL_00817
OG0000183	BBLLADNB_00862	CEKMHFBL_00607
OG0000184	BBLLADNB_00048	CEKMHFBL_01410
OG0000185	BBLLADNB_01047	CEKMHFBL_04271
OG0000186	BBLLADNB_02879	CEKMHFBL_02742
OG0000189	BBLLADNB_01438	CEKMHFBL_01271
OG0000190	BBLLADNB_00059	CEKMHFBL_01376
OG0000194	BBLLADNB_02109	CEKMHFBL_03402
OG0000195	BBLLADNB_00824, BBLLADNB_01540	CEKMHFBL_03541
OG0000196	BBLLADNB_00584	CEKMHFBL_01263, CEKMHFBL_03202
OG0000197	BBLLADNB_02954, BBLLADNB_03025	CEKMHFBL_04235
OG0000199	BBLLADNB_02886	CEKMHFBL_03220, CEKMHFBL_01050
OG0000200	BBLLADNB_03629	CEKMHFBL_00941
OG0000201	BBLLADNB_02532	CEKMHFBL_03997
OG0000202	BBLLADNB_03829	CEKMHFBL_03995
OG0000203	BBLLADNB_00245	CEKMHFBL_01603
OG0000205	BBLLADNB_02335, BBLLADNB_01024	CEKMHFBL_03490
OG0000207	BBLLADNB_00982, BBLLADNB_01235	CEKMHFBL_00737
OG0000208	BBLLADNB_01000, BBLLADNB_01763	CEKMHFBL_02214
OG0000209	BBLLADNB_01768	CEKMHFBL_01423
OG0000211	BBLLADNB_01001	CEKMHFBL_02345
OG0000212	BBLLADNB_03892	CEKMHFBL_01778, CEKMHFBL_03707
OG0000213	BBLLADNB_03893	CEKMHFBL_01779
OG0000214	BBLLADNB_02132, BBLLADNB_02926, BBLLADNB_02624	CEKMHFBL_00609
OG0000215	BBLLADNB_01004	CEKMHFBL_01465
OG0000216	BBLLADNB_01956, BBLLADNB_01006	CEKMHFBL_01467
OG0000218	BBLLADNB_01661	CEKMHFBL_01300
OG0000221	BBLLADNB_02758	CEKMHFBL_03865
OG0000222	BBLLADNB_00790	CEKMHFBL_01612
OG0000223	BBLLADNB_02840	CEKMHFBL_03110
OG0000224	BBLLADNB_02431	CEKMHFBL_03635
OG0000225	BBLLADNB_03622	CEKMHFBL_03032
OG0000226	BBLLADNB_02826, BBLLADNB_02416	CEKMHFBL_01997
OG0000228	BBLLADNB_02443	CEKMHFBL_02805
OG0000229	BBLLADNB_03149	CEKMHFBL_03068
OG0000230	BBLLADNB_03321	CEKMHFBL_01223
OG0000231	BBLLADNB_01974, BBLLADNB_01975	CEKMHFBL_01643
OG0000232	BBLLADNB_02885	CEKMHFBL_02354, CEKMHFBL_03809
OG0000233	BBLLADNB_00696	CEKMHFBL_00663
OG0000234	BBLLADNB_02514	CEKMHFBL_04078
OG0000235	BBLLADNB_02519	CEKMHFBL_02461
OG0000236	BBLLADNB_00108	CEKMHFBL_00479
OG0000238	BBLLADNB_00576	CEKMHFBL_01255, CEKMHFBL_03210
OG0000239	BBLLADNB_00927	CEKMHFBL_03025, CEKMHFBL_00130
OG0000240	BBLLADNB_00026	CEKMHFBL_00160
OG0000241	BBLLADNB_02387	CEKMHFBL_00200
OG0000243	BBLLADNB_02762	CEKMHFBL_02489
OG0000244	BBLLADNB_02631	CEKMHFBL_00052
OG0000245	BBLLADNB_03520, BBLLADNB_02476	CEKMHFBL_00102
OG0000248	BBLLADNB_02209	CEKMHFBL_03621
OG0000249	BBLLADNB_01042, BBLLADNB_01046	CEKMHFBL_00564
OG0000250	BBLLADNB_03804	CEKMHFBL_03222, CEKMHFBL_01091
OG0000251	BBLLADNB_02948	CEKMHFBL_04198
OG0000252	BBLLADNB_01847	CEKMHFBL_01695
OG0000254	BBLLADNB_00890	CEKMHFBL_00574
OG0000255	BBLLADNB_02245	CEKMHFBL_02206
OG0000256	BBLLADNB_01910	CEKMHFBL_04061
OG0000259	BBLLADNB_01499	CEKMHFBL_03588
OG0000260	BBLLADNB_01340	CEKMHFBL_02946
OG0000263	BBLLADNB_03581	CEKMHFBL_00322
OG0000265	BBLLADNB_01531, BBLLADNB_01511	CEKMHFBL_00224
OG0000266	BBLLADNB_00072	CEKMHFBL_03722, CEKMHFBL_02781
OG0000267	BBLLADNB_01305	CEKMHFBL_00229
OG0000268	BBLLADNB_00710	CEKMHFBL_01460
OG0000269	BBLLADNB_00583	CEKMHFBL_03203, CEKMHFBL_01262
OG0000270	BBLLADNB_00577	CEKMHFBL_01256, CEKMHFBL_03209
OG0000272	BBLLADNB_01349	CEKMHFBL_00857
OG0000274	BBLLADNB_02589	CEKMHFBL_03926
OG0000275	BBLLADNB_03356, BBLLADNB_03164	CEKMHFBL_02173
OG0000276	BBLLADNB_03774	CEKMHFBL_00954
OG0000277	BBLLADNB_02765	CEKMHFBL_02376
OG0000278	BBLLADNB_01942, BBLLADNB_03152	CEKMHFBL_03065
OG0000279	BBLLADNB_00208	CEKMHFBL_00923
OG0000280	BBLLADNB_03544	CEKMHFBL_00914
OG0000281	BBLLADNB_02827	CEKMHFBL_00388
OG0000282	BBLLADNB_01821	CEKMHFBL_01095
OG0000283	BBLLADNB_01567	CEKMHFBL_02103
OG0000284	BBLLADNB_03749	CEKMHFBL_04114
OG0000285	BBLLADNB_03750	CEKMHFBL_04113
OG0000288	BBLLADNB_00627	CEKMHFBL_01342, CEKMHFBL_01341, CEKMHFBL_02440
OG0000290	BBLLADNB_02158, BBLLADNB_00998	CEKMHFBL_03135
OG0000291	BBLLADNB_01394	CEKMHFBL_00605, CEKMHFBL_00602
OG0000292	BBLLADNB_01057	CEKMHFBL_01361
OG0000293	BBLLADNB_01812	CEKMHFBL_02034
OG0000294	BBLLADNB_00450	CEKMHFBL_03117
OG0000295	BBLLADNB_03476	CEKMHFBL_02027
OG0000296	BBLLADNB_01908	CEKMHFBL_04107
OG0000297	BBLLADNB_01378	CEKMHFBL_00468, CEKMHFBL_03056
OG0000298	BBLLADNB_01544, BBLLADNB_00827	CEKMHFBL_03544
OG0000299	BBLLADNB_01543, BBLLADNB_00826	CEKMHFBL_03543
OG0000301	BBLLADNB_02368	CEKMHFBL_01315
OG0000302	BBLLADNB_02572	CEKMHFBL_02471, CEKMHFBL_02475
OG0000311	BBLLADNB_01667	CEKMHFBL_03080
OG0000312	BBLLADNB_01659	CEKMHFBL_01303
OG0000313	BBLLADNB_03848	CEKMHFBL_03858
OG0000314	BBLLADNB_02144	CEKMHFBL_03852
OG0000316	BBLLADNB_03772	CEKMHFBL_03669
OG0000317	BBLLADNB_03262, BBLLADNB_03773	CEKMHFBL_03670
OG0000318	BBLLADNB_00430	CEKMHFBL_00113
OG0000319	BBLLADNB_01225	CEKMHFBL_00747
OG0000321	BBLLADNB_00610	CEKMHFBL_01492
OG0000322	BBLLADNB_00612	CEKMHFBL_01491
OG0000323	BBLLADNB_02561	CEKMHFBL_01483
OG0000324	BBLLADNB_02558	CEKMHFBL_01480
OG0000326	BBLLADNB_03838	CEKMHFBL_01461
OG0000327	BBLLADNB_02127	CEKMHFBL_04016
OG0000328	BBLLADNB_02124	CEKMHFBL_04013
OG0000329	BBLLADNB_00069	CEKMHFBL_02784
OG0000330	BBLLADNB_02798	CEKMHFBL_01404
OG0000331	BBLLADNB_02799	CEKMHFBL_01405
OG0000332	BBLLADNB_01012	CEKMHFBL_01472
OG0000333	BBLLADNB_03640	CEKMHFBL_03033
OG0000334	BBLLADNB_03641	CEKMHFBL_03031
OG0000335	BBLLADNB_00818	CEKMHFBL_01428
OG0000336	BBLLADNB_02724	CEKMHFBL_00643
OG0000337	BBLLADNB_03238	CEKMHFBL_02248
OG0000338	BBLLADNB_00052	CEKMHFBL_00092
OG0000339	BBLLADNB_01296	CEKMHFBL_03563
OG0000340	BBLLADNB_01295	CEKMHFBL_03562
OG0000341	BBLLADNB_03912	CEKMHFBL_01026
OG0000343	BBLLADNB_03424	CEKMHFBL_01234
OG0000344	BBLLADNB_03552	CEKMHFBL_02496
OG0000345	BBLLADNB_02787	CEKMHFBL_02504
OG0000346	BBLLADNB_02154	CEKMHFBL_01666
OG0000347	BBLLADNB_00929	CEKMHFBL_00132
OG0000348	BBLLADNB_02161	CEKMHFBL_01642
OG0000349	BBLLADNB_01354	CEKMHFBL_01657
OG0000350	BBLLADNB_02806	CEKMHFBL_02892
OG0000351	BBLLADNB_01465	CEKMHFBL_01211
OG0000352	BBLLADNB_01896	CEKMHFBL_02923
OG0000353	BBLLADNB_00864	CEKMHFBL_00600
OG0000354	BBLLADNB_00866	CEKMHFBL_00598
OG0000355	BBLLADNB_00867	CEKMHFBL_00597
OG0000358	BBLLADNB_02412	CEKMHFBL_03423
OG0000359	BBLLADNB_00385	CEKMHFBL_00780
OG0000360	BBLLADNB_00562	CEKMHFBL_02357
OG0000361	BBLLADNB_03673	CEKMHFBL_02120
OG0000362	BBLLADNB_03674	CEKMHFBL_02119
OG0000363	BBLLADNB_03675	CEKMHFBL_02118
OG0000364	BBLLADNB_03724	CEKMHFBL_02117
OG0000365	BBLLADNB_02976	CEKMHFBL_03773
OG0000366	BBLLADNB_02107	CEKMHFBL_03777
OG0000367	BBLLADNB_02642	CEKMHFBL_03478
OG0000368	BBLLADNB_02640	CEKMHFBL_03476
OG0000369	BBLLADNB_02639	CEKMHFBL_03475
OG0000370	BBLLADNB_00021	CEKMHFBL_02728
OG0000371	BBLLADNB_01328	CEKMHFBL_04165
OG0000372	BBLLADNB_00754	CEKMHFBL_01327
OG0000372	BBLLADNB_00239	CEKMHFBL_00018
OG0000373	BBLLADNB_01866	CEKMHFBL_03885
OG0000374	BBLLADNB_03845	CEKMHFBL_01618, CEKMHFBL_01933
OG0000375	BBLLADNB_02502	CEKMHFBL_00299
OG0000376	BBLLADNB_00693	CEKMHFBL_00660
OG0000377	BBLLADNB_00694	CEKMHFBL_00661
OG0000378	BBLLADNB_00695	CEKMHFBL_00662
OG0000379	BBLLADNB_00697	CEKMHFBL_00664
OG0000380	BBLLADNB_02511	CEKMHFBL_04081
OG0000381	BBLLADNB_02518	CEKMHFBL_02462
OG0000382	BBLLADNB_02520	CEKMHFBL_02460
OG0000383	BBLLADNB_02521	CEKMHFBL_02459
OG0000384	BBLLADNB_02896	CEKMHFBL_03231
OG0000385	BBLLADNB_02032	CEKMHFBL_00544
OG0000386	BBLLADNB_02748	CEKMHFBL_00443
OG0000387	BBLLADNB_02947	CEKMHFBL_00280
OG0000388	BBLLADNB_02768	CEKMHFBL_02373
OG0000389	BBLLADNB_02769	CEKMHFBL_02372
OG0000390	BBLLADNB_01617	CEKMHFBL_02404
OG0000391	BBLLADNB_00302	CEKMHFBL_00709, CEKMHFBL_00707
OG0000392	BBLLADNB_01479	CEKMHFBL_02834
OG0000395	BBLLADNB_03371	CEKMHFBL_02980
OG0000396	BBLLADNB_03646	CEKMHFBL_01673
OG0000397	BBLLADNB_02767	CEKMHFBL_01290, CEKMHFBL_02374
OG0000398	BBLLADNB_02463	CEKMHFBL_03053
OG0000399	BBLLADNB_02644	CEKMHFBL_03480
OG0000400	BBLLADNB_03470	CEKMHFBL_02397
OG0000401	BBLLADNB_03469	CEKMHFBL_02396
OG0000402	BBLLADNB_03468	CEKMHFBL_02395
OG0000403	BBLLADNB_03467	CEKMHFBL_02394
OG0000404	BBLLADNB_01699	CEKMHFBL_01000
OG0000405	BBLLADNB_01087	CEKMHFBL_02628
OG0000406	BBLLADNB_03157	CEKMHFBL_00196
OG0000407	BBLLADNB_02389	CEKMHFBL_00198
OG0000408	BBLLADNB_02384	CEKMHFBL_04037
OG0000409	BBLLADNB_02383	CEKMHFBL_00204, CEKMHFBL_04036
OG0000410	BBLLADNB_03116	CEKMHFBL_00207, CEKMHFBL_04033
OG0000411	BBLLADNB_03114	CEKMHFBL_00209, CEKMHFBL_04031
OG0000412	BBLLADNB_03113	CEKMHFBL_00211, CEKMHFBL_04029
OG0000413	BBLLADNB_03112	CEKMHFBL_00212, CEKMHFBL_04028
OG0000414	BBLLADNB_03109	CEKMHFBL_04024, CEKMHFBL_00215
OG0000416	BBLLADNB_03609, BBLLADNB_02451	CEKMHFBL_01981
OG0000417	BBLLADNB_03073	CEKMHFBL_00329
OG0000418	BBLLADNB_01026	CEKMHFBL_04049
OG0000419	BBLLADNB_00588, BBLLADNB_03486	CEKMHFBL_04044
OG0000420	BBLLADNB_00721	CEKMHFBL_01449
OG0000421	BBLLADNB_00734	CEKMHFBL_01436
OG0000422	BBLLADNB_01710	CEKMHFBL_01011
OG0000423	BBLLADNB_02129	CEKMHFBL_04017
OG0000424	BBLLADNB_02763	CEKMHFBL_02490
OG0000425	BBLLADNB_02634	CEKMHFBL_00055
OG0000426	BBLLADNB_01766	CEKMHFBL_00955
OG0000427	BBLLADNB_03730	CEKMHFBL_02113
OG0000428	BBLLADNB_03731	CEKMHFBL_02114
OG0000429	BBLLADNB_03732	CEKMHFBL_02115
OG0000430	BBLLADNB_02908	CEKMHFBL_00003
OG0000431	BBLLADNB_00854	CEKMHFBL_03830
OG0000432	BBLLADNB_00849	CEKMHFBL_03833
OG0000433	BBLLADNB_02012	CEKMHFBL_03566
OG0000434	BBLLADNB_02531	CEKMHFBL_02959
OG0000435	BBLLADNB_00095	CEKMHFBL_02916
OG0000436	BBLLADNB_00080	CEKMHFBL_02078
OG0000437	BBLLADNB_01784, BBLLADNB_00079	CEKMHFBL_02077
OG0000438	BBLLADNB_00078	CEKMHFBL_02076
OG0000439	BBLLADNB_03737	CEKMHFBL_00723
OG0000440	BBLLADNB_02803	CEKMHFBL_02894
OG0000441	BBLLADNB_01232	CEKMHFBL_00740
OG0000442	BBLLADNB_02882	CEKMHFBL_02745
OG0000444	BBLLADNB_00390	CEKMHFBL_02135
OG0000445	BBLLADNB_01437	CEKMHFBL_01273
OG0000446	BBLLADNB_02773	CEKMHFBL_01654
OG0000447	BBLLADNB_02950	CEKMHFBL_02663
OG0000448	BBLLADNB_00104	CEKMHFBL_01608
OG0000449	BBLLADNB_03567	CEKMHFBL_00681
OG0000450	BBLLADNB_03298	CEKMHFBL_03968
OG0000452	BBLLADNB_03244	CEKMHFBL_01266, CEKMHFBL_01265
OG0000453	BBLLADNB_01119	CEKMHFBL_03583
OG0000454	BBLLADNB_01120	CEKMHFBL_03584
OG0000455	BBLLADNB_03241	CEKMHFBL_01269
OG0000456	BBLLADNB_01439	CEKMHFBL_01270
OG0000458	BBLLADNB_03535	CEKMHFBL_01536
OG0000459	BBLLADNB_00425	CEKMHFBL_01523
OG0000460	BBLLADNB_00189	CEKMHFBL_01409
OG0000461	BBLLADNB_02682	CEKMHFBL_01707
OG0000462	BBLLADNB_02424	CEKMHFBL_01135
OG0000463	BBLLADNB_01789	CEKMHFBL_01639
OG0000464	BBLLADNB_01113	CEKMHFBL_03578
OG0000465	BBLLADNB_00402	CEKMHFBL_01945
OG0000466	BBLLADNB_00881	CEKMHFBL_00583
OG0000467	BBLLADNB_03131	CEKMHFBL_02514
OG0000468	BBLLADNB_03133	CEKMHFBL_02516
OG0000469	BBLLADNB_02791	CEKMHFBL_00966
OG0000470	BBLLADNB_03559	CEKMHFBL_01774
OG0000471	BBLLADNB_02244	CEKMHFBL_02207
OG0000472	BBLLADNB_02813	CEKMHFBL_02202
OG0000473	BBLLADNB_01938	CEKMHFBL_03493, CEKMHFBL_01391
OG0000474	BBLLADNB_02693	CEKMHFBL_03610
OG0000475	BBLLADNB_02944	CEKMHFBL_02838
OG0000476	BBLLADNB_00716	CEKMHFBL_01454
OG0000477	BBLLADNB_00089	CEKMHFBL_02910
OG0000478	BBLLADNB_00090	CEKMHFBL_02911
OG0000479	BBLLADNB_03034	CEKMHFBL_01189
OG0000480	BBLLADNB_02551	CEKMHFBL_00624
OG0000481	BBLLADNB_02552	CEKMHFBL_00623
OG0000482	BBLLADNB_02641	CEKMHFBL_03477
OG0000483	BBLLADNB_00690	CEKMHFBL_00657
OG0000484	BBLLADNB_00691	CEKMHFBL_00658
OG0000485	BBLLADNB_00692	CEKMHFBL_00659
OG0000486	BBLLADNB_03449, BBLLADNB_00097	CEKMHFBL_01522
OG0000487	BBLLADNB_01320	CEKMHFBL_02879
OG0000488	BBLLADNB_01316	CEKMHFBL_02875
OG0000489	BBLLADNB_00413	CEKMHFBL_02717
OG0000490	BBLLADNB_03346	CEKMHFBL_03260
