Orthogroup	GCA_003332265.1	GCA_000310125.2
OG0000026	BFLDHLJO_02074	lcl|AMXB01000027.1_prot_ENO78223.1_2859
OG0000027	BFLDHLJO_03552, BFLDHLJO_03055	lcl|AMXB01000010.1_prot_ENO81695.1_1463
OG0000028	BFLDHLJO_03009	lcl|AMXB01000056.1_prot_ENO75316.1_3978
OG0000030	BFLDHLJO_01988, BFLDHLJO_01989, BFLDHLJO_02159	lcl|AMXB01000039.1_prot_ENO76438.1_3514
OG0000031	BFLDHLJO_02678	lcl|AMXB01000010.1_prot_ENO81589.1_1357
OG0000031	BFLDHLJO_02043, BFLDHLJO_00513	lcl|AMXB01000004.1_prot_ENO82693.1_652
OG0000032	BFLDHLJO_00585	lcl|AMXB01000042.1_prot_ENO76224.1_3641
OG0000033	BFLDHLJO_02754, BFLDHLJO_02611, BFLDHLJO_02776	lcl|AMXB01000003.1_prot_ENO82797.1_439
OG0000034	BFLDHLJO_01795	lcl|AMXB01000037.1_prot_ENO76690.1_3429
OG0000036	BFLDHLJO_01216	lcl|AMXB01000009.1_prot_ENO81818.1_1309
OG0000036	BFLDHLJO_01637	lcl|AMXB01000009.1_prot_ENO81816.1_1307
OG0000037	BFLDHLJO_02489	lcl|AMXB01000021.1_prot_ENO80041.1_2487
OG0000037	BFLDHLJO_02778	lcl|AMXB01000008.1_prot_ENO81881.1_1109
OG0000038	BFLDHLJO_00293, BFLDHLJO_00291, BFLDHLJO_00292	lcl|AMXB01000003.1_prot_ENO82863.1_505, lcl|AMXB01000051.1_prot_ENO75556.1_3865
OG0000042	BFLDHLJO_01193	lcl|AMXB01000051.1_prot_ENO75565.1_3874
OG0000042	BFLDHLJO_01926	lcl|AMXB01000013.1_prot_ENO81198.1_1736
OG0000043	BFLDHLJO_02167	lcl|AMXB01000065.1_prot_ENO74951.1_4088
OG0000043	BFLDHLJO_01582	lcl|AMXB01000018.1_prot_ENO80740.1_2298
OG0000044	BFLDHLJO_01136	lcl|AMXB01000069.1_prot_ENO74824.1_4138
OG0000045	BFLDHLJO_03403	lcl|AMXB01000002.1_prot_ENO82952.1_212
OG0000046	BFLDHLJO_00213	lcl|AMXB01000025.1_prot_ENO78746.1_2771
OG0000046	BFLDHLJO_00899	lcl|AMXB01000029.1_prot_ENO77783.1_3040
OG0000047	BFLDHLJO_03646	lcl|AMXB01000013.1_prot_ENO81252.1_1790, lcl|AMXB01000011.1_prot_ENO81514.1_1570, lcl|AMXB01000108.1_prot_ENO74357.1_4275
OG0000047	BFLDHLJO_00610	lcl|AMXB01000014.1_prot_ENO81112.1_1876, lcl|AMXB01000008.1_prot_ENO81994.1_1222, lcl|AMXB01000009.1_prot_ENO81756.1_1247
OG0000051	BFLDHLJO_01019	lcl|AMXB01000048.1_prot_ENO75735.1_3785
OG0000052	BFLDHLJO_03290	lcl|AMXB01000013.1_prot_ENO81269.1_1807
OG0000057	BFLDHLJO_03111, BFLDHLJO_03773	lcl|AMXB01000003.1_prot_ENO82804.1_446
OG0000058	BFLDHLJO_03931	lcl|AMXB01000019.1_prot_ENO80629.1_2347, lcl|AMXB01000004.1_prot_ENO82702.1_661
OG0000059	BFLDHLJO_03040	lcl|AMXB01000015.1_prot_ENO81034.1_2006
OG0000059	BFLDHLJO_02331	lcl|AMXB01000008.1_prot_ENO81902.1_1130
OG0000060	BFLDHLJO_00428, BFLDHLJO_00435	lcl|AMXB01000033.1_prot_ENO77190.1_3241
OG0000061	BFLDHLJO_03862, BFLDHLJO_03190, BFLDHLJO_01906, BFLDHLJO_03187	lcl|AMXB01000067.1_prot_ENO74875.1_4119, lcl|AMXB01000037.1_prot_ENO76677.1_3416
OG0000062	BFLDHLJO_00029, BFLDHLJO_00028	lcl|AMXB01000047.1_prot_ENO75817.1_3776
OG0000063	BFLDHLJO_02567, BFLDHLJO_01518	lcl|AMXB01000029.1_prot_ENO77797.1_3054
OG0000064	BFLDHLJO_03162, BFLDHLJO_03201	lcl|AMXB01000037.1_prot_ENO76674.1_3413
OG0000064	BFLDHLJO_00878	lcl|AMXB01000067.1_prot_ENO74874.1_4118, lcl|AMXB01000026.1_prot_ENO78484.1_2827
OG0000067	BFLDHLJO_01405, BFLDHLJO_03378	lcl|AMXB01000003.1_prot_ENO82824.1_466
OG0000068	BFLDHLJO_03999	lcl|AMXB01000014.1_prot_ENO81129.1_1893, lcl|AMXB01000011.1_prot_ENO81533.1_1589, lcl|AMXB01000014.1_prot_ENO81158.1_1922
OG0000068	BFLDHLJO_00861	lcl|AMXB01000049.1_prot_ENO75670.1_3809, lcl|AMXB01000049.1_prot_ENO75677.1_3816
OG0000070	BFLDHLJO_01591	lcl|AMXB01000034.1_prot_ENO77063.1_3298
OG0000070	BFLDHLJO_03826	lcl|AMXB01000008.1_prot_ENO82012.1_1240
OG0000072	BFLDHLJO_01815	lcl|AMXB01000018.1_prot_ENO80733.1_2291
OG0000073	BFLDHLJO_00220	lcl|AMXB01000019.1_prot_ENO80597.1_2315
OG0000075	BFLDHLJO_01517, BFLDHLJO_03416	lcl|AMXB01000007.1_prot_ENO82111.1_1030
OG0000077	BFLDHLJO_01040, BFLDHLJO_02817, BFLDHLJO_02895	lcl|AMXB01000049.1_prot_ENO75693.1_3832, lcl|AMXB01000057.1_prot_ENO75274.1_3994
OG0000078	BFLDHLJO_01266	lcl|AMXB01000058.1_prot_ENO75237.1_4008
OG0000079	BFLDHLJO_01009	lcl|AMXB01000014.1_prot_ENO81093.1_1857
OG0000079	BFLDHLJO_00418	lcl|AMXB01000053.1_prot_ENO75486.1_3928
OG0000080	BFLDHLJO_03440, BFLDHLJO_03459	lcl|AMXB01000038.1_prot_ENO76545.1_3455, lcl|AMXB01000086.1_prot_ENO74497.1_4243, lcl|AMXB01000019.1_prot_ENO80595.1_2313, lcl|AMXB01000006.1_prot_ENO82265.1_869, lcl|AMXB01000006.1_prot_ENO82305.1_909, lcl|AMXB01000072.1_prot_ENO74747.1_4175, lcl|AMXB01000044.1_prot_ENO76090.1_3693, lcl|AMXB01000007.1_prot_ENO82076.1_995
OG0000081	BFLDHLJO_01631	lcl|AMXB01000031.1_prot_ENO77423.1_3157
OG0000083	BFLDHLJO_04172, BFLDHLJO_01135	lcl|AMXB01000008.1_prot_ENO81943.1_1171
OG0000084	BFLDHLJO_01634, BFLDHLJO_04045, BFLDHLJO_02299	lcl|AMXB01000017.1_prot_ENO80791.1_2188
OG0000085	BFLDHLJO_01191	lcl|AMXB01000074.1_prot_ENO74682.1_4197, lcl|AMXB01000053.1_prot_ENO75475.1_3917
OG0000086	BFLDHLJO_04135	lcl|AMXB01000058.1_prot_ENO75233.1_4004
OG0000090	BFLDHLJO_00193, BFLDHLJO_01722	lcl|AMXB01000009.1_prot_ENO81864.1_1355
OG0000091	BFLDHLJO_01059, BFLDHLJO_03168, BFLDHLJO_03209	lcl|AMXB01000071.1_prot_ENO74776.1_4165, lcl|AMXB01000041.1_prot_ENO76251.1_3589, lcl|AMXB01000037.1_prot_ENO76686.1_3425, lcl|AMXB01000027.1_prot_ENO78278.1_2914
OG0000092	BFLDHLJO_01160	lcl|AMXB01000008.1_prot_ENO81972.1_1200
OG0000092	BFLDHLJO_01060, BFLDHLJO_03167, BFLDHLJO_03208	lcl|AMXB01000037.1_prot_ENO76687.1_3426, lcl|AMXB01000027.1_prot_ENO78277.1_2913
OG0000093	BFLDHLJO_03019, BFLDHLJO_00818	lcl|AMXB01000012.1_prot_ENO81319.1_1622
OG0000093	BFLDHLJO_01753	lcl|AMXB01000001.1_prot_ENO83228.1_101
OG0000094	BFLDHLJO_01088	lcl|AMXB01000008.1_prot_ENO82017.1_1245
OG0000096	BFLDHLJO_03213, BFLDHLJO_03212	lcl|AMXB01000030.1_prot_ENO77584.1_3085
OG0000100	BFLDHLJO_01137, BFLDHLJO_02695	lcl|AMXB01000045.1_prot_ENO75995.1_3714, lcl|AMXB01000008.1_prot_ENO82006.1_1234
OG0000104	BFLDHLJO_01985, BFLDHLJO_01983, BFLDHLJO_01854, BFLDHLJO_03335	lcl|AMXB01000066.1_prot_ENO74903.1_4096, lcl|AMXB01000066.1_prot_ENO74908.1_4101, lcl|AMXB01000099.1_prot_ENO74402.1_4266
OG0000105	BFLDHLJO_01678	lcl|AMXB01000026.1_prot_ENO78515.1_2858
OG0000107	BFLDHLJO_01002	lcl|AMXB01000032.1_prot_ENO77230.1_3164, lcl|AMXB01000060.1_prot_ENO75158.1_4032
OG0000108	BFLDHLJO_00854	lcl|AMXB01000027.1_prot_ENO78229.1_2865
OG0000108	BFLDHLJO_00786	lcl|AMXB01000010.1_prot_ENO81629.1_1397
OG0000109	BFLDHLJO_02918	lcl|AMXB01000011.1_prot_ENO81467.1_1523
OG0000110	BFLDHLJO_01296	lcl|AMXB01000005.1_prot_ENO82487.1_782, lcl|AMXB01000049.1_prot_ENO75679.1_3818, lcl|AMXB01000109.1_prot_ENO74354.1_4276, lcl|AMXB01000126.1_prot_ENO74300.1_4293, lcl|AMXB01000101.1_prot_ENO74388.1_4268
OG0000111	BFLDHLJO_00604	lcl|AMXB01000049.1_prot_ENO75688.1_3827, lcl|AMXB01000015.1_prot_ENO81033.1_2005, lcl|AMXB01000004.1_prot_ENO82653.1_612, lcl|AMXB01000006.1_prot_ENO82344.1_948
OG0000112	BFLDHLJO_03297	lcl|AMXB01000036.1_prot_ENO76822.1_3393, lcl|AMXB01000003.1_prot_ENO82862.1_504, lcl|AMXB01000006.1_prot_ENO82281.1_885
OG0000115	BFLDHLJO_03947	lcl|AMXB01000002.1_prot_ENO82991.1_251
OG0000116	BFLDHLJO_01089	lcl|AMXB01000008.1_prot_ENO82016.1_1244
OG0000118	BFLDHLJO_02139	lcl|AMXB01000040.1_prot_ENO76341.1_3546
OG0000119	BFLDHLJO_02141	lcl|AMXB01000040.1_prot_ENO76340.1_3545
OG0000120	BFLDHLJO_03531, BFLDHLJO_00863	lcl|AMXB01000029.1_prot_ENO77752.1_3009
OG0000121	BFLDHLJO_00903	lcl|AMXB01000020.1_prot_ENO80567.1_2449
OG0000122	BFLDHLJO_01644	lcl|AMXB01000043.1_prot_ENO76125.1_3667
OG0000123	BFLDHLJO_00497	lcl|AMXB01000025.1_prot_ENO78740.1_2765, lcl|AMXB01000047.1_prot_ENO75797.1_3756, lcl|AMXB01000025.1_prot_ENO78730.1_2755, lcl|AMXB01000026.1_prot_ENO78476.1_2819, lcl|AMXB01000025.1_prot_ENO78760.1_2785, lcl|AMXB01000009.1_prot_ENO81822.1_1313, lcl|AMXB01000025.1_prot_ENO78713.1_2738, lcl|AMXB01000034.1_prot_ENO77069.1_3304
OG0000124	BFLDHLJO_00498	lcl|AMXB01000009.1_prot_ENO81821.1_1312, lcl|AMXB01000025.1_prot_ENO78729.1_2754, lcl|AMXB01000025.1_prot_ENO78759.1_2784, lcl|AMXB01000026.1_prot_ENO78475.1_2818, lcl|AMXB01000047.1_prot_ENO75796.1_3755, lcl|AMXB01000025.1_prot_ENO78714.1_2739, lcl|AMXB01000025.1_prot_ENO78742.1_2767, lcl|AMXB01000034.1_prot_ENO77070.1_3305
OG0000125	BFLDHLJO_02392, BFLDHLJO_02389	lcl|AMXB01000040.1_prot_ENO76362.1_3567
OG0000126	BFLDHLJO_03052, BFLDHLJO_01375	lcl|AMXB01000004.1_prot_ENO82632.1_591
OG0000127	BFLDHLJO_02714	lcl|AMXB01000003.1_prot_ENO82841.1_483
OG0000128	BFLDHLJO_02012	lcl|AMXB01000005.1_prot_ENO82507.1_802
OG0000130	BFLDHLJO_02790, BFLDHLJO_02585, BFLDHLJO_04008	lcl|AMXB01000002.1_prot_ENO83023.1_283
OG0000134	BFLDHLJO_03221, BFLDHLJO_02016	lcl|AMXB01000099.1_prot_ENO74401.1_4265, lcl|AMXB01000066.1_prot_ENO74904.1_4097, lcl|AMXB01000066.1_prot_ENO74909.1_4102
OG0000135	BFLDHLJO_03439	lcl|AMXB01000006.1_prot_ENO82306.1_910, lcl|AMXB01000086.1_prot_ENO74498.1_4244, lcl|AMXB01000038.1_prot_ENO76546.1_3456, lcl|AMXB01000007.1_prot_ENO82075.1_994, lcl|AMXB01000044.1_prot_ENO76091.1_3694, lcl|AMXB01000072.1_prot_ENO74746.1_4174, lcl|AMXB01000019.1_prot_ENO80596.1_2314, lcl|AMXB01000006.1_prot_ENO82266.1_870
OG0000139	BFLDHLJO_01467	lcl|AMXB01000025.1_prot_ENO78769.1_2794, lcl|AMXB01000010.1_prot_ENO81624.1_1392, lcl|AMXB01000017.1_prot_ENO80756.1_2153, lcl|AMXB01000002.1_prot_ENO83003.1_263
OG0000140	BFLDHLJO_02125	lcl|AMXB01000052.1_prot_ENO75499.1_3890
OG0000141	BFLDHLJO_03054	lcl|AMXB01000001.1_prot_ENO83241.1_114
OG0000142	BFLDHLJO_01553	lcl|AMXB01000011.1_prot_ENO81554.1_1610
OG0000143	BFLDHLJO_00214	lcl|AMXB01000025.1_prot_ENO78744.1_2769
OG0000144	BFLDHLJO_00303	lcl|AMXB01000022.1_prot_ENO79623.1_2560
OG0000146	BFLDHLJO_03298	lcl|AMXB01000003.1_prot_ENO82861.1_503, lcl|AMXB01000036.1_prot_ENO76821.1_3392
OG0000147	BFLDHLJO_03843	lcl|AMXB01000010.1_prot_ENO81666.1_1434, lcl|AMXB01000006.1_prot_ENO82214.1_818
OG0000148	BFLDHLJO_04123	lcl|AMXB01000015.1_prot_ENO80974.1_1946
OG0000149	BFLDHLJO_01951	lcl|AMXB01000061.1_prot_ENO75115.1_4043
OG0000150	BFLDHLJO_01090	lcl|AMXB01000008.1_prot_ENO82015.1_1243
OG0000153	BFLDHLJO_02353	lcl|AMXB01000007.1_prot_ENO82158.1_1077
OG0000155	BFLDHLJO_02545	lcl|AMXB01000007.1_prot_ENO82161.1_1080, lcl|AMXB01000049.1_prot_ENO75674.1_3813
OG0000156	BFLDHLJO_02273	lcl|AMXB01000103.1_prot_ENO74379.1_4270, lcl|AMXB01000015.1_prot_ENO81045.1_2017, lcl|AMXB01000015.1_prot_ENO81044.1_2016
OG0000157	BFLDHLJO_00159	lcl|AMXB01000037.1_prot_ENO76688.1_3427
OG0000159	BFLDHLJO_03341, BFLDHLJO_03294	lcl|AMXB01000009.1_prot_ENO81775.1_1266, lcl|AMXB01000001.1_prot_ENO83242.1_115
OG0000160	BFLDHLJO_02546	lcl|AMXB01000049.1_prot_ENO75673.1_3812, lcl|AMXB01000007.1_prot_ENO82162.1_1081
OG0000162	BFLDHLJO_03456	lcl|AMXB01000014.1_prot_ENO81131.1_1895
OG0000163	BFLDHLJO_01016	lcl|AMXB01000012.1_prot_ENO81409.1_1712, lcl|AMXB01000027.1_prot_ENO78249.1_2885, lcl|AMXB01000009.1_prot_ENO81808.1_1299, lcl|AMXB01000004.1_prot_ENO82699.1_658, lcl|AMXB01000025.1_prot_ENO78720.1_2745, lcl|AMXB01000053.1_prot_ENO75480.1_3922
OG0000166	BFLDHLJO_01073, BFLDHLJO_03918	lcl|AMXB01000038.1_prot_ENO76550.1_3460
OG0000169	BFLDHLJO_02048	lcl|AMXB01000008.1_prot_ENO81930.1_1158
OG0000170	BFLDHLJO_02794	lcl|AMXB01000070.1_prot_ENO74807.1_4151
OG0000171	BFLDHLJO_01262	lcl|AMXB01000009.1_prot_ENO81765.1_1256
OG0000172	BFLDHLJO_01342	lcl|AMXB01000017.1_prot_ENO80800.1_2197
OG0000173	BFLDHLJO_00202	lcl|AMXB01000027.1_prot_ENO78232.1_2868, lcl|AMXB01000004.1_prot_ENO82660.1_619, lcl|AMXB01000009.1_prot_ENO81846.1_1337
OG0000174	BFLDHLJO_00107	lcl|AMXB01000010.1_prot_ENO81660.1_1428, lcl|AMXB01000021.1_prot_ENO80072.1_2518
OG0000176	BFLDHLJO_00333	lcl|AMXB01000021.1_prot_ENO80063.1_2509
OG0000177	BFLDHLJO_01379, BFLDHLJO_01381	lcl|AMXB01000022.1_prot_ENO79637.1_2574
OG0000180	BFLDHLJO_03329	lcl|AMXB01000026.1_prot_ENO78509.1_2852
OG0000181	BFLDHLJO_02685	lcl|AMXB01000001.1_prot_ENO83288.1_161, lcl|AMXB01000019.1_prot_ENO80623.1_2341
OG0000182	BFLDHLJO_02883	lcl|AMXB01000005.1_prot_ENO82500.1_795, lcl|AMXB01000032.1_prot_ENO77273.1_3207
OG0000183	BFLDHLJO_01808	lcl|AMXB01000002.1_prot_ENO83093.1_353, lcl|AMXB01000049.1_prot_ENO75676.1_3815, lcl|AMXB01000004.1_prot_ENO82659.1_618
OG0000184	BFLDHLJO_02228	lcl|AMXB01000011.1_prot_ENO81526.1_1582
OG0000186	BFLDHLJO_02384, BFLDHLJO_00054	lcl|AMXB01000001.1_prot_ENO83180.1_53
OG0000187	BFLDHLJO_02967	lcl|AMXB01000011.1_prot_ENO81515.1_1571
OG0000188	BFLDHLJO_01132	lcl|AMXB01000006.1_prot_ENO82223.1_827
OG0000189	BFLDHLJO_00058	lcl|AMXB01000001.1_prot_ENO83200.1_73
OG0000190	BFLDHLJO_00810	lcl|AMXB01000004.1_prot_ENO82690.1_649
OG0000192	BFLDHLJO_01082, BFLDHLJO_02520	lcl|AMXB01000002.1_prot_ENO83104.1_364
OG0000194	BFLDHLJO_02372, BFLDHLJO_03979	lcl|AMXB01000010.1_prot_ENO81612.1_1380
OG0000195	BFLDHLJO_01858, BFLDHLJO_02592	lcl|AMXB01000006.1_prot_ENO82237.1_841
OG0000196	BFLDHLJO_00309	lcl|AMXB01000015.1_prot_ENO81028.1_2000, lcl|AMXB01000013.1_prot_ENO81216.1_1754
OG0000197	BFLDHLJO_00184	lcl|AMXB01000065.1_prot_ENO74949.1_4086
OG0000198	BFLDHLJO_01680	lcl|AMXB01000026.1_prot_ENO78513.1_2856
OG0000199	BFLDHLJO_02930	lcl|AMXB01000005.1_prot_ENO82466.1_761
OG0000200	BFLDHLJO_00234	lcl|AMXB01000004.1_prot_ENO82664.1_623
OG0000201	BFLDHLJO_02682	lcl|AMXB01000030.1_prot_ENO77564.1_3065, lcl|AMXB01000032.1_prot_ENO77263.1_3197
OG0000202	BFLDHLJO_02684	lcl|AMXB01000032.1_prot_ENO77261.1_3195
OG0000205	BFLDHLJO_02146	lcl|AMXB01000009.1_prot_ENO81785.1_1276
OG0000206	BFLDHLJO_03808	lcl|AMXB01000004.1_prot_ENO82676.1_635, lcl|AMXB01000036.1_prot_ENO76806.1_3377
OG0000207	BFLDHLJO_01707, BFLDHLJO_01736	lcl|AMXB01000007.1_prot_ENO82129.1_1048
OG0000209	BFLDHLJO_01573	lcl|AMXB01000004.1_prot_ENO82698.1_657, lcl|AMXB01000014.1_prot_ENO81084.1_1848, lcl|AMXB01000053.1_prot_ENO75470.1_3912
OG0000210	BFLDHLJO_03643	lcl|AMXB01000088.1_prot_ENO74480.1_4246, lcl|AMXB01000082.1_prot_ENO74531.1_4232, lcl|AMXB01000014.1_prot_ENO81139.1_1903, lcl|AMXB01000014.1_prot_ENO81089.1_1853, lcl|AMXB01000014.1_prot_ENO81127.1_1891, lcl|AMXB01000013.1_prot_ENO81256.1_1794
OG0000211	BFLDHLJO_01720	lcl|AMXB01000061.1_prot_ENO75106.1_4034, lcl|AMXB01000004.1_prot_ENO82671.1_630, lcl|AMXB01000052.1_prot_ENO75503.1_3894, lcl|AMXB01000059.1_prot_ENO75194.1_4014, lcl|AMXB01000059.1_prot_ENO75192.1_4012
OG0000212	BFLDHLJO_03864	lcl|AMXB01000026.1_prot_ENO78467.1_2810, lcl|AMXB01000003.1_prot_ENO82793.1_435
OG0000213	BFLDHLJO_03865	lcl|AMXB01000026.1_prot_ENO78468.1_2811, lcl|AMXB01000003.1_prot_ENO82794.1_436
OG0000214	BFLDHLJO_02909	lcl|AMXB01000001.1_prot_ENO83161.1_34
OG0000215	BFLDHLJO_00279	lcl|AMXB01000023.1_prot_ENO79341.1_2649, lcl|AMXB01000064.1_prot_ENO74987.1_4078
OG0000216	BFLDHLJO_00281	lcl|AMXB01000048.1_prot_ENO75755.1_3805
OG0000217	BFLDHLJO_02064	lcl|AMXB01000031.1_prot_ENO77412.1_3146
OG0000218	BFLDHLJO_01937	lcl|AMXB01000020.1_prot_ENO80548.1_2430
OG0000221	BFLDHLJO_02049	lcl|AMXB01000008.1_prot_ENO81931.1_1159, lcl|AMXB01000024.1_prot_ENO79029.1_2713, lcl|AMXB01000038.1_prot_ENO76549.1_3459
OG0000223	BFLDHLJO_03043	lcl|AMXB01000018.1_prot_ENO80714.1_2272, lcl|AMXB01000027.1_prot_ENO78255.1_2891
OG0000224	BFLDHLJO_01180, BFLDHLJO_01181	lcl|AMXB01000001.1_prot_ENO83287.1_160
OG0000225	BFLDHLJO_00930	lcl|AMXB01000008.1_prot_ENO81897.1_1125
OG0000227	BFLDHLJO_01396	lcl|AMXB01000010.1_prot_ENO81652.1_1420, lcl|AMXB01000025.1_prot_ENO78754.1_2779, lcl|AMXB01000021.1_prot_ENO80056.1_2502
OG0000228	BFLDHLJO_04093	lcl|AMXB01000009.1_prot_ENO81833.1_1324
OG0000229	BFLDHLJO_03299	lcl|AMXB01000001.1_prot_ENO83295.1_168
OG0000230	BFLDHLJO_03702	lcl|AMXB01000003.1_prot_ENO82737.1_379, lcl|AMXB01000009.1_prot_ENO81826.1_1317, lcl|AMXB01000014.1_prot_ENO81137.1_1901, lcl|AMXB01000008.1_prot_ENO81953.1_1181
OG0000231	BFLDHLJO_04085	lcl|AMXB01000035.1_prot_ENO76916.1_3326
OG0000232	BFLDHLJO_00633	lcl|AMXB01000001.1_prot_ENO83206.1_79
OG0000233	BFLDHLJO_03812	lcl|AMXB01000001.1_prot_ENO83217.1_90
OG0000234	BFLDHLJO_02491	lcl|AMXB01000021.1_prot_ENO80037.1_2483
OG0000235	BFLDHLJO_02497	lcl|AMXB01000021.1_prot_ENO80032.1_2478
OG0000236	BFLDHLJO_00948	lcl|AMXB01000007.1_prot_ENO82087.1_1006
OG0000237	BFLDHLJO_01322	lcl|AMXB01000029.1_prot_ENO77788.1_3045, lcl|AMXB01000023.1_prot_ENO79336.1_2644
OG0000237	BFLDHLJO_00807	lcl|AMXB01000011.1_prot_ENO81506.1_1562
OG0000238	BFLDHLJO_00317	lcl|AMXB01000013.1_prot_ENO81224.1_1762
OG0000239	BFLDHLJO_00088	lcl|AMXB01000001.1_prot_ENO83194.1_67
OG0000240	BFLDHLJO_01238	lcl|AMXB01000006.1_prot_ENO82250.1_854, lcl|AMXB01000002.1_prot_ENO83033.1_293
OG0000243	BFLDHLJO_03657	lcl|AMXB01000011.1_prot_ENO81498.1_1554
OG0000244	BFLDHLJO_03486	lcl|AMXB01000012.1_prot_ENO81328.1_1631
OG0000245	BFLDHLJO_02675	lcl|AMXB01000030.1_prot_ENO77557.1_3058
OG0000248	BFLDHLJO_01877	lcl|AMXB01000023.1_prot_ENO79287.1_2595
OG0000249	BFLDHLJO_00433	lcl|AMXB01000045.1_prot_ENO76001.1_3720
OG0000250	BFLDHLJO_01806	lcl|AMXB01000104.1_prot_ENO74374.1_4271
OG0000251	BFLDHLJO_00664	lcl|AMXB01000011.1_prot_ENO81512.1_1568
OG0000252	BFLDHLJO_02723	lcl|AMXB01000003.1_prot_ENO82727.1_369, lcl|AMXB01000072.1_prot_ENO74751.1_4179, lcl|AMXB01000007.1_prot_ENO82039.1_958
OG0000253	BFLDHLJO_02948	lcl|AMXB01000051.1_prot_ENO75550.1_3859
OG0000254	BFLDHLJO_01837	lcl|AMXB01000019.1_prot_ENO80650.1_2368, lcl|AMXB01000019.1_prot_ENO80648.1_2366, lcl|AMXB01000018.1_prot_ENO80697.1_2255
OG0000255	BFLDHLJO_02242	lcl|AMXB01000004.1_prot_ENO82652.1_611, lcl|AMXB01000003.1_prot_ENO82786.1_428
OG0000256	BFLDHLJO_02259	lcl|AMXB01000033.1_prot_ENO77179.1_3230, lcl|AMXB01000036.1_prot_ENO76812.1_3383, lcl|AMXB01000003.1_prot_ENO82742.1_384
OG0000259	BFLDHLJO_00749	lcl|AMXB01000009.1_prot_ENO81865.1_1356, lcl|AMXB01000024.1_prot_ENO79019.1_2703, lcl|AMXB01000061.1_prot_ENO75105.1_4033
OG0000260	BFLDHLJO_00940	lcl|AMXB01000029.1_prot_ENO77770.1_3027
OG0000261	BFLDHLJO_02683	lcl|AMXB01000015.1_prot_ENO81006.1_1978, lcl|AMXB01000032.1_prot_ENO77262.1_3196
OG0000262	BFLDHLJO_03192	lcl|AMXB01000027.1_prot_ENO78280.1_2916, lcl|AMXB01000092.1_prot_ENO74453.1_4255, lcl|AMXB01000037.1_prot_ENO76679.1_3418
OG0000263	BFLDHLJO_01752	lcl|AMXB01000001.1_prot_ENO83227.1_100, lcl|AMXB01000012.1_prot_ENO81337.1_1640, lcl|AMXB01000031.1_prot_ENO77415.1_3149
