	2506520024	2687453699	2767802316	2767802455	644736333	GCA_000310125.2	GCA_003332265.1	Reactor4-bin.4	spades-bin.32
'8	0	0	8	8	8	48	0	0	16
'9	9	9	0	0	18	18	0	9	0
'10	0	0	0	20	0	10	0	20	0
11-15	25	11	0	45	0	24	0	0	0
16-20	19	0	0	35	56	0	0	0	0
21-50	67	0	0	0	21	36	0	0	0
51-100	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	66.7	84.9	82.3	61.0	81.1	52.3	69.8	72.1	77.8
'2	11.1	8.0	13.0	13.5	7.8	13.8	11.9	11.6	10.5
'3	3.0	2.2	1.8	5.3	2.3	5.5	4.2	3.7	2.0
'4	2.1	0.0	0.8	1.7	2.0	2.2	2.3	1.9	0.4
'5	0.4	0.1	0.2	0.9	0.6	1.9	0.2	0.4	0.0
'6	1.1	0.2	0.1	0.9	0.6	1.0	0.3	0.1	0.0
'7	0.0	0.0	0.0	0.4	0.9	0.3	0.3	0.3	0.2
'8	0.0	0.0	0.2	0.2	0.2	1.1	0.0	0.0	0.4
'9	0.3	0.2	0.0	0.0	0.4	0.4	0.0	0.2	0.0
'10	0.0	0.0	0.0	0.4	0.0	0.2	0.0	0.5	0.0
11-15	0.7	0.3	0.0	0.9	0.0	0.6	0.0	0.0	0.0
16-20	0.6	0.0	0.0	0.7	1.2	0.0	0.0	0.0	0.0
21-50	2.0	0.0	0.0	0.0	0.4	0.8	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
