Orthogroup	2506520024	2687453699	2767802316	2767802455	644736333	GCA_000310125.2	GCA_003332265.1	Reactor4-bin.4	spades-bin.32
OG0000010	2506669954, 2506669966, 2506670117, 2506670233, 2506670257, 2506671410, 2506672127, 2506672138, 2506672508	PEBOPBNB_01524	GNJGOIBN_03713	NHBDKAOG_03611, NHBDKAOG_04701	MCBBHCNB_00970, MCBBHCNB_03999	lcl|AMXB01000002.1_prot_ENO83094.1_354, lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000009.1_prot_ENO81857.1_1348, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000020.1_prot_ENO80497.1_2379, lcl|AMXB01000047.1_prot_ENO75792.1_3751	BFLDHLJO_00210, BFLDHLJO_02149	CEKMHFBL_01416, CEKMHFBL_03892	BBLLADNB_03377
OG0000011	2506670347, 2506670350, 2506672719	PEBOPBNB_01681, PEBOPBNB_01682, PEBOPBNB_01685, PEBOPBNB_02792, PEBOPBNB_03340, PEBOPBNB_03352, PEBOPBNB_03355, PEBOPBNB_03356, PEBOPBNB_03357			MCBBHCNB_00613	lcl|AMXB01000002.1_prot_ENO83078.1_338	BFLDHLJO_03580, BFLDHLJO_03583, BFLDHLJO_03584, BFLDHLJO_03585		BBLLADNB_00010, BBLLADNB_00011, BBLLADNB_00014, BBLLADNB_00438, BBLLADNB_00439, BBLLADNB_00442, BBLLADNB_00454, BBLLADNB_03054
OG0000012	2506670781, 2506672465	PEBOPBNB_01389, PEBOPBNB_02954	GNJGOIBN_00163, GNJGOIBN_01481, GNJGOIBN_01654, GNJGOIBN_01708	NHBDKAOG_02831, NHBDKAOG_04515	MCBBHCNB_00422, MCBBHCNB_01788, MCBBHCNB_01972, MCBBHCNB_02021	lcl|AMXB01000008.1_prot_ENO81989.1_1217, lcl|AMXB01000026.1_prot_ENO78508.1_2851, lcl|AMXB01000043.1_prot_ENO76132.1_3674	BFLDHLJO_01163, BFLDHLJO_02327, BFLDHLJO_02512	CEKMHFBL_01788, CEKMHFBL_02609, CEKMHFBL_02868, CEKMHFBL_03228	BBLLADNB_00395, BBLLADNB_02911
OG0000013	2506669724, 2506669832, 2506669843, 2506670287, 2506670326, 2506670367, 2506670416, 2506670582, 2506670677, 2506670749, 2506670785, 2506670817, 2506670899, 2506671018, 2506671161, 2506671502, 2506671665, 2506672027, 2506672447		GNJGOIBN_00130	NHBDKAOG_03695	MCBBHCNB_00389	lcl|AMXB01000011.1_prot_ENO81460.1_1516, lcl|AMXB01000057.1_prot_ENO75275.1_3995	BFLDHLJO_03160		
OG0000014	2506670651, 2506670652	PEBOPBNB_01443, PEBOPBNB_01894	GNJGOIBN_00241, GNJGOIBN_03111	NHBDKAOG_00189, NHBDKAOG_02843, NHBDKAOG_02894, NHBDKAOG_03919	MCBBHCNB_00511, MCBBHCNB_03385	lcl|AMXB01000004.1_prot_ENO82565.1_524, lcl|AMXB01000004.1_prot_ENO82568.1_527, lcl|AMXB01000004.1_prot_ENO82570.1_529, lcl|AMXB01000058.1_prot_ENO75235.1_4006	BFLDHLJO_00327, BFLDHLJO_03087	CEKMHFBL_01116, CEKMHFBL_01760, CEKMHFBL_01879, CEKMHFBL_02749	BBLLADNB_00567, BBLLADNB_00625, BBLLADNB_03006
OG0000015		PEBOPBNB_03768			MCBBHCNB_00077, MCBBHCNB_00181, MCBBHCNB_00333, MCBBHCNB_00432, MCBBHCNB_01135, MCBBHCNB_01178, MCBBHCNB_01547, MCBBHCNB_01606, MCBBHCNB_01701, MCBBHCNB_01940, MCBBHCNB_02045, MCBBHCNB_02081, MCBBHCNB_02182, MCBBHCNB_02358, MCBBHCNB_02560, MCBBHCNB_03029, MCBBHCNB_03664, MCBBHCNB_04376, MCBBHCNB_04561, MCBBHCNB_04696		BFLDHLJO_02360	CEKMHFBL_00703, CEKMHFBL_01850	BBLLADNB_03018
OG0000016		PEBOPBNB_03769		NHBDKAOG_02949	MCBBHCNB_00078, MCBBHCNB_00180, MCBBHCNB_00334, MCBBHCNB_00431, MCBBHCNB_01136, MCBBHCNB_01179, MCBBHCNB_01548, MCBBHCNB_01607, MCBBHCNB_01702, MCBBHCNB_01939, MCBBHCNB_02044, MCBBHCNB_02080, MCBBHCNB_02181, MCBBHCNB_02357, MCBBHCNB_02561, MCBBHCNB_03028, MCBBHCNB_03665, MCBBHCNB_04375, MCBBHCNB_04562, MCBBHCNB_04695		BFLDHLJO_02361		BBLLADNB_03016, BBLLADNB_03017
OG0000017			GNJGOIBN_00174, GNJGOIBN_00497, GNJGOIBN_01768, GNJGOIBN_02332, GNJGOIBN_02764, GNJGOIBN_02898	NHBDKAOG_00414, NHBDKAOG_02097, NHBDKAOG_02566, NHBDKAOG_02659, NHBDKAOG_02970, NHBDKAOG_03035, NHBDKAOG_03808, NHBDKAOG_03868, NHBDKAOG_04459, NHBDKAOG_04528	MCBBHCNB_00438, MCBBHCNB_00774, MCBBHCNB_02091, MCBBHCNB_02635, MCBBHCNB_03031, MCBBHCNB_03169			CEKMHFBL_00770, CEKMHFBL_02906, CEKMHFBL_04242	
OG0000018	2506670550	PEBOPBNB_00089, PEBOPBNB_01529	GNJGOIBN_01077, GNJGOIBN_01435, GNJGOIBN_02009	NHBDKAOG_00147, NHBDKAOG_00335, NHBDKAOG_03161, NHBDKAOG_03788	MCBBHCNB_01355, MCBBHCNB_01757, MCBBHCNB_02323	lcl|AMXB01000009.1_prot_ENO81803.1_1294, lcl|AMXB01000025.1_prot_ENO78743.1_2768, lcl|AMXB01000029.1_prot_ENO77786.1_3043, lcl|AMXB01000068.1_prot_ENO74859.1_4125	BFLDHLJO_00215, BFLDHLJO_00896	CEKMHFBL_01623, CEKMHFBL_02390, CEKMHFBL_02704	BBLLADNB_02917, BBLLADNB_03302
OG0000019		PEBOPBNB_02860, PEBOPBNB_03299	GNJGOIBN_02080	NHBDKAOG_00827, NHBDKAOG_01131, NHBDKAOG_02841, NHBDKAOG_02842, NHBDKAOG_04726, NHBDKAOG_04727	MCBBHCNB_02385		BFLDHLJO_00447, BFLDHLJO_02023, BFLDHLJO_02026, BFLDHLJO_03325	CEKMHFBL_00547, CEKMHFBL_02185, CEKMHFBL_02601, CEKMHFBL_03901, CEKMHFBL_03905, CEKMHFBL_03917, CEKMHFBL_03919, CEKMHFBL_04090, CEKMHFBL_04094	BBLLADNB_01031
OG0000020	2506670480, 2506672717	PEBOPBNB_01144, PEBOPBNB_02619, PEBOPBNB_03336	GNJGOIBN_00622, GNJGOIBN_02047, GNJGOIBN_02862	NHBDKAOG_03201, NHBDKAOG_03573	MCBBHCNB_00893, MCBBHCNB_02348, MCBBHCNB_03129		BFLDHLJO_00850, BFLDHLJO_01549, BFLDHLJO_01611, BFLDHLJO_02820	CEKMHFBL_00208, CEKMHFBL_01198, CEKMHFBL_02152, CEKMHFBL_04032	BBLLADNB_00458, BBLLADNB_03115
OG0000021	2506670782	PEBOPBNB_02539, PEBOPBNB_02953	GNJGOIBN_00164, GNJGOIBN_01482, GNJGOIBN_01653	NHBDKAOG_02830, NHBDKAOG_04514	MCBBHCNB_00423, MCBBHCNB_01789, MCBBHCNB_01971	lcl|AMXB01000043.1_prot_ENO76133.1_3675	BFLDHLJO_01066, BFLDHLJO_01067, BFLDHLJO_01162, BFLDHLJO_02511	CEKMHFBL_02606, CEKMHFBL_02607, CEKMHFBL_02869, CEKMHFBL_03229	BBLLADNB_00396, BBLLADNB_02362, BBLLADNB_02910
OG0000022	2506670783	PEBOPBNB_02540, PEBOPBNB_02952	GNJGOIBN_00165, GNJGOIBN_01441, GNJGOIBN_01483, GNJGOIBN_01652	NHBDKAOG_02829, NHBDKAOG_04180, NHBDKAOG_04513	MCBBHCNB_00424, MCBBHCNB_01790, MCBBHCNB_01970	lcl|AMXB01000043.1_prot_ENO76134.1_3676	BFLDHLJO_01068, BFLDHLJO_01161, BFLDHLJO_02510	CEKMHFBL_02608, CEKMHFBL_02870, CEKMHFBL_03230	BBLLADNB_00397, BBLLADNB_02361, BBLLADNB_02895
OG0000023			GNJGOIBN_01828, GNJGOIBN_02729	NHBDKAOG_00055, NHBDKAOG_00162, NHBDKAOG_01482, NHBDKAOG_01483, NHBDKAOG_01567, NHBDKAOG_01686, NHBDKAOG_02276, NHBDKAOG_03970, NHBDKAOG_04287, NHBDKAOG_04501	MCBBHCNB_02139, MCBBHCNB_02992	lcl|AMXB01000041.1_prot_ENO76265.1_3603	BFLDHLJO_00001, BFLDHLJO_00937, BFLDHLJO_01145	CEKMHFBL_00702, CEKMHFBL_01998, CEKMHFBL_03002, CEKMHFBL_03977	BBLLADNB_02415
OG0000024	2506669883, 2506671595, 2506671701	PEBOPBNB_00462, PEBOPBNB_03738	GNJGOIBN_00161	NHBDKAOG_02839, NHBDKAOG_04135, NHBDKAOG_04136, NHBDKAOG_04233	MCBBHCNB_00013, MCBBHCNB_00023, MCBBHCNB_00198, MCBBHCNB_00222, MCBBHCNB_00420	lcl|AMXB01000008.1_prot_ENO82014.1_1242, lcl|AMXB01000041.1_prot_ENO76245.1_3583, lcl|AMXB01000071.1_prot_ENO74771.1_4160	BFLDHLJO_01091	CEKMHFBL_01279, CEKMHFBL_03764	BBLLADNB_01074
OG0000025	2506670070, 2506670072	PEBOPBNB_00521, PEBOPBNB_03567, PEBOPBNB_03569	GNJGOIBN_01396, GNJGOIBN_01398	NHBDKAOG_02903, NHBDKAOG_02905	MCBBHCNB_01680, MCBBHCNB_01682	lcl|AMXB01000004.1_prot_ENO82564.1_523, lcl|AMXB01000004.1_prot_ENO82587.1_546	BFLDHLJO_04143	CEKMHFBL_00023, CEKMHFBL_00025, CEKMHFBL_01333, CEKMHFBL_01346, CEKMHFBL_01348, CEKMHFBL_02615	BBLLADNB_00232, BBLLADNB_00234
OG0000026	2506670294	PEBOPBNB_00711, PEBOPBNB_01916, PEBOPBNB_03517	GNJGOIBN_01642, GNJGOIBN_02406, GNJGOIBN_03532	NHBDKAOG_00997, NHBDKAOG_02636, NHBDKAOG_03636	MCBBHCNB_01960, MCBBHCNB_02696, MCBBHCNB_03651, MCBBHCNB_03806	lcl|AMXB01000011.1_prot_ENO81528.1_1584, lcl|AMXB01000027.1_prot_ENO78223.1_2859	BFLDHLJO_01814, BFLDHLJO_02074, BFLDHLJO_03161		BBLLADNB_01144, BBLLADNB_01301, BBLLADNB_03813
OG0000027	2506670423	PEBOPBNB_00169, PEBOPBNB_02172, PEBOPBNB_02898	GNJGOIBN_01057, GNJGOIBN_02031, GNJGOIBN_02053, GNJGOIBN_03430	NHBDKAOG_01356, NHBDKAOG_03174	MCBBHCNB_01334, MCBBHCNB_02354, MCBBHCNB_03705	lcl|AMXB01000010.1_prot_ENO81695.1_1463	BFLDHLJO_03055, BFLDHLJO_03552	CEKMHFBL_01085, CEKMHFBL_02369, CEKMHFBL_04180	BBLLADNB_00516, BBLLADNB_02016, BBLLADNB_03780
OG0000028	2506670682, 2506672297	PEBOPBNB_02419, PEBOPBNB_02904	GNJGOIBN_00199, GNJGOIBN_00756	NHBDKAOG_03385, NHBDKAOG_03851, NHBDKAOG_04052	MCBBHCNB_00192, MCBBHCNB_00193, MCBBHCNB_00481, MCBBHCNB_01036, MCBBHCNB_01904	lcl|AMXB01000025.1_prot_ENO78764.1_2789, lcl|AMXB01000049.1_prot_ENO75689.1_3828, lcl|AMXB01000056.1_prot_ENO75316.1_3978	BFLDHLJO_03009	CEKMHFBL_02775, CEKMHFBL_03147	BBLLADNB_03481, BBLLADNB_03701
OG0000029		PEBOPBNB_00513	GNJGOIBN_01756	NHBDKAOG_00474, NHBDKAOG_00536, NHBDKAOG_00551, NHBDKAOG_01399, NHBDKAOG_02438, NHBDKAOG_02864, NHBDKAOG_03952, NHBDKAOG_03967, NHBDKAOG_03968, NHBDKAOG_03969, NHBDKAOG_04664, NHBDKAOG_04839	MCBBHCNB_00190, MCBBHCNB_00617, MCBBHCNB_02310, MCBBHCNB_04249		BFLDHLJO_00690	CEKMHFBL_03623, CEKMHFBL_03930	BBLLADNB_00560
OG0000030		PEBOPBNB_01500, PEBOPBNB_01586	GNJGOIBN_00011, GNJGOIBN_01059, GNJGOIBN_01479	NHBDKAOG_03197, NHBDKAOG_04625, NHBDKAOG_04626	MCBBHCNB_01336, MCBBHCNB_01786, MCBBHCNB_04748	lcl|AMXB01000039.1_prot_ENO76438.1_3514	BFLDHLJO_01988, BFLDHLJO_01989, BFLDHLJO_02159	CEKMHFBL_02371, CEKMHFBL_02863, CEKMHFBL_03226, CEKMHFBL_03496, CEKMHFBL_04070	BBLLADNB_02770, BBLLADNB_03769
OG0000031	2506669389, 2506670285, 2506671047, 2506672722	PEBOPBNB_00552, PEBOPBNB_02626, PEBOPBNB_03133	GNJGOIBN_00504	NHBDKAOG_04579	MCBBHCNB_00781	lcl|AMXB01000004.1_prot_ENO82693.1_652, lcl|AMXB01000010.1_prot_ENO81589.1_1357	BFLDHLJO_00513, BFLDHLJO_02043, BFLDHLJO_02678	CEKMHFBL_01847, CEKMHFBL_03273, CEKMHFBL_03820	BBLLADNB_02526, BBLLADNB_02574, BBLLADNB_02737
OG0000032	2506669555, 2506669957, 2506670270, 2506670402, 2506670545, 2506670679, 2506671128, 2506671836, 2506671977, 2506672150, 2506672167, 2506672744	PEBOPBNB_02580	GNJGOIBN_02442	NHBDKAOG_04723	MCBBHCNB_02732	lcl|AMXB01000004.1_prot_ENO82697.1_656, lcl|AMXB01000042.1_prot_ENO76224.1_3641	BFLDHLJO_00585	CEKMHFBL_04121	BBLLADNB_02940
OG0000033	2506671563	PEBOPBNB_01375, PEBOPBNB_02073, PEBOPBNB_02088	GNJGOIBN_00959, GNJGOIBN_01176	NHBDKAOG_00492, NHBDKAOG_03095	MCBBHCNB_01235, MCBBHCNB_01439	lcl|AMXB01000003.1_prot_ENO82797.1_439	BFLDHLJO_02611, BFLDHLJO_02754, BFLDHLJO_02776	CEKMHFBL_00263, CEKMHFBL_02366, CEKMHFBL_02512	BBLLADNB_01136, BBLLADNB_01722, BBLLADNB_01869, BBLLADNB_02789
OG0000034		PEBOPBNB_01203, PEBOPBNB_01207, PEBOPBNB_01741		NHBDKAOG_00590, NHBDKAOG_04843, NHBDKAOG_04844	MCBBHCNB_00153, MCBBHCNB_00345, MCBBHCNB_00609, MCBBHCNB_01709, MCBBHCNB_01984, MCBBHCNB_02336, MCBBHCNB_03135, MCBBHCNB_03796, MCBBHCNB_04050	lcl|AMXB01000037.1_prot_ENO76690.1_3429	BFLDHLJO_01795	CEKMHFBL_01360	BBLLADNB_01056, BBLLADNB_01062, BBLLADNB_03824
OG0000035			GNJGOIBN_01826, GNJGOIBN_02725	NHBDKAOG_00306, NHBDKAOG_01486, NHBDKAOG_02275, NHBDKAOG_02751, NHBDKAOG_04376, NHBDKAOG_04489, NHBDKAOG_04496	MCBBHCNB_02137, MCBBHCNB_02988		BFLDHLJO_00161, BFLDHLJO_00162, BFLDHLJO_00163, BFLDHLJO_00164, BFLDHLJO_00165, BFLDHLJO_00831, BFLDHLJO_02766	CEKMHFBL_03006, CEKMHFBL_03008, CEKMHFBL_03599	
OG0000036	2506669688, 2506669884, 2506672561	PEBOPBNB_01743, PEBOPBNB_02679	GNJGOIBN_00722, GNJGOIBN_02274	NHBDKAOG_02117, NHBDKAOG_03455	MCBBHCNB_01002, MCBBHCNB_02574	lcl|AMXB01000005.1_prot_ENO82422.1_717, lcl|AMXB01000009.1_prot_ENO81816.1_1307, lcl|AMXB01000009.1_prot_ENO81818.1_1309	BFLDHLJO_01216, BFLDHLJO_01637	CEKMHFBL_00095, CEKMHFBL_02849	BBLLADNB_00050, BBLLADNB_03688
OG0000037	2506670173, 2506670324	PEBOPBNB_02071, PEBOPBNB_02932	GNJGOIBN_01174, GNJGOIBN_01444, GNJGOIBN_01503	NHBDKAOG_02820, NHBDKAOG_03097	MCBBHCNB_01437, MCBBHCNB_01810	lcl|AMXB01000008.1_prot_ENO81881.1_1109, lcl|AMXB01000021.1_prot_ENO80041.1_2487	BFLDHLJO_02489, BFLDHLJO_02778	CEKMHFBL_00511, CEKMHFBL_02368, CEKMHFBL_04080	BBLLADNB_01720, BBLLADNB_02512
OG0000038	2506670531, 2506670542, 2506672294	PEBOPBNB_01409, PEBOPBNB_01410	GNJGOIBN_01149, GNJGOIBN_01150	NHBDKAOG_02917, NHBDKAOG_02918	MCBBHCNB_01409, MCBBHCNB_01410	lcl|AMXB01000003.1_prot_ENO82863.1_505, lcl|AMXB01000051.1_prot_ENO75556.1_3865	BFLDHLJO_00291, BFLDHLJO_00292, BFLDHLJO_00293	CEKMHFBL_03869, CEKMHFBL_04060	BBLLADNB_01016, BBLLADNB_01017
OG0000039	2506671083, 2506671918, 2506672341	PEBOPBNB_01057, PEBOPBNB_01120	GNJGOIBN_03448, GNJGOIBN_03498, GNJGOIBN_04335	NHBDKAOG_02882, NHBDKAOG_04609, NHBDKAOG_04718	MCBBHCNB_03730, MCBBHCNB_04628	lcl|AMXB01000016.1_prot_ENO80871.1_2064, lcl|AMXB01000028.1_prot_ENO78020.1_2968	BFLDHLJO_03372	CEKMHFBL_01029, CEKMHFBL_01605	BBLLADNB_01332, BBLLADNB_01823
