Orthogroup	2506520024	2687453699	2767802316	2767802455	644736333	GCA_000310125.2	GCA_003332265.1	Reactor4-bin.4	spades-bin.32	Total
OG0000062	2	2	2	2	2	1	2	2	2	17
OG0000063	1	2	2	2	2	1	2	3	2	17
OG0000064	1	2	2	1	2	3	3	1	2	17
OG0000065	0	2	2	2	2	0	3	3	3	17
OG0000066	0	3	1	5	1	0	2	4	1	17
OG0000067	0	3	2	5	2	1	2	0	2	17
OG0000068	0	1	1	1	1	9	2	1	1	17
OG0000069	0	0	2	11	2	1	0	1	0	17
OG0000070	1	3	1	1	1	2	2	1	4	16
OG0000071	1	2	2	2	2	0	1	4	2	16
OG0000072	6	1	1	2	1	1	1	2	1	16
OG0000073	3	1	2	4	2	1	1	1	1	16
OG0000074	1	3	2	1	2	1	1	2	3	16
OG0000075	1	2	2	2	2	1	2	2	2	16
OG0000076	1	2	2	1	2	0	2	4	2	16
OG0000077	1	2	1	2	1	2	3	1	3	16
OG0000078	1	1	1	1	1	1	1	7	2	16
OG0000079	0	2	2	2	2	2	2	2	2	16
OG0000080	0	2	0	1	1	8	2	0	2	16
OG0000081	0	1	4	1	4	1	1	3	1	16
OG0000082	0	0	1	1	7	0	2	2	3	16
OG0000083	1	2	2	2	2	1	2	1	2	15
OG0000084	1	3	1	1	1	1	3	2	2	15
OG0000085	4	2	1	1	1	2	1	1	2	15
OG0000086	1	1	1	4	1	2	2	2	1	15
OG0000087	1	2	2	2	2	0	2	2	2	15
OG0000088	2	1	1	5	1	2	1	1	1	15
OG0000089	2	1	3	2	3	0	1	2	1	15
OG0000090	1	2	3	1	2	1	2	2	1	15
OG0000091	1	1	1	1	2	4	3	1	1	15
OG0000092	1	1	1	1	2	3	4	1	1	15
OG0000093	1	2	1	1	1	2	3	2	2	15
OG0000094	1	1	1	2	3	4	1	1	1	15
OG0000095	1	2	3	1	2	0	3	1	2	15
OG0000096	0	1	0	6	3	1	2	0	2	15
OG0000097	0	2	4	1	4	0	1	3	0	15
OG0000098	0	2	1	1	1	0	2	4	4	15
OG0000099	0	2	2	3	2	0	2	2	2	15
OG0000100	0	2	2	1	2	2	2	2	2	15
OG0000101	0	1	5	2	3	0	1	2	1	15
OG0000102	0	0	1	5	7	0	1	1	0	15
OG0000103	0	0	2	4	2	0	4	3	0	15
OG0000104	0	0	1	1	1	3	4	4	1	15
OG0000105	2	1	2	2	2	2	1	1	1	14
OG0000106	3	3	0	2	0	4	0	0	2	14
OG0000107	2	0	1	1	2	2	2	2	2	14
OG0000108	4	1	1	1	1	2	2	1	1	14
OG0000109	3	1	2	0	2	1	2	2	1	14
OG0000110	2	1	1	1	1	5	1	1	1	14
OG0000111	1	2	2	0	2	4	1	0	2	14
OG0000112	4	1	1	1	1	3	1	1	1	14
OG0000113	3	0	1	1	1	7	0	1	0	14
OG0000114	2	2	2	1	2	2	0	1	2	14
OG0000115	1	2	2	1	2	1	1	2	2	14
OG0000116	1	1	1	2	3	3	1	1	1	14
OG0000117	1	1	2	2	2	1	1	3	1	14
OG0000118	1	1	2	2	2	1	1	3	1	14
OG0000119	1	1	2	2	2	1	1	3	1	14
OG0000120	1	2	2	1	2	1	2	1	2	14
OG0000121	1	1	2	2	2	2	1	2	1	14
OG0000122	1	1	2	4	2	1	1	1	1	14
OG0000123	1	0	1	1	1	8	1	1	0	14
OG0000124	1	0	1	1	1	8	1	1	0	14
OG0000125	1	1	2	2	2	1	2	2	1	14
OG0000126	0	2	2	2	2	1	2	1	2	14
OG0000127	0	1	1	1	4	4	1	1	1	14
OG0000128	0	1	1	1	2	2	4	2	1	14
OG0000129	0	1	1	1	7	0	3	0	1	14
OG0000130	0	1	2	2	2	1	3	2	1	14
OG0000131	0	1	1	3	6	0	2	1	0	14
OG0000132	0	0	3	3	6	0	1	0	1	14
OG0000133	0	0	4	7	3	0	0	0	0	14
OG0000134	0	0	1	4	2	3	2	1	1	14
OG0000135	0	0	1	1	2	8	1	0	1	14
OG0000136	2	0	2	2	3	2	0	2	0	13
OG0000137	1	3	2	1	1	3	0	1	1	13
OG0000138	5	0	0	0	0	0	3	4	1	13
OG0000139	3	1	1	1	1	4	1	0	1	13
OG0000140	3	1	1	2	2	1	1	1	1	13
OG0000141	4	1	1	1	1	1	1	2	1	13
OG0000142	4	1	1	1	1	1	1	2	1	13
OG0000143	1	1	2	3	1	2	1	2	0	13
OG0000144	6	0	1	1	1	1	1	1	1	13
OG0000145	2	2	1	2	1	0	1	2	2	13
OG0000146	4	1	1	1	1	2	1	1	1	13
OG0000147	2	2	1	1	1	2	1	1	2	13
OG0000148	1	3	0	3	0	3	1	1	1	13
OG0000149	1	1	2	2	2	1	1	2	1	13
OG0000150	1	1	1	2	3	3	1	1	0	13
OG0000151	1	2	0	3	0	0	4	3	0	13
OG0000152	2	1	2	1	2	2	1	1	1	13
OG0000153	1	2	2	1	2	1	1	1	2	13
OG0000154	1	2	2	2	2	0	0	2	2	13
OG0000155	4	1	1	1	1	2	1	1	1	13
OG0000156	1	1	1	1	1	4	1	1	2	13
OG0000157	2	1	0	1	3	2	1	1	2	13
OG0000158	1	1	1	1	1	0	6	1	1	13
OG0000159	1	1	1	3	1	2	2	1	1	13
OG0000160	4	1	1	1	1	2	1	1	1	13
OG0000161	0	1	1	3	6	0	0	0	2	13
OG0000162	0	2	1	3	2	1	1	1	2	13
OG0000163	0	1	1	1	1	6	1	1	1	13
OG0000164	0	1	1	0	1	0	4	4	2	13
OG0000165	0	0	1	0	1	0	1	10	0	13
OG0000166	0	0	1	3	1	1	2	3	2	13
OG0000167	0	0	1	4	1	0	4	3	0	13
OG0000168	2	1	1	3	1	1	1	1	1	12
OG0000169	3	1	1	2	1	1	1	1	1	12
OG0000170	1	1	2	2	2	1	1	1	1	12
OG0000171	1	1	1	1	1	3	1	1	2	12
OG0000172	1	1	2	1	1	2	1	2	1	12
OG0000173	2	1	1	1	1	3	1	1	1	12
OG0000174	3	1	1	1	1	2	1	1	1	12
OG0000175	1	1	2	1	2	3	0	1	1	12
OG0000176	1	1	1	3	1	2	1	1	1	12
OG0000177	1	2	1	2	1	1	2	1	1	12
OG0000178	1	1	2	1	2	3	0	1	1	12
OG0000179	2	1	2	2	1	1	1	1	1	12
OG0000180	1	1	1	1	1	2	1	3	1	12
OG0000181	2	2	1	1	1	2	1	1	1	12
OG0000182	3	1	1	1	1	2	1	1	1	12
OG0000183	1	1	1	2	1	3	1	1	1	12
OG0000184	3	1	1	1	1	2	1	1	1	12
OG0000185	2	1	1	2	1	2	1	1	1	12
OG0000186	1	2	1	1	1	1	2	1	2	12
OG0000187	1	1	2	3	2	1	1	0	1	12
OG0000188	1	1	3	2	2	1	1	1	0	12
OG0000189	3	1	2	1	1	1	1	1	1	12
OG0000190	1	1	2	1	2	1	2	1	1	12
OG0000191	1	0	2	3	2	0	1	3	0	12
OG0000192	3	1	1	1	1	2	2	0	1	12
OG0000193	2	0	0	0	0	10	0	0	0	12
OG0000194	1	2	1	1	1	1	2	1	2	12
OG0000195	1	2	1	1	1	1	2	1	2	12
OG0000196	1	1	2	1	1	2	1	2	1	12
OG0000197	1	2	1	1	1	1	1	2	2	12
OG0000198	1	1	1	3	1	2	1	1	1	12
OG0000199	1	1	2	1	2	1	1	2	1	12
OG0000200	1	2	2	1	1	1	1	1	2	12
OG0000201	1	1	1	2	1	2	1	1	2	12
OG0000202	1	1	1	1	1	2	1	1	3	12
OG0000203	1	1	3	1	2	2	0	1	1	12
OG0000204	1	1	2	2	1	3	0	1	1	12
OG0000205	1	2	1	1	1	1	1	2	2	12
OG0000206	1	1	2	1	2	2	1	1	1	12
OG0000207	1	2	1	1	1	1	2	1	2	12
OG0000208	0	2	2	2	2	0	1	1	2	12
OG0000209	0	1	1	2	1	4	1	1	1	12
OG0000210	0	1	1	1	1	6	1	0	1	12
OG0000211	0	1	1	1	1	5	1	1	1	12
OG0000212	0	1	2	2	1	2	1	2	1	12
OG0000213	0	1	2	2	1	2	1	2	1	12
OG0000214	0	3	1	1	1	1	1	1	3	12
OG0000215	2	1	1	1	1	2	1	1	1	11
OG0000216	2	1	1	1	1	1	1	1	2	11
OG0000217	2	1	1	1	1	2	1	1	1	11
OG0000218	3	1	1	1	1	1	1	1	1	11
OG0000219	5	0	1	1	1	2	0	1	0	11
OG0000220	3	1	1	2	1	1	1	1	0	11
OG0000221	1	1	1	1	1	3	1	1	1	11
OG0000222	4	1	1	1	1	1	0	1	1	11
OG0000223	2	1	1	1	1	2	1	1	1	11
OG0000224	2	1	1	1	1	1	2	1	1	11
OG0000225	1	1	1	3	1	1	1	1	1	11
OG0000226	1	1	1	3	1	0	1	1	2	11
OG0000227	4	0	0	1	0	3	1	2	0	11
OG0000228	3	1	1	1	1	1	1	1	1	11
OG0000229	1	1	1	2	1	2	1	1	1	11
OG0000230	1	0	1	1	1	4	1	1	1	11
OG0000231	2	1	1	1	1	1	1	1	2	11
OG0000232	1	1	1	2	1	1	1	2	1	11
OG0000233	1	1	2	1	1	1	1	2	1	11
OG0000234	1	1	2	2	1	1	1	1	1	11
OG0000235	1	1	1	1	1	1	1	2	2	11
OG0000236	2	1	1	1	1	1	1	2	1	11
OG0000237	2	0	1	2	1	3	2	0	0	11
OG0000238	2	1	1	1	1	1	1	2	1	11
OG0000239	2	1	1	1	1	1	1	2	1	11
OG0000240	2	1	1	1	1	2	1	1	1	11
OG0000241	1	1	2	1	1	1	1	2	1	11
OG0000242	1	0	2	3	2	1	0	2	0	11
OG0000243	2	1	2	1	1	1	1	1	1	11
OG0000244	2	1	1	2	1	1	1	1	1	11
OG0000245	1	1	1	1	1	2	1	1	2	11
OG0000246	1	0	2	2	3	1	0	2	0	11
OG0000247	1	0	2	2	3	1	0	2	0	11
OG0000248	3	1	1	1	1	1	1	1	1	11
OG0000249	1	2	1	1	1	1	1	1	2	11
OG0000250	1	1	2	1	1	1	1	2	1	11
OG0000251	1	1	2	1	2	1	1	1	1	11
OG0000252	1	1	1	1	1	3	1	1	1	11
OG0000253	1	1	2	2	2	1	1	1	0	11
OG0000254	1	1	1	1	1	3	1	1	1	11
OG0000255	2	1	1	1	1	2	1	1	1	11
OG0000256	1	1	1	1	1	3	1	1	1	11
OG0000257	2	0	2	1	2	2	1	1	0	11
OG0000258	2	1	1	1	1	0	4	1	0	11
OG0000259	1	1	1	1	1	3	1	1	1	11
OG0000260	2	1	1	1	1	1	1	2	1	11
OG0000261	2	1	1	1	1	2	1	1	1	11
OG0000262	1	1	1	1	2	3	1	1	0	11
OG0000263	1	1	1	1	1	3	1	1	1	11
OG0000264	2	1	2	1	2	0	1	1	1	11
OG0000265	1	2	1	1	1	1	1	1	2	11
OG0000266	1	1	1	1	2	1	1	2	1	11
OG0000267	1	1	1	3	1	1	1	1	1	11
OG0000268	2	1	1	1	1	1	2	1	1	11
OG0000269	1	1	2	1	1	1	1	2	1	11
OG0000270	2	1	1	1	1	1	1	2	1	11
OG0000271	1	2	1	1	1	0	3	0	2	11
OG0000272	1	1	1	1	1	2	1	2	1	11
OG0000273	2	1	2	1	1	1	1	2	0	11
OG0000274	1	1	1	2	1	2	1	1	1	11
OG0000275	1	2	1	1	1	1	1	1	2	11
OG0000276	1	1	2	1	1	1	1	1	2	11
OG0000277	1	1	0	1	1	2	2	1	2	11
OG0000278	1	1	1	1	1	2	1	1	2	11
OG0000279	1	1	1	2	1	0	3	1	1	11
OG0000280	1	1	1	1	1	0	4	1	1	11
OG0000281	1	1	1	1	1	0	2	2	2	11
OG0000282	1	1	2	1	1	0	3	1	1	11
OG0000283	1	1	1	1	1	3	1	1	1	11
OG0000284	1	2	1	1	1	1	1	1	2	11
OG0000285	1	2	1	1	1	1	1	1	2	11
OG0000286	0	1	2	2	3	1	1	0	1	11
OG0000287	0	3	1	2	1	0	2	0	2	11
OG0000288	0	2	0	3	0	0	2	3	1	11
OG0000289	0	1	3	1	2	0	1	3	0	11
OG0000290	0	2	1	1	1	1	2	1	2	11
OG0000291	0	1	2	1	3	0	1	2	1	11
OG0000292	0	2	1	2	1	1	1	1	2	11
OG0000293	0	1	1	1	1	5	0	1	1	11
OG0000294	0	2	1	2	1	0	2	1	2	11
OG0000295	0	1	1	1	1	4	1	1	1	11
OG0000296	0	1	1	1	1	2	1	3	1	11
OG0000297	0	1	3	1	2	0	1	2	1	11
OG0000298	0	2	1	1	1	1	2	1	2	11
OG0000299	0	2	1	1	1	1	2	1	2	11
OG0000300	0	1	0	4	0	2	2	0	2	11
OG0000301	0	1	2	1	2	1	2	1	1	11
OG0000302	0	1	2	3	2	0	0	2	1	11
OG0000303	0	1	0	3	0	2	2	0	3	11
OG0000304	0	1	0	1	6	0	1	0	2	11
OG0000305	0	0	1	3	1	1	4	1	0	11
OG0000306	0	0	2	1	3	1	1	3	0	11
OG0000307	0	0	2	3	1	2	1	2	0	11
OG0000308	0	0	3	6	1	0	0	1	0	11
OG0000309	0	0	1	3	1	1	1	4	0	11
OG0000310	0	0	0	0	0	11	0	0	0	11
OG0000311	1	1	1	1	1	1	1	2	1	10
OG0000312	1	1	1	2	1	1	1	1	1	10
OG0000313	1	1	1	1	1	1	1	1	2	10
OG0000314	2	1	1	1	1	1	1	1	1	10
OG0000315	3	0	1	2	1	1	1	1	0	10
OG0000316	1	1	1	1	1	1	1	1	2	10
OG0000317	1	1	1	1	1	1	1	1	2	10
OG0000318	2	1	1	1	1	1	1	1	1	10
OG0000319	2	1	1	1	1	1	1	1	1	10
OG0000320	2	1	1	1	1	2	1	1	0	10
OG0000321	1	1	1	2	1	1	1	1	1	10
OG0000322	1	1	1	1	1	1	2	1	1	10
OG0000323	1	1	1	1	1	1	1	2	1	10
OG0000324	1	1	1	1	1	1	1	1	2	10
OG0000325	6	0	0	3	1	0	0	0	0	10
OG0000326	1	1	1	1	1	2	1	1	1	10
OG0000327	2	1	1	1	1	1	1	1	1	10
OG0000328	1	1	1	1	1	2	1	1	1	10
OG0000329	2	1	1	1	1	1	1	1	1	10
OG0000330	1	1	1	2	1	1	1	1	1	10
OG0000331	2	1	1	1	1	1	1	1	1	10
OG0000332	1	1	1	1	1	2	1	1	1	10
OG0000333	1	1	1	2	1	1	1	1	1	10
OG0000334	1	1	1	2	1	1	1	1	1	10
OG0000335	2	1	1	1	1	1	1	1	1	10
OG0000336	2	1	1	1	1	1	1	1	1	10
OG0000337	2	1	1	1	1	1	1	1	1	10
OG0000338	1	1	1	1	1	2	1	1	1	10
OG0000339	1	2	1	1	1	1	1	1	1	10
OG0000340	2	1	1	1	1	1	1	1	1	10
OG0000341	1	1	1	1	1	2	1	1	1	10
OG0000342	1	1	2	1	1	1	1	2	0	10
OG0000343	1	1	1	1	1	2	1	1	1	10
OG0000344	1	1	1	1	1	2	1	1	1	10
OG0000345	1	1	2	1	1	1	1	1	1	10
OG0000346	1	1	1	1	1	2	1	1	1	10
OG0000347	1	1	1	1	1	2	1	1	1	10
OG0000348	1	1	1	1	1	1	2	1	1	10
OG0000349	1	1	1	1	1	1	2	1	1	10
OG0000350	1	1	2	1	2	0	1	1	1	10
OG0000351	2	1	1	1	1	1	1	1	1	10
OG0000352	1	1	2	1	2	0	1	1	1	10
OG0000353	1	1	2	1	1	1	1	1	1	10
OG0000354	1	1	2	1	1	1	1	1	1	10
OG0000355	1	1	1	1	1	2	1	1	1	10
OG0000356	1	1	1	2	1	2	1	1	0	10
OG0000357	3	2	1	0	1	0	1	0	2	10
OG0000358	2	1	1	1	1	1	1	1	1	10
OG0000359	1	1	0	0	1	1	2	3	1	10
OG0000360	1	1	1	2	1	1	1	1	1	10
OG0000361	1	1	2	1	1	1	1	1	1	10
OG0000362	1	1	2	1	1	1	1	1	1	10
OG0000363	1	1	2	1	1	1	1	1	1	10
OG0000364	1	1	2	1	1	1	1	1	1	10
OG0000365	1	1	1	1	1	2	1	1	1	10
OG0000366	1	1	1	1	1	1	1	1	2	10
OG0000367	2	1	1	1	1	1	1	1	1	10
OG0000368	2	1	1	1	1	1	1	1	1	10
OG0000369	1	1	1	1	1	2	1	1	1	10
OG0000370	1	1	1	1	1	2	1	1	1	10
OG0000371	1	1	1	3	1	0	1	1	1	10
OG0000372	1	1	1	1	1	1	0	2	2	10
OG0000373	1	1	1	1	1	1	1	1	2	10
OG0000374	1	1	1	1	1	1	1	2	1	10
OG0000375	1	1	1	1	1	2	1	1	1	10
OG0000376	1	1	2	1	1	1	1	1	1	10
OG0000377	1	1	2	1	1	1	1	1	1	10
OG0000378	1	1	2	1	1	1	1	1	1	10
OG0000379	1	1	2	1	1	1	1	1	1	10
OG0000380	1	1	2	1	1	1	1	1	1	10
OG0000381	1	1	1	2	1	1	1	1	1	10
OG0000382	1	1	1	1	1	1	1	2	1	10
OG0000383	1	1	1	1	1	1	1	2	1	10
OG0000384	1	1	1	1	1	1	1	2	1	10
OG0000385	2	1	1	1	1	1	1	1	1	10
OG0000386	1	1	1	1	1	2	1	1	1	10
OG0000387	2	1	1	1	1	1	1	1	1	10
OG0000388	1	1	1	2	1	1	1	1	1	10
OG0000389	1	1	1	2	1	1	1	1	1	10
OG0000390	1	1	1	2	1	1	1	1	1	10
OG0000391	1	1	1	1	1	1	1	2	1	10
OG0000392	1	1	2	1	1	1	1	1	1	10
OG0000393	5	0	0	0	0	5	0	0	0	10
OG0000394	1	2	1	2	1	0	1	1	1	10
OG0000395	1	1	2	0	2	1	1	1	1	10
OG0000396	2	1	1	1	1	1	1	1	1	10
OG0000397	1	1	1	1	1	1	1	2	1	10
OG0000398	1	1	2	1	1	1	1	1	1	10
OG0000399	1	1	1	1	1	2	1	1	1	10
OG0000400	1	1	1	2	1	1	1	1	1	10
OG0000401	1	1	1	3	1	0	1	1	1	10
OG0000402	1	1	1	2	1	1	1	1	1	10
OG0000403	1	1	1	2	1	1	1	1	1	10
OG0000404	2	1	1	1	1	0	2	1	1	10
OG0000405	1	1	1	1	1	1	1	1	2	10
OG0000406	1	1	1	1	1	2	1	1	1	10
OG0000407	1	1	1	1	1	2	1	1	1	10
OG0000408	1	1	1	1	1	1	1	2	1	10
OG0000409	1	1	1	1	1	1	1	2	1	10
OG0000410	1	1	1	1	1	1	1	2	1	10
OG0000411	1	1	1	1	1	1	1	2	1	10
OG0000412	1	1	1	1	1	1	1	2	1	10
OG0000413	1	1	1	1	1	1	1	2	1	10
OG0000414	1	1	1	1	1	1	1	2	1	10
OG0000415	1	1	1	2	1	1	1	2	0	10
OG0000416	1	1	1	1	1	1	1	1	2	10
OG0000417	2	1	1	1	1	1	1	1	1	10
OG0000418	2	1	1	1	1	1	1	1	1	10
OG0000419	1	1	1	1	1	1	1	1	2	10
OG0000420	1	1	1	2	1	1	1	1	1	10
OG0000421	1	1	0	2	1	1	2	1	1	10
OG0000422	1	1	1	1	1	1	1	1	2	10
OG0000423	2	1	1	0	1	2	1	1	1	10
OG0000424	1	1	2	1	1	1	1	1	1	10
OG0000425	2	1	1	1	1	1	1	1	1	10
OG0000426	1	2	2	1	1	0	1	1	1	10
OG0000427	1	1	2	1	1	1	1	1	1	10
OG0000428	1	1	2	1	1	1	1	1	1	10
OG0000429	1	1	2	1	1	1	1	1	1	10
OG0000430	1	1	1	1	1	1	2	1	1	10
OG0000431	1	1	1	2	1	1	1	1	1	10
OG0000432	1	1	1	1	1	1	1	1	2	10
OG0000433	1	1	2	1	1	1	1	1	1	10
OG0000434	1	2	1	1	1	1	1	1	1	10
OG0000435	1	1	1	1	1	2	1	1	1	10
OG0000436	1	1	1	1	1	2	1	1	1	10
OG0000437	1	1	1	1	1	1	1	1	2	10
OG0000438	1	1	1	1	1	1	1	1	2	10
OG0000439	1	1	1	1	1	3	0	1	1	10
OG0000440	2	1	1	1	1	1	1	1	1	10
OG0000441	1	1	1	1	1	2	1	1	1	10
OG0000442	1	1	1	1	1	2	1	1	1	10
OG0000443	1	1	1	3	1	1	1	0	1	10
OG0000444	2	1	1	2	1	0	1	1	1	10
OG0000445	1	1	2	1	1	1	1	1	1	10
OG0000446	1	1	1	2	1	1	1	1	1	10
OG0000447	1	1	1	2	1	1	1	1	1	10
OG0000448	1	1	2	1	1	1	1	1	1	10
OG0000449	1	1	1	2	1	1	1	1	1	10
OG0000450	1	2	1	1	1	1	1	1	1	10
OG0000451	1	1	1	1	1	3	1	1	0	10
OG0000452	1	1	1	1	1	1	1	2	1	10
OG0000453	1	1	1	2	1	1	1	1	1	10
OG0000454	1	1	1	1	1	1	2	1	1	10
OG0000455	1	1	2	1	1	1	1	1	1	10
OG0000456	1	1	2	1	1	1	1	1	1	10
OG0000457	1	1	2	1	2	0	1	2	0	10
OG0000458	2	1	1	1	1	1	1	1	1	10
OG0000459	1	1	1	1	1	1	2	1	1	10
OG0000460	2	1	1	1	1	2	0	1	1	10
OG0000461	1	1	1	1	1	2	1	1	1	10
OG0000462	2	1	2	1	1	0	1	1	1	10
OG0000463	1	1	1	1	1	1	2	1	1	10
OG0000464	2	1	1	1	1	1	1	1	1	10
OG0000465	1	1	1	1	1	2	1	1	1	10
OG0000466	1	1	1	1	1	2	1	1	1	10
OG0000467	1	1	1	2	1	1	1	1	1	10
OG0000468	1	1	1	1	1	2	1	1	1	10
OG0000469	1	1	1	2	1	1	1	1	1	10
OG0000470	1	1	2	1	1	1	1	1	1	10
OG0000471	2	1	1	1	1	1	1	1	1	10
OG0000472	1	1	1	2	1	1	1	1	1	10
OG0000473	1	1	1	1	1	1	1	2	1	10
OG0000474	1	1	1	2	1	1	1	1	1	10
OG0000475	1	1	1	1	1	1	1	1	2	10
OG0000476	2	1	1	1	1	1	1	1	1	10
OG0000477	1	1	1	2	1	1	1	1	1	10
OG0000478	1	1	1	2	1	1	1	1	1	10
OG0000479	2	1	1	1	1	1	1	1	1	10
OG0000480	1	1	1	1	1	1	1	2	1	10
OG0000481	1	1	1	1	1	1	2	1	1	10
OG0000482	1	1	1	2	1	0	2	1	1	10
OG0000483	2	1	1	1	1	1	1	1	1	10
OG0000484	2	1	1	1	1	1	1	1	1	10
OG0000485	1	1	2	1	1	1	1	1	1	10
OG0000486	1	2	1	1	1	0	1	1	2	10
OG0000487	1	1	1	1	1	1	1	2	1	10
OG0000488	1	1	1	1	1	2	1	1	1	10
OG0000489	2	1	1	1	1	1	1	1	1	10
OG0000490	1	1	2	1	1	1	1	1	1	10
OG0000491	1	1	2	1	1	1	1	1	1	10
OG0000492	1	1	2	1	1	1	1	1	1	10
OG0000493	1	1	2	1	1	1	1	1	1	10
OG0000494	1	1	1	1	1	1	1	2	1	10
OG0000495	1	1	1	1	1	2	1	1	1	10
OG0000496	1	1	1	2	1	2	1	1	0	10
OG0000497	1	1	2	1	1	0	1	2	1	10
OG0000498	1	1	1	1	1	2	1	1	1	10
OG0000499	1	1	2	1	1	1	1	1	1	10
OG0000500	1	1	2	1	1	1	1	1	1	10
OG0000501	1	1	1	1	1	2	1	1	1	10
OG0000502	1	1	1	1	1	2	1	1	1	10
OG0000503	1	1	1	2	1	1	1	1	1	10
OG0000504	1	1	1	2	1	1	1	1	1	10
OG0000505	2	1	1	1	1	1	1	1	1	10
OG0000506	1	1	1	1	1	1	2	1	1	10
OG0000507	1	1	2	1	1	1	1	1	1	10
OG0000508	1	1	2	1	1	1	1	1	1	10
OG0000509	1	1	2	1	1	1	1	1	1	10
OG0000510	1	1	2	1	1	1	1	1	1	10
OG0000511	1	1	1	1	1	2	1	1	1	10
OG0000512	1	1	1	1	1	1	1	2	1	10
OG0000513	1	1	1	1	1	1	1	2	1	10
OG0000514	1	1	1	1	1	1	1	2	1	10
OG0000515	1	1	1	1	1	1	1	2	1	10
OG0000516	1	1	1	1	1	1	1	2	1	10
OG0000517	1	1	1	1	1	1	1	2	1	10
OG0000518	1	1	1	1	1	1	1	2	1	10
OG0000519	1	1	1	1	1	1	1	2	1	10
OG0000520	1	1	1	1	1	1	1	2	1	10
OG0000521	1	1	1	2	1	1	1	1	1	10
OG0000522	1	1	2	1	1	1	1	1	1	10
OG0000523	1	1	2	1	1	1	1	1	1	10
OG0000524	1	1	2	1	1	1	1	1	1	10
OG0000525	1	1	2	1	1	1	1	1	1	10
OG0000526	1	1	2	1	1	1	1	1	1	10
OG0000527	1	1	2	1	1	1	1	1	1	10
OG0000528	1	1	2	1	1	1	1	1	1	10
OG0000529	1	1	1	1	1	2	1	2	0	10
OG0000530	1	2	1	1	1	0	1	1	2	10
OG0000531	1	1	1	1	1	1	1	2	1	10
